gene
BAD
CREBBP
E2F2
IGF1
INSRR
PIK3CB
CREB3L3
FGFR2
FGFR1
ARAF
HSP90AA1
TCF7
GSK3B
GSTP1
HSP90AB1
MAPK1
PDGFB
EP300
SOS2
NFKBIA
MMP9
E2F1
MAPK3
IKBKB
PLAT
CCNE1
AKT2
PIK3R2
CREB3
NFKB1
CCND1
CDKN1B
E2F3
PDGFRB
IL1R2
SOS1
AKT3
PIK3R3
CREB1
PIK3CA
PLAU
CDK2
CDKN1A
MAP2K2
ATF4
RAF1
CASP9
KRAS
PDGFRA
MDM2
LEF1
EGF
RB1
IGF1R
PDPK1
TP53
ERBB2
AKT1
KLK3
CREB3L4
PDGFC
PIK3R1
CREB5
EGFR
ZEB1
TCF7L2
MMP3
FOXO1
TCF7L1
ERG
CREB3L1
BRAF
TGFA
SPINT1
HSP90B1
NKX3-1
CTNNB1
MAP2K1
AR
PDGFD
PIK3CD
BCL2
PTEN
RELA
HRAS
CCNE2
GRB2
CREB3L2
TMPRSS2
PDGFA
MTOR
NRAS
CHUK
ETV5
