TCGA-EL-A4KI-01A;TCGA-EL-A3ZO-01A;TCGA-DE-A0Y3-01B;TCGA-FY-A40M-01A;TCGA-EM-A4FR-01A;TCGA-J8-A3YH-01A;TCGA-EL-A3ZN-01A;TCGA-DJ-A3V7-01A;TCGA-BJ-A0Z2-01A;TCGA-EL-A3CW-01A;TCGA-CE-A481-01A;TCGA-E8-A416-01A;TCGA-EM-A1YB-01A;TCGA-FE-A234-01A;TCGA-DJ-A2PO-01A;TCGA-DJ-A2QA-01A;TCGA-DJ-A13W-01A;TCGA-DJ-A2PO-01A;TCGA-DJ-A4V4-01A;TCGA-BJ-A2NA-01A;TCGA-BJ-A45D-01A;TCGA-EL-A4K9-01A;TCGA-DJ-A3V5-01A;TCGA-EL-A3CY-01A;TCGA-FY-A3WA-01A;TCGA-DJ-A2PY-01A;TCGA-FE-A3PB-01A;TCGA-EL-A3N2-01A;TCGA-EL-A3D5-01A;TCGA-DJ-A1QM-01A;TCGA-DJ-A1QQ-01A;TCGA-ET-A25P-01A;TCGA-DJ-A1QN-01A;TCGA-H2-A3RH-01A;TCGA-DE-A0XZ-01A;TCGA-DJ-A13W-01A;TCGA-BJ-A28W-01A;TCGA-ET-A39K-01A;TCGA-BJ-A45E-01A;TCGA-FE-A3PA-01A;TCGA-BJ-A0ZE-01A;TCGA-BJ-A291-01A;TCGA-BJ-A0ZJ-01A;TCGA-ET-A3DO-01A;TCGA-EL-A4KH-01A;TCGA-BJ-A3PU-01A;TCGA-BJ-A2N7-01A;TCGA-DJ-A1QF-01A;TCGA-EM-A2CT-01A;TCGA-FY-A2QD-01A;TCGA-DJ-A3V7-01A;TCGA-J8-A4HW-01A;TCGA-ET-A3DO-01A;TCGA-E3-A3DY-01A;TCGA-E8-A432-01A;TCGA-BJ-A45J-01A;TCGA-FY-A3NP-01A;TCGA-EM-A2CO-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.64565843240871;9.571752643503546;8.686500527183219;9.473705749619416;9.057991722759176;9.197216693110052;9.00842862207058;9.533329732305834;8.851749041416058;9.071462362556623;9.936637939002573;9.556506054671928;10.0;9.407267764244732;9.627533884472792;8.51175265376738;8.060695931687555;9.627533884472792;8.686500527183219;9.554588851677638;9.839203788096944;9.179909090014934;9.330916878114618;10.430452551665532;9.187352073200495;8.326429487122303;9.9901039638575;9.197216693110052;9.162391328756906;9.935165049603697;9.134426320220928;9.714245517666123;10.211888294546004;9.688250309133178;9.663558104217271;8.060695931687555;9.67065624911844;8.948367231584678;10.183635381473218;9.73809225962049;8.76487159073609;9.622051819456376;9.445014845868425;9.689997971419446;9.247927513443583;9.076815597050832;9.67595703294175;9.67595703294175;9.700439718141093;9.283088353024002;9.533329732305834;9.603626344986193;9.689997971419446;9.467605550082997;9.847057346091336;9.233619676759702;9.807354922057604;9.794415866350104;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
14.263856019596082;15.582935810148712;15.43250927757367;15.913520564269817;14.40047922497788;15.94370526351176;14.914385132155443;15.018026265843226;15.485829308701904;15.162391328756906;15.145136088281756;15.780949798749663;13.68431031112435;16.396270289737803;15.1070944478413;14.821674344894602;12.964340867792416;15.1070944478413;14.723820903206144;15.950555897047511;14.530406337099068;14.663891611066967;16.07280253454421;14.951922128761304;16.66582165674092;15.07296996854206;14.941918757493742;15.64537698036215;15.971184272404678;16.45928752124941;16.37807466823829;15.697130472044098;15.95196764754346;15.95183108688825;14.896568922926306;12.964340867792416;13.710053040024412;15.214622686302336;12.554109152574004;15.093788919775273;14.879296060392983;15.446210989853965;15.383231775670849;15.39157924821793;14.702984297726418;15.329375911278811;15.481957060187174;16.129725740454873;15.399211156255298;16.41007035444761;15.018026265843226;16.324039871367216;15.39157924821793;16.127792858206256;13.283811834830894;15.563226069807248;15.878936993455447;15.448180848303595;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
12.241089378860856;13.25458577630943;13.280045761300384;13.228968963402728;11.965784284662089;13.006501407569434;12.594324603924848;12.982458880127355;12.880157456601813;12.891403996665025;13.225056771699682;13.16679075071818;11.916625922211235;13.63696441133012;13.37218489648635;11.385323176175872;11.258566033889933;13.37218489648635;12.310328758616798;13.230320715661112;11.569380959522295;12.496104779340126;13.53503231452927;13.20197072837312;13.77612455554518;12.7688046164558;12.744833837499543;13.589182967039353;12.957827560833744;13.52930853485899;13.641148597411233;13.637643752909565;13.99408821118647;13.235415935602528;13.15592501602658;11.258566033889933;11.358651200892886;11.921097088106793;12.026523442519766;12.710160691782914;11.535761377986656;12.390706372872774;12.570092874188056;12.960545013211664;11.62067804213541;11.97513145692134;13.28424574982967;14.22204015786482;13.456226055746944;13.074643240639736;12.982458880127355;13.193987293919182;12.960545013211664;13.546412195119352;13.23526633275686;12.889313822384397;13.41679752760606;12.12347479824414;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
10.709083812550343;9.539158811108033;10.661778097771988;11.26620091249896;11.01262453886506;11.7988767681333;10.13699111208023;11.308339030139408;10.183635381473218;11.482807956726669;10.501837184902296;10.470658874060552;7.714245517666122;11.713816080234498;11.33427328530719;10.253847484987404;7.700439718141092;11.33427328530719;11.016808287686557;11.377210530388552;9.192292814470768;11.49235394515987;11.78953364497036;12.541096615349524;9.002815015607053;10.688250309133178;11.64250302878052;11.06204613772049;11.389631339260522;10.793603309279408;10.964340867792416;9.946906274456396;12.699355555588465;11.474212937193943;11.846273911349906;7.700439718141092;12.588011853215088;11.398743691938192;10.169925001442312;11.31174831500496;8.89178370321831;8.857980995127573;11.759888183221834;10.929258408636972;11.7279204545632;10.807354922057604;10.67595703294175;12.396069557639867;7.515699838284043;10.866506212226202;11.308339030139408;10.466586337719244;10.929258408636972;12.396337194231098;11.051208940914766;11.228217442293436;9.105908508571158;10.040289721025715;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
13.82356627364535;13.32108251801004;11.159871336778387;12.639114563179414;12.116343961237469;12.206098613995795;11.786678033890652;12.39901083295199;10.924070185585345;10.643856189774723;12.353422543614716;11.30890780406394;10.353146825498085;12.464290473850768;11.615169813843602;11.748612176736982;8.622051819456376;11.615169813843602;11.735979039613404;12.140829770773;13.366868586167094;12.19075064966236;11.938844457466171;12.367687756270046;11.820178962415188;11.072802534544207;12.663113308455806;12.186423797538945;10.370687406807216;11.730894646541673;11.649705265471413;11.98299357469431;12.647008638441648;12.728558297786716;11.496354488564617;8.622051819456376;11.61286849729104;12.232720707964871;11.144020869266893;12.655754310144218;11.389631339260522;11.16679075071818;11.634811050171718;11.86611979330307;12.461223627613371;12.95746484680521;11.61654884377899;11.511258495502268;11.665780028329484;10.43254190038826;12.39901083295199;12.037546953962178;11.86611979330307;11.505811553919594;12.098032082960527;12.280770770130603;12.168358727223886;11.255618749839597;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
14.515515055057293;13.642615840685092;12.67661826358852;11.068106475858771;13.679480099505446;12.066425600635556;14.616031862014465;11.916625922211235;12.307770031890705;11.007728114632254;11.144020869266893;12.65508344519798;11.878050912728536;11.202736043250168;10.530406337099068;12.747143998186749;10.029287226968243;10.530406337099068;12.129926933510394;11.31174831500496;12.48733761520718;12.276124405274238;11.791162888555018;12.9683067944308;13.335948565202298;11.124121311829189;13.3292357417338;11.585432051592962;11.11178773580101;12.114718389188424;11.167418145831736;13.187352073200495;11.445532219028312;12.83110927535702;10.737247343027738;10.029287226968243;12.636171441635922;13.928240764845391;12.587308728333545;11.876133200043016;10.449148645375436;10.38586240064146;11.303209948944776;11.84901407369482;13.045759661382682;10.886458695703706;14.565102078360312;10.32755264408124;14.320165916775409;13.589768167648067;11.916625922211235;10.892542816648552;11.84901407369482;11.779308973959898;11.103943429891558;11.166163082646111;11.90651484484695;13.128638812852598;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
12.013322673425447;13.651612331236072;14.037632744408544;13.327131562682846;11.771902080697716;13.38275910405649;13.34207466799914;13.76704643023188;12.363313464373478;13.13827180017222;13.905951035144904;13.157820597213629;12.526988205432009;14.644250622776038;13.813781191217036;11.20212382383046;10.494855584491198;13.813781191217036;12.98815209769054;14.160659307217385;12.042343379793692;12.218865910069676;14.030322282644034;13.6476832678862;12.855647166027266;13.39780830865287;13.243620292847242;14.159004071924567;13.893396342087945;13.95655766257052;14.111380229360744;14.251482410620213;14.66855262986872;13.984151400205205;12.564387696052629;10.494855584491198;11.228217442293436;12.798471801101618;11.97692206785108;13.434106928609957;12.922770209274663;13.25871324015922;12.995767150877802;13.50444659914958;12.13827180017222;13.33622758948339;13.720564916568025;14.898884759593454;14.33427328530719;13.56617298899285;13.76704643023188;13.874981347653774;13.50444659914958;14.14449892583753;13.24272753598652;13.419433550705378;14.095397022792556;12.7868821936647;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.583082767502932;12.278159031437236;12.363313464373478;12.219168520462162;11.924441392339196;12.426526848451733;12.07045641594465;12.69522829149575;11.932952892194717;11.756139298372927;12.212800334429431;12.260919533662904;11.135067945777816;12.299494239009364;12.08115052127187;12.043027283594547;11.57459352733761;12.08115052127187;12.215532999745657;12.423641195075856;12.922955991908475;12.270003253378444;12.107870914279614;11.868050853745158;11.961811408087163;10.964340867792416;12.276415241892678;12.205182326228645;11.862249900851513;12.482303782323182;11.953468962228849;12.672646326124626;12.633449374713493;12.161131882984307;11.885696373339394;11.57459352733761;11.800899899920305;12.4207497582968;11.068778277985412;11.907641803665529;11.502831804066744;12.4757334309664;12.10000522442272;11.830911279742782;12.557224349454447;12.404077136241234;12.71037597120447;12.843724806299154;12.183945471757246;11.73047013718422;12.69522829149575;11.97906787148051;11.830911279742782;11.982637133669424;12.7710767402628;12.230020435705637;13.083645526864412;12.004922678569043;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
11.262682142362165;12.615169813843602;12.831505185085328;12.58096513597733;11.32755264408124;12.083146870816742;12.242280950302444;12.322209843748894;12.096056239180946;11.945443836377912;11.965062756744627;12.241685287601625;11.64745842645492;13.28439035916582;12.500592945893834;11.097373768990222;10.553629293916364;12.500592945893834;11.88149638481011;12.929628283024565;12.4070021479242;11.439311461818846;12.543515216152167;12.447083226209651;11.852139328187244;12.326991174900815;12.524051918717824;12.747143998186749;12.33622758948339;12.76632184795396;12.923884546385334;12.701956178268135;12.68013971776317;12.490600213019594;11.969386521342283;10.553629293916364;10.932952892194717;12.07112712494831;10.855647166027266;11.993646060016596;11.466586337719244;11.70433597118232;11.415213598765286;12.74588436914204;11.338179249900112;12.41758884038258;13.004396051426534;13.11699367754698;12.521600439723729;12.357552004618084;12.322209843748894;11.4757334309664;12.74588436914204;12.647908074281808;11.348728154231075;12.101647450030766;12.55170826162069;11.60917873814198;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
13.674302629212166;14.9721271956999;16.08594957174813;15.046314043841186;14.682171644271492;14.950783692200732;14.080984034047532;14.924070185585345;14.190442018782823;13.283956487665112;15.583552930466483;13.77066389291676;12.656201380194553;15.823889644691326;14.93004427839366;14.46875130398112;14.078234217386388;14.93004427839366;14.410981267043796;15.834767301405412;15.423181581223467;15.546623205792349;14.72136625059886;14.272338184158624;14.864766511423444;14.152997773295311;14.558480505424871;15.060906984695068;13.972531117102672;14.995767150877802;15.95585420221719;15.869979332899964;16.29348961056697;16.33497155502746;15.148516303411215;14.078234217386388;11.378836713210614;14.932491598812405;12.282798858683533;15.352698671143015;14.060189278463422;13.37055119427434;13.86611979330307;15.138431806276849;14.362834220554324;14.900772486445565;14.75410457760912;15.944780680751023;14.68118349694458;14.249557928724707;14.924070185585345;14.56236168971454;15.138431806276849;14.96983616916917;16.264534231910133;15.719121392717154;15.268176455655585;12.558898981146704;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
