TCGA-DJ-A3UK-01A;TCGA-E8-A434-01A;TCGA-KS-A4I5-01A;TCGA-BJ-A28X-01A;TCGA-KS-A41F-01A;TCGA-FK-A4UB-01A;TCGA-FK-A4UB-01A;TCGA-EL-A3CU-01A;TCGA-EL-A3ZS-01A;TCGA-EL-A3CZ-01A;TCGA-EL-A4JX-01A;TCGA-BJ-A28T-01A;TCGA-CE-A485-01A;TCGA-EL-A4K2-01A;TCGA-EL-A3CM-01A;TCGA-EM-A4FV-01A;TCGA-DE-A0Y3-01B;TCGA-BJ-A192-01A;TCGA-EM-A2P0-01A;TCGA-H2-A3RI-01A;TCGA-ET-A3BW-01A;TCGA-FY-A3NM-01A;TCGA-DJ-A3VB-01A;TCGA-EL-A3ZT-01A;TCGA-CE-A481-01A;TCGA-DJ-A3VF-01A;TCGA-EM-A22M-01A;TCGA-EL-A3GR-01A;TCGA-BJ-A291-01A;TCGA-J8-A3YE-01A;TCGA-DJ-A3UZ-01A;TCGA-EM-A3AP-01A;TCGA-EL-A4KG-01A;TCGA-DJ-A3V2-01A;TCGA-FY-A4B4-01A;TCGA-CE-A3ME-01A;TCGA-ET-A40T-01A;TCGA-FE-A232-01A;TCGA-DJ-A3V5-01A;TCGA-EL-A3H5-01A;TCGA-FK-A3SB-01A;TCGA-EM-A1CS-01A;TCGA-EL-A3D1-01A;TCGA-EM-A2CJ-01A;TCGA-BJ-A18Y-01A;TCGA-DJ-A13R-01A;TCGA-BJ-A3PU-01A;TCGA-EL-A4KG-01A;TCGA-DJ-A3UO-01A;TCGA-BJ-A2NA-01A;TCGA-FY-A4B0-01A;TCGA-BJ-A0ZC-01A;TCGA-DJ-A4V5-01A;TCGA-EM-A2CO-01A;TCGA-DJ-A4V0-01A;TCGA-DJ-A3UN-01A;TCGA-4C-A93U-01A;TCGA-E3-A3DY-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.24555270625568;9.620219825507489;8.826548487290914;9.967226258835993;7.592457037268081;7.569855608330948;7.569855608330948;9.108524456778168;9.681238411777803;8.539158811108031;9.294620748891628;9.22881869049588;9.398743691938192;9.638435913990472;9.18239435340453;9.46352437327118;8.686500527183219;10.06204613772049;9.047123912114026;9.34207466799914;8.829722735086058;9.96000193206808;9.703903573444665;8.980139577639157;9.936637939002573;9.618385502258606;9.870364719583405;8.618385502258606;9.622051819456376;9.85642552862553;9.164906926675688;9.147204924942228;9.829722735086058;9.94104760634058;9.786269627648466;9.24555270625568;9.590587049915037;9.62935662007961;9.330916878114618;8.682994583681683;9.577428828035748;9.501837184902296;9.131856960608792;9.445014845868425;9.25974326369078;9.08746284125034;9.076815597050832;9.829722735086058;9.310612781659527;9.554588851677638;10.490850876740298;9.147204924942228;9.726218159332198;9.794415866350104;9.64745842645492;9.417852514885896;9.29920801838728;9.467605550082997;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.458566818342678;15.56955897112606;15.538279885917024;15.438142077743654;13.132178380915544;14.209986357601563;14.209986357601563;15.3972735315025;15.783919045472931;15.50003268805555;14.70617221713044;14.593157658103;15.161446847518008;15.61649141050838;15.133704150214022;15.322456328874184;15.43250927757367;15.791442729595753;16.049210424099552;15.914034694104842;15.655921977648722;17.108871530850912;16.04298454910378;15.489095315413504;15.145136088281756;15.429112470764538;14.312741174040973;15.913380315237864;15.446210989853965;15.007596731612578;15.511690893239924;15.374801769046304;16.167692545421904;15.993071060835794;15.667887691291474;15.415444696725396;15.565042560010466;15.47043645413948;16.07280253454421;13.785758957209914;16.42703451963504;15.968644295904015;15.00145217832723;15.56379210712418;15.158570243913212;13.337203749714552;15.329375911278811;16.167692545421904;15.900182837097066;15.950555897047511;15.49775829819264;15.889884170302828;15.803954506168264;15.448180848303595;15.51459078374572;16.009806752886217;14.908486445443955;16.127792858206256;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.415213598765286;13.108687796154612;12.396337194231098;13.483059977871669;9.899356922923111;11.210671343785622;11.210671343785622;13.473578924860783;13.133302788397303;13.256356135514164;12.386401423640775;12.394462694610317;13.303067213842914;12.715533063526584;13.065584428061502;12.760719947465624;13.280045761300384;13.100990784092762;13.507051302247916;13.345959596404112;13.211432058298838;14.108851117040151;13.185804615108458;12.920538949583786;13.225056771699682;13.433455039827054;12.2246046815385;13.439311461818846;12.390706372872774;13.303209948944776;13.143702076857933;13.432672384270308;12.93829314415169;13.11423036019097;13.126543160712323;13.24123837912341;13.124444460008585;12.68365259739475;13.53503231452927;12.794821973331224;13.550025257465784;13.781052288362956;11.703903573444665;12.557942286787448;12.901621158346112;11.893301530860564;11.97513145692134;12.93829314415169;12.90444646450572;13.230320715661112;13.198138052401116;13.5090326863065;12.994883741970837;12.12347479824414;13.10901441943898;13.185959435631318;13.791468166998948;13.546412195119352;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
11.632995197142955;10.96289600533726;11.153552031708111;12.127994320976391;10.634811050171718;10.4542992936199;10.4542992936199;11.57601187420678;11.369597346278676;9.403012023574997;9.643856189774723;10.590587049915037;10.122827994807666;9.312882955284357;11.020979938904212;11.094077685671904;10.661778097771988;8.948367231584678;10.554588851677638;12.698053484163538;11.37775279502222;10.4757334309664;12.020632761657708;10.98584193700334;10.501837184902296;11.273212809854334;10.360847084179664;10.112439506781552;8.857980995127573;10.194756854422248;10.419960177847887;11.521600439723729;11.323617763291578;12.66200071871848;10.437752072323605;10.567005370247031;11.24852060493843;11.651948610723446;11.78953364497036;10.0566377151132;11.13827180017222;12.728345714710976;10.365228849251544;8.479780264029099;8.807354922057604;9.436711542137214;10.807354922057604;11.323617763291578;11.735132884139947;11.377210530388552;6.894817763307944;8.388017285345136;11.055960234452296;10.040289721025715;11.298635406734242;11.314583244274194;8.686500527183219;12.396337194231098;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.460455896309636;12.014717929860009;12.225508720236;11.954196310386877;11.389093521904474;11.082814337672271;11.082814337672271;11.286557761607956;12.104926303807776;10.469641817239516;11.8649599151426;9.73809225962049;11.644757592516257;11.543515216152167;11.29232163280204;11.687375683437468;11.159871336778387;11.910642730469624;11.64880694972577;11.886458695703706;10.743992861060176;11.456354415108288;13.455969302758032;12.252961036393684;12.353422543614716;12.358101707440849;11.674192268145683;11.446566409066069;11.16679075071818;12.005975356500382;11.247927513443583;12.59269061535341;13.166006122950492;12.1767964781476;12.556506054671928;11.925925264972856;12.499596781489752;11.945077995107816;11.938844457466171;11.223398414711628;11.821773981970567;11.436711542137214;13.588714635582264;11.56081046872794;11.136350341454156;10.980139577639155;12.95746484680521;13.166006122950492;12.123798091251857;12.140829770773;11.653740778706569;10.7431513941125;12.372865060112588;11.255618749839597;11.171176797651771;11.749869427396844;11.78463484555752;11.505811553919594;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
11.836444911341369;10.878050912728536;12.085140461701762;11.084144010615145;10.321928094887362;11.627989784315703;11.627989784315703;10.86418614465428;13.453785055496157;11.768597882194374;11.215532999745657;11.188588845707349;12.289442575688332;14.47281774209204;12.2600374211066;11.71037597120447;12.67661826358852;9.741466986401146;12.23212108408222;11.088125692188209;8.581200581924957;13.852529509404196;13.778487861222372;12.443720600656578;11.144020869266893;13.20594593977576;11.756973226165448;12.68934284613419;10.38586240064146;11.806549621985962;13.88826759855572;11.950555897047511;12.51298730941902;11.11178773580101;12.874020767658976;10.494855584491198;11.16804526822409;10.7632123668144;11.791162888555018;12.049848549450562;11.466076461396252;10.357552004618084;12.743992861060176;13.599680430581166;11.384783750093352;13.032390168866524;10.886458695703706;12.51298730941902;10.480790201095816;11.31174831500496;11.092096414990792;10.91139198784346;12.52820989662271;13.128638812852598;12.41574176829009;11.882260929099804;14.02349447848274;11.779308973959898;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.313591652572708;13.286413369370344;12.914945656040324;13.814382188951573;10.263269200372662;11.96108788999733;11.96108788999733;13.87824254386927;13.40832974076739;13.79603960882977;12.776638647073584;12.311180660053354;13.652620934638165;13.157031074378354;13.67529549909406;13.158451904538389;14.037632744408544;13.605595262378865;14.214243219443867;14.191059214531656;13.953378017920128;13.975847968006784;14.021413793008133;13.275251543470327;13.905951035144904;14.16906376105911;11.727069558023706;13.915225836337218;13.25871324015922;13.759992179981;13.38275910405649;13.627989784315703;13.860214044191483;13.61895897884957;13.718746909901064;13.646783691837792;13.247334178028728;13.629015032522458;14.030322282644034;12.7300455028792;14.216366949449624;13.556865246766623;11.877284133523196;12.398476501449256;12.970285676897028;11.623424289869911;13.33622758948339;13.860214044191483;13.494855584491198;14.160659307217385;13.191830338095308;13.351215321855609;13.780129619625306;12.7868821936647;13.37218489648635;12.91026795581084;12.66777683839343;14.14449892583753;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.274669342073851;12.4186432493759;11.949097155729207;11.94800213097767;11.499845887083206;10.980139577639155;10.980139577639155;11.48683502156305;11.86457308177364;11.933321820732946;10.857203471508166;10.733015321685963;11.993292241488549;12.340128273700588;12.134747168669016;11.81698362325538;12.363313464373478;11.714245517666123;11.900866807980748;12.507794640198696;11.860311054919482;12.703687325967548;12.876900591040306;11.959639764364184;12.212800334429431;12.08381170725288;11.522091068887065;11.557942286787448;12.4757334309664;11.42940674151398;12.194141238863136;12.556266543582993;12.659326997414103;12.223096690347695;12.098361127332096;12.018895621121649;12.169925001442312;12.290594888082572;12.107870914279614;11.474212937193943;12.437231901039478;11.970465440779996;12.938476938666351;12.53818893205242;12.25591374933779;10.881113960675096;12.404077136241234;12.659326997414103;12.48255589154897;12.423641195075856;11.600377553107844;11.90275194485016;11.875749351420056;12.004922678569043;11.975847968006784;12.273795599214264;11.81698362325538;11.982637133669424;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.156715144224702;12.170863950411928;11.73893668167614;12.419433550705378;9.89026427702111;9.99859042974533;9.99859042974533;12.3009244909763;11.700006150882864;12.493355121494906;11.30435132166324;11.271463027904376;12.203348002979762;12.039261794341057;12.220378327695228;11.759888183221834;12.831505185085328;12.974414589805528;12.610794169053182;12.428621886091111;12.455840909126398;12.648132845652658;13.404476350847172;12.203348002979762;11.965062756744627;12.539643506238036;11.493855449240822;12.447083226209651;11.70433597118232;11.95492329203032;12.443461612227392;13.034111146096592;12.775816012673026;12.230620933129869;12.353146825498085;12.393658591454772;11.12023787734196;12.079484783826816;12.543515216152167;11.627989784315703;11.9901039638575;12.140190703191836;11.567005370247031;12.164906926675688;12.175861383565296;11.165535141377925;12.41758884038258;12.775816012673026;12.236911111444602;12.929628283024565;11.936637939002573;11.519636252843211;11.558420713268664;11.60917873814198;12.076147528022505;11.87305954766147;12.00842862207058;12.647908074281808;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
14.624681241788936;14.800849356187369;15.183402770013137;14.67672843923796;14.13065099628137;12.881687558870006;12.881687558870006;14.87253060355256;14.000440208419151;14.593449483061192;14.319107575824985;12.644982855229008;15.174379576489766;14.4360608294651;14.657597581833466;14.773654362961867;16.08594957174813;13.745989380245254;14.946860595698787;14.91802465066733;14.878673620892048;14.308267917629676;16.064490169977503;15.447954935540176;15.583552930466483;15.206594693657134;14.195756669774338;15.876397036741476;13.37055119427434;13.996296936687374;14.485514879600364;16.466363289000675;16.230545884619385;14.918304233699931;15.726537492725074;14.783561012206205;15.002331575532777;14.746829194016122;14.72136625059886;13.935901682267588;15.309902619183516;15.183945471757246;15.959436005069898;14.374360292304637;14.8342735152347;12.079484783826816;14.900772486445565;16.230545884619385;15.71201642131727;15.834767301405412;13.669992279616398;12.644532294625444;14.890406791225368;12.558898981146704;14.452756029032496;15.380021317010408;14.759628158521512;14.96983616916917;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
