gene
BAK1
CDH1
TPR
TCF7
BAX
GADD45B
MAPK1
MAPK3
CCDC6
CCND1
TFG
GADD45A
POLK
CDKN1A
PAX8
MAP2K2
GADD45G
PPARG
KRAS
DDB2
MYC
LEF1
TP53
RXRG
TPM3
TCF7L2
TCF7L1
BRAF
RET
CTNNB1
MAP2K1
HRAS
RXRA
NTRK1
RXRB
NRAS
NCOA4
