TCGA-EL-A3CN-01A;TCGA-BJ-A4O8-01A;TCGA-ET-A39N-01A;TCGA-EM-A2P3-01A;TCGA-IM-A3ED-01A;TCGA-DJ-A2PX-01A;TCGA-DE-A4MC-01A;TCGA-EL-A3T2-01A;TCGA-ET-A3BT-01A;TCGA-DE-A0Y2-01A;TCGA-DE-A4MB-01A;TCGA-FY-A76V-01A;TCGA-BJ-A2NA-01A;TCGA-DJ-A3V5-01A;TCGA-BJ-A0Z5-01A;TCGA-DJ-A3VA-01A;TCGA-ET-A39S-01A;TCGA-EL-A4K7-01A;TCGA-DJ-A3VM-01A;TCGA-DJ-A2Q3-01A;TCGA-EM-A2OW-01A;TCGA-ET-A2N5-01A;TCGA-DJ-A2Q7-01A;TCGA-EL-A3H5-01A;TCGA-FY-A4B3-01A;TCGA-FY-A4B0-01A;TCGA-FK-A3SD-01A;TCGA-EL-A4KI-01A;TCGA-DJ-A2PX-01A;TCGA-EL-A3CV-01A;TCGA-DJ-A3VB-01A;TCGA-ET-A25K-01A;TCGA-DJ-A3V2-01A;TCGA-EM-A22K-01A;TCGA-DO-A1JZ-01A;TCGA-EM-A22Q-01A;TCGA-CE-A484-01A;TCGA-J8-A3O2-01A;TCGA-L6-A4EP-01A;TCGA-EL-A3T9-01A;TCGA-DJ-A3VL-01A;TCGA-H2-A3RH-01A;TCGA-MK-A4N7-01A;TCGA-J8-A4HW-01A;TCGA-CE-A481-01A;TCGA-EL-A3TA-01A;TCGA-EL-A3CP-01A;TCGA-EM-A2CT-01A;TCGA-EM-A3AL-01A;TCGA-ET-A3DO-01A;TCGA-DJ-A3UP-01A;TCGA-E8-A242-01A;TCGA-EM-A2P0-01A;TCGA-EM-A22O-01A;TCGA-DJ-A1QF-01A;TCGA-ET-A2N4-01A;TCGA-FE-A3PC-01A;TCGA-BJ-A45F-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.337621901992508;9.35974956032233;9.49585502688717;9.24555270625568;9.60917873814198;9.60177078840771;9.192292814470768;9.164906926675688;9.211888294546004;9.283088353024002;8.73809225962049;8.897845456005511;9.554588851677638;9.330916878114618;9.025139562278508;9.250298417906333;9.022367813028454;8.64745842645492;9.4241662888181;9.952741247186488;9.992938336165814;9.14974711950468;9.909893083770042;8.682994583681683;9.717676423066395;10.490850876740298;9.968666793195208;9.64565843240871;9.60177078840771;9.794415866350104;9.703903573444665;8.471675214392045;9.94104760634058;9.192292814470768;9.157346935362844;7.392317422778761;9.092757140919852;9.278449458220482;8.483815777264256;9.972979786066292;9.084808387804362;9.688250309133178;8.945443836377912;9.603626344986193;9.936637939002573;9.403012023574997;8.710806433699352;9.700439718141093;10.274960472140602;9.689997971419446;9.60177078840771;9.961449694398196;9.047123912114026;7.761551232444479;9.67595703294175;9.60733031374961;8.714245517666123;8.965784284662087;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.714808960376228;15.277287400130357;16.44107997769742;15.675019770438348;16.381492255893566;15.283124535732409;15.833433690679843;15.459751783535282;15.715801157675774;15.839966474465504;15.148476582178278;14.008253527096048;15.950555897047511;16.07280253454421;14.896048529897111;15.829004181238506;15.88101833879994;14.199595668955244;14.259081190132113;15.960952189951058;14.896285095453251;14.572167287643708;16.05676470732673;13.785758957209914;15.993336473550263;15.49775829819264;16.018265390772385;14.263856019596082;15.283124535732409;15.835729698605052;16.04298454910378;15.92123658900528;15.993071060835794;15.05379863917489;15.71821176577204;12.59362454970607;14.489597122389307;15.902092427105698;14.876468983831543;15.779668063878946;13.9762060901486;15.95183108688825;16.43505164444166;16.324039871367216;15.145136088281756;15.023234556845988;15.759342077210922;15.399211156255298;16.067287293829256;15.39157924821793;15.654188473059545;16.381948449395214;16.049210424099552;13.754991860009431;16.129725740454873;14.306560164977428;14.922259183638582;13.927222402724643;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.27262978497637;13.003166506665169;12.236911111444602;13.410583848637842;13.70983771240597;13.311322594732095;13.71681946132995;13.754365599672196;13.4248223873518;13.443461612227392;13.177108041703692;12.7515440590891;13.230320715661112;13.53503231452927;12.852139328187244;13.488969836392693;12.947636937951827;11.373952655370193;13.349142980047198;14.002023847481446;13.024620264759832;12.399811959325683;13.524541715035848;12.794821973331224;13.227315099905493;13.198138052401116;12.74188827273525;12.241089378860856;13.311322594732095;13.597936149095696;13.185804615108458;12.71037597120447;13.11423036019097;13.197677446307418;13.210823518780844;10.473705749619416;12.498849206531723;13.25089053572334;11.693486957499324;13.671209323704815;12.275251543470327;13.235415935602528;13.47699928613306;13.193987293919182;13.225056771699682;12.729195859132094;13.230771018439848;13.456226055746944;13.874405076409488;12.960545013211664;13.49797654586254;13.43215037791784;13.507051302247916;11.673750739438065;14.22204015786482;12.769217996126503;12.148794321424337;12.303209948944776;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
10.878050912728536;11.491352073563435;10.949097155729207;12.0911047583765;11.534789211480266;11.664891669286089;10.181152256865566;10.74819284958946;11.310044679647506;9.372865060112588;8.800899899920305;9.902375114486023;11.377210530388552;11.78953364497036;10.294620748891628;11.117643101389092;10.669770888525518;10.642954223480332;9.469641817239516;11.31174831500496;9.14974711950468;9.837627933171404;12.842153884634872;10.0566377151132;11.06339508128851;6.894817763307944;8.787902559391432;10.709083812550343;11.664891669286089;11.081483438093674;12.020632761657708;10.41256984680521;12.66200071871848;9.691743519171276;10.134426320220928;10.038918989292302;11.559855041513623;11.442425193331609;11.488342277532524;11.4189067312579;10.303780748177102;11.474212937193943;13.439830883981392;10.466586337719244;10.501837184902296;11.57601187420678;12.26209484537018;7.515699838284043;7.05528243550119;10.929258408636972;10.8193807908646;11.0566377151132;10.554588851677638;9.422064766172811;12.396069557639867;11.16804526822409;10.640244936222343;10.130570562805426;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
12.155766938445652;11.895953892812168;12.33399388276136;11.817783121774534;11.929998062609029;11.98299357469431;12.463013413449692;11.682994583681683;12.023061249735337;11.817783121774534;11.665335917185176;11.3157156580222;12.140829770773;11.938844457466171;11.690871009292314;12.608947814565514;11.3009244909763;11.977995368612962;11.902375114486023;12.04746477331842;11.145932145820517;10.89178370321831;12.218865910069676;11.223398414711628;12.373137035802127;11.653740778706569;12.494855584491198;13.82356627364535;11.98299357469431;11.938476938666351;13.455969302758032;11.318542809702723;12.1767964781476;11.36796070964157;12.154501693864765;10.094077685671904;11.592924155627635;11.919980595048962;11.954559846999834;12.591989767615123;11.683871868622605;12.728558297786716;11.717676423066395;12.037546953962178;12.353422543614716;12.042343379793692;10.876516946565;11.665780028329484;11.589651146514786;11.86611979330307;12.3297963382207;13.107544031975989;11.64880694972577;10.112439506781552;11.511258495502268;11.54978466794786;11.728345714710976;11.364134655008051;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
11.330356716957944;11.0;9.667111542075029;11.203348002979762;12.2103669456326;13.058668250340572;11.491352073563435;14.262902317111298;12.017156386383112;12.71488943423155;13.275542556086725;12.338457843130849;11.31174831500496;11.791162888555018;10.234817431117325;12.557942286787448;13.464290473850768;12.464290473850768;10.470658874060552;11.325867580575418;10.841564347730577;13.582730044700748;12.140829770773;12.049848549450562;12.66644593881483;11.092096414990792;13.87987038167481;14.515515055057293;13.058668250340572;12.635264656539514;13.778487861222372;11.313449940963055;11.11178773580101;11.981210488271694;10.113742166049189;10.806549621985962;12.192292814470768;13.079484783826816;10.758223214726724;12.530893981193922;13.13747150335196;12.83110927535702;11.378836713210614;10.892542816648552;11.144020869266893;13.054434738760843;10.967226258835993;14.320165916775409;11.367414751246828;11.84901407369482;12.817383427897232;13.686609950751922;12.23212108408222;9.224001674198105;10.32755264408124;12.226412192788786;11.12605911607068;10.8649599151426;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.80332391904149;13.339432495996776;12.930182916865272;13.715640307164684;14.204876767603992;13.738514532429267;14.191599044300682;12.842743180731658;14.100169531129907;14.425084743242849;13.363450361943528;13.29332794695636;14.160659307217385;14.030322282644034;13.47395936569476;14.18541749109806;13.506431561252567;11.93258386928929;12.754678763822527;14.535093083891375;13.14561377551339;13.303209948944776;13.4806639976193;12.7300455028792;13.696424240578878;13.191830338095308;13.032562359001108;12.013322673425447;13.738514532429267;14.149032579943643;14.021413793008133;13.154185209265297;13.61895897884957;12.714030814928783;13.933229597442672;9.668884984266247;11.99506046703272;13.65150022065274;12.393658591454772;13.574711776183287;12.674412981837063;13.984151400205205;13.947819546020028;13.874981347653774;13.905951035144904;12.945626722229823;13.782281596148096;14.33427328530719;13.742730476519174;13.50444659914958;12.984952427732368;14.427509276164798;14.214243219443867;12.27873982655011;14.898884759593454;12.89954574499535;12.561049226699671;12.94196459298614;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
11.834866038362016;11.824163209744158;12.765286098723683;11.732167425663384;10.94251450533924;12.153552031708111;12.45763738099176;12.182704710518964;12.501588422932391;12.076147528022505;11.60733031374961;11.645208082774683;12.423641195075856;12.107870914279614;12.275251543470327;12.0744760007345;12.38316426063511;11.95164898590462;12.330076554797458;12.427312844134963;11.858758099935422;11.720671786825555;12.63117705570398;11.474212937193943;12.066089190457772;11.600377553107844;12.909518114296617;12.583082767502932;12.153552031708111;11.908767882849189;12.876900591040306;11.73893668167614;12.223096690347695;12.232720707964871;11.890644283619087;10.582141981658776;12.014717929860009;11.568906154502084;11.483311954999351;11.52258153125483;11.989394499844732;12.161131882984307;11.536247215688128;11.97906787148051;12.212800334429431;12.089119397915168;11.723660944409984;12.183945471757246;12.698487638557692;11.830911279742782;12.33343491528405;12.687375683437468;11.900866807980748;10.532355925288847;12.843724806299154;12.738514532429267;11.453785055496157;12.149111990706889;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.875941288497554;12.322773176454564;11.934428040626804;12.57459352733761;12.918117851031772;12.65798827627794;12.30149619498255;12.347621368568134;12.62593709953846;12.731319031025064;11.687375683437468;12.080817527608328;12.929628283024565;12.543515216152167;12.287712379549449;12.587308728333545;12.101975670949232;10.99506046703272;11.643405277115674;13.164906926675688;11.7300455028792;11.888362741170644;12.422853195944263;11.627989784315703;12.47040467706564;11.936637939002573;12.40992124124968;11.262682142362165;12.65798827627794;13.072467608241858;13.404476350847172;11.521600439723729;12.230620933129869;11.946906274456396;11.491352073563435;9.46352437327118;12.031701202740305;12.79380649145577;11.519636252843211;12.306061689428342;12.226713224618962;12.490600213019594;12.513480875979049;11.4757334309664;11.965062756744627;12.011926066306808;12.39660478118186;12.521600439723729;12.870750003346114;12.74588436914204;12.51717725268954;13.07296996854206;12.610794169053182;10.798471801101618;13.11699367754698;12.032734528586714;11.532842910961282;11.381542951184583;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
15.443429235404473;15.194179722532551;13.922770209274663;14.748559767508354;15.378565810000564;15.003166506665169;15.39094142973054;14.874453107805987;14.65234083774931;16.432297211295985;14.359063183678291;14.6476270608134;15.834767301405412;14.72136625059886;14.823118409427485;15.323793656665552;15.17215400825099;14.703525119085612;15.220113769038749;16.192215745369495;13.705092355522472;14.803677081788658;15.54490407781858;13.935901682267588;15.099471098353096;13.669992279616398;14.413958420639227;13.674302629212166;15.003166506665169;15.648975426540328;16.064490169977503;15.207395692946912;14.918304233699931;15.266164302842398;15.82766523001824;13.673750739438065;14.71789058398728;14.089284949013049;14.675019770438348;14.613616827902597;13.883311516379342;16.33497155502746;15.02570192373543;14.56236168971454;15.583552930466483;14.061202407045007;15.024057481432669;14.68118349694458;15.722754176076403;15.138431806276849;15.277178409180236;16.470706531011285;14.946860595698787;12.713816080234498;15.944780680751023;15.48787142917784;14.472563925229863;14.501588422932391;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
