TCGA-MK-A4N9-01A;TCGA-DJ-A3US-01A;TCGA-ET-A39I-01A;TCGA-H2-A3RI-01A;TCGA-EL-A3GZ-01A;TCGA-FE-A234-01A;TCGA-DJ-A2Q1-01A;TCGA-KS-A4IB-01A;TCGA-FY-A3RA-01A;TCGA-EM-A3O8-01A;TCGA-EM-A1YB-01A;TCGA-BJ-A4O9-01A;TCGA-4C-A93U-01A;TCGA-BJ-A45D-01A;TCGA-MK-A4N6-01A;TCGA-EM-A1CT-01A;TCGA-DJ-A2PW-01A;TCGA-EL-A3CU-01A;TCGA-DJ-A2QC-01A;TCGA-DJ-A2Q0-01A;TCGA-EM-A1CS-01A;TCGA-DJ-A3V8-01A;TCGA-FY-A3NN-01A;TCGA-EM-A1CW-01A;TCGA-EL-A3GX-01A;TCGA-EL-A3D4-01A;TCGA-DJ-A3VE-01A;TCGA-EM-A1CT-01A;TCGA-EL-A4K4-01A;TCGA-DJ-A3UO-01A;TCGA-DJ-A2PX-01A;TCGA-EM-A1YC-01A;TCGA-E8-A436-01A;TCGA-EL-A3TA-01A;TCGA-DJ-A1QO-01A;TCGA-EM-A2CJ-01A;TCGA-EL-A3D0-01A;TCGA-DJ-A3VA-01A;TCGA-DJ-A3UN-01A;TCGA-EM-A2CR-01A;TCGA-BJ-A4O8-01A;TCGA-EM-A3FN-01A;TCGA-DJ-A2PR-01A;TCGA-E8-A438-01A;TCGA-EM-A3FQ-01A;TCGA-DJ-A3V8-01A;TCGA-BJ-A0Z0-01A;TCGA-ET-A25R-01A;TCGA-EL-A3N2-01A;TCGA-EM-A2OX-01A;TCGA-BJ-A45K-01A;TCGA-EM-A3FK-01A;TCGA-EM-A2CJ-01A;TCGA-E3-A3DY-01A;TCGA-ET-A40S-01A;TCGA-FK-A3SH-01A;TCGA-EL-A3ZR-01A;TCGA-EM-A1YE-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
8.64745842645492;9.618385502258606;9.60177078840771;9.34207466799914;9.250298417906333;9.407267764244732;9.457380879072534;8.348728154231077;8.92481250360578;9.562242424221072;10.0;9.219168520462162;9.29920801838728;9.839203788096944;9.409390936137704;8.144658242831882;9.733015321685963;9.108524456778168;9.344295907915816;10.164906926675688;9.501837184902296;9.381542951184583;9.139551352398794;9.792790294301064;9.654636028527968;9.052568050804153;8.948367231584678;8.144658242831882;9.211888294546004;9.310612781659527;9.60177078840771;9.451211111832327;9.477758266443889;9.403012023574997;9.4241662888181;9.445014845868425;8.930737337562887;9.250298417906333;9.417852514885896;7.971543553950772;9.35974956032233;9.57553924683453;9.364134655008051;9.214319120800766;9.642051692927977;9.381542951184583;9.52552080909507;8.768184324776927;9.197216693110052;9.39231742277876;9.92481250360578;8.894817763307943;9.445014845868425;9.467605550082997;9.614709844115207;9.517669388133813;9.084808387804362;9.084808387804362;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.191599044300682;15.92687506945469;15.785145913982182;15.914034694104842;15.802516365121225;16.396270289737803;15.083188432071074;14.83964668733355;15.143024409003708;15.72627138647312;13.68431031112435;15.523041188341171;14.908486445443955;14.530406337099068;16.0783384726701;14.586312047782064;15.609928984594935;15.3972735315025;14.864331258235824;16.073660428456613;15.968644295904015;15.973921536954045;15.439214049340384;14.860844497351476;15.924046981991632;13.405008465206691;15.580376352946306;14.586312047782064;15.762823210017428;15.900182837097066;15.283124535732409;15.700412624004448;15.51794614056436;15.023234556845988;15.765001137276014;15.56379210712418;15.321928094887362;15.829004181238506;16.009806752886217;13.07045641594465;15.277287400130357;15.437264417239955;15.4757334309664;14.24666638387645;16.08006801072894;15.973921536954045;15.739543304888954;14.935072944069084;15.64537698036215;15.759940182538497;15.71523810240944;16.606867837374153;15.56379210712418;16.127792858206256;15.385929789530977;15.924998023446696;14.702605602110248;15.559138055642384;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
12.692179576312538;13.203806802487808;13.154343460243451;13.345959596404112;13.314300001897534;13.63696441133012;12.205793249397155;13.20594593977576;12.889313822384397;13.433324626715926;11.916625922211235;13.15212636534252;13.791468166998948;11.569380959522295;13.211584153079526;12.513974273740658;13.100169531129907;13.473578924860783;12.12347479824414;12.619761463298424;13.781052288362956;13.11829223302699;13.047294352783004;13.14863546054867;13.494480615017771;12.31938987600021;13.129926933510394;12.513974273740658;12.415477707697994;12.90444646450572;13.311322594732095;13.153552031708111;13.102795896703824;12.729195859132094;12.676397887044764;12.557942286787448;13.206861742837123;13.488969836392693;13.185959435631318;12.09901899101923;13.003166506665169;11.652396861477678;13.66478058593351;12.103943429891558;13.055621374781708;13.11829223302699;13.099347810403192;12.771283119641003;13.589182967039353;12.944712061043486;13.440090524950488;13.37978447405238;12.557942286787448;13.546412195119352;12.64880694972577;12.850577547205614;12.7054163988827;11.507299124122763;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
12.017156386383112;11.721953612801386;9.970105890612182;12.698053484163538;12.254142846855748;11.713816080234498;10.749869427396844;10.10459875356437;10.978710459106358;9.068778277985412;7.714245517666122;11.325305455089682;8.686500527183219;9.192292814470768;11.376668061857668;10.466586337719244;12.48733761520718;11.57601187420678;10.762382038710392;8.139551352398794;12.728345714710976;11.274378153246364;10.900112062977456;8.710806433699352;11.44759985827995;9.778077129535358;11.004220466318197;10.466586337719244;10.510764167917891;11.735132884139947;11.664891669286089;11.26620091249896;11.4189067312579;11.57601187420678;8.948367231584678;8.479780264029099;11.81418188419028;11.117643101389092;11.314583244274194;10.545929769085468;11.491352073563435;7.614709844115208;11.3701424794954;10.407267764244732;11.594791118089264;11.274378153246364;11.242578689451346;11.666667840690357;11.06204613772049;10.93737382019215;9.497851836951115;10.846273911349906;8.479780264029099;12.396337194231098;10.324180546618742;11.613329054371054;9.398743691938192;9.095397022792556;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.3701424794954;11.734709620225836;11.237807473723135;11.886458695703706;11.82376527978966;12.464290473850768;12.436711542137214;11.851358649033513;11.895953892812168;11.569380959522295;10.353146825498085;11.511258495502268;11.78463484555752;13.366868586167094;12.188279751964144;10.63026712502677;12.415213598765286;11.286557761607956;11.88760142450871;11.493355121494906;11.436711542137214;12.536975665610642;11.365775635326267;11.683871868622605;12.439311461818846;11.799281621521924;11.919235786028349;10.63026712502677;12.2940463132715;12.123798091251857;11.98299357469431;12.071797522284209;12.328394438352458;12.042343379793692;12.036517070486518;11.56081046872794;11.026523442519766;12.608947814565514;11.749869427396844;12.220982851081777;11.895953892812168;11.14274527675153;11.265615046484458;11.960364008877834;12.305206759008724;12.536975665610642;10.893301530860564;11.3701424794954;12.186423797538945;11.557942286787448;11.507794640198696;12.321928094887362;11.56081046872794;11.505811553919594;11.952741247186488;12.775198728897983;11.876133200043016;11.488844346457336;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
12.45249865769279;12.95492329203032;12.34179677239183;11.088125692188209;10.842350343413807;11.202736043250168;11.942147920394849;9.878050912728536;13.07129475348982;15.340023928434375;11.878050912728536;10.559377090526684;14.02349447848274;12.48733761520718;13.029804847630697;11.595257481449035;12.38855550398256;10.86418614465428;11.971184272404678;11.863411958941638;10.357552004618084;13.09490241275141;11.426264754702098;14.137551553014395;10.827342704234116;12.706927639617405;11.536732889835417;11.595257481449035;13.827938080144987;10.480790201095816;13.058668250340572;11.187352073200495;12.079818085212354;13.054434738760843;11.671098725748465;13.599680430581166;12.258566033889933;12.557942286787448;11.882260929099804;12.8668925276766;11.0;10.555547771647063;13.20181761666792;13.86534664481678;11.83880998570856;13.09490241275141;10.874981347653774;10.839991070539886;11.585432051592962;11.043027283594547;11.652396861477678;11.08746284125034;13.599680430581166;11.779308973959898;12.372865060112588;12.437231901039478;12.056299014550335;11.01262453886506;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.081483438093674;13.521109643651332;14.193448357216475;14.191059214531656;13.678820179524028;14.644250622776038;12.733439082899434;12.658657792126084;13.98504140334317;14.154976290625738;12.526988205432009;14.336994628117653;12.66777683839343;12.042343379793692;14.129765981310651;13.148953164809123;13.7171408816367;13.87824254386927;12.406205005418856;12.567956075415466;13.556865246766623;13.93488871535719;13.82714419098428;13.52833200886121;14.06785446938792;12.412305204955272;13.257387842692651;13.148953164809123;13.820378436323685;13.494855584491198;13.738514532429267;13.214774445103387;13.633789914085046;12.945626722229823;13.648357582009666;12.398476501449256;12.610102062999664;14.18541749109806;12.91026795581084;11.272046524389935;13.339432495996776;12.457380879072534;14.123151432773575;12.806146803320525;13.553509304309202;13.93488871535719;13.795633844506778;13.166476950816804;14.159004071924567;14.032734528586714;13.18719740206222;14.477631797450522;12.398476501449256;14.14449892583753;13.106399360305144;13.509651311178072;13.272338184158624;12.521845775161932;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
11.691307330191115;12.374496145691516;12.244661144764198;12.507794640198696;12.117967703717133;12.299494239009364;11.307770031890705;12.251186503524336;11.970105890612182;12.491853096329674;11.135067945777816;12.186423797538945;11.81698362325538;12.922955991908475;12.099676554859643;11.183635381473218;12.232420927176076;11.48683502156305;12.706496018061188;11.788718332690458;11.970465440779996;12.439311461818846;11.650154213675094;12.434106928609957;12.007728114632254;12.41732511767992;12.003166506665169;11.183635381473218;12.464035152189911;12.48255589154897;12.153552031708111;11.90651484484695;12.234518085739987;12.089119397915168;11.96902670215077;12.53818893205242;12.37531099747307;12.0744760007345;12.273795599214264;11.858758099935422;11.824163209744158;12.124444460008585;11.884552133987237;12.79644525906185;11.720244258287568;12.439311461818846;11.882260929099804;11.547858506058416;12.205182326228645;11.984418458801136;12.571989597604578;11.921097088106793;12.53818893205242;11.982637133669424;11.459431618637296;12.800899899920305;12.27786854617684;12.262975701227942;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
11.98903963696239;12.306916113522542;12.410716333604269;12.428621886091111;12.253847484987404;13.28439035916582;11.715961990255144;11.914011328541257;11.8356556908398;12.272921326867005;11.64745842645492;12.38424412224308;12.00842862207058;12.4070021479242;13.265761535294136;11.754887502163468;12.448374459662794;12.3009244909763;11.4542992936199;12.232720707964871;12.140190703191836;12.648132845652658;12.085804380278086;12.141468555393084;12.68057929578025;11.70173963867435;12.309476353841106;11.754887502163468;12.60293079091524;12.236911111444602;12.65798827627794;12.966685687403618;12.374224426123732;12.011926066306808;12.520373136339725;12.164906926675688;12.38720958071964;12.587308728333545;11.87305954766147;11.129283016944967;12.322773176454564;11.287135186086704;13.39780830865287;11.353698209048035;12.851749041416058;12.648132845652658;12.058330026205653;12.127671967038982;12.747143998186749;12.290018846932618;12.461990950585571;12.996650019175894;12.164906926675688;12.647908074281808;12.155766938445652;12.505315356136236;12.323899182397296;11.29978040285854;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
14.571752643503546;14.83836682949531;15.407367357758496;14.91802465066733;15.758899839936436;15.823889644691326;14.176406929058992;14.651163836621162;14.92123658900528;14.702713811001422;12.656201380194553;14.25214797976178;14.759628158521512;15.423181581223467;14.774992908933177;13.895007180368662;15.876133200043016;14.87253060355256;14.60177078840771;13.153552031708111;15.183945471757246;15.470277561770532;14.702659707570357;14.21515377227958;15.136670762341843;14.856230977341992;15.446695630709836;13.895007180368662;15.81275390721534;15.71201642131727;15.003166506665169;13.639001477148325;15.19567978549598;14.061202407045007;15.72075193432375;14.374360292304637;15.02630729871651;15.323793656665552;15.380021317010408;15.409589823398669;15.194179722532551;13.250594507192316;15.283124535732409;15.161997870047484;14.666556894018951;15.470277561770532;14.660608773874682;14.617926556798752;15.060906984695068;16.04161637660079;15.339432495996776;16.640513269719055;14.374360292304637;14.96983616916917;14.783561012206205;15.960273498194226;14.940221819733114;13.005799963509968;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
