TCGA-EM-A2CO-01A;TCGA-EM-A3AP-01A;TCGA-ET-A3DU-01A;TCGA-EM-A1CW-01A;TCGA-L6-A4ET-01A;TCGA-EL-A3GP-01A;TCGA-DJ-A2QB-01A;TCGA-EM-A22L-01A;TCGA-ET-A39L-01A;TCGA-BJ-A0Z3-01A;TCGA-EM-A2CL-01A;TCGA-EM-A3SU-01A;TCGA-EL-A3TA-01A;TCGA-FE-A237-01A;TCGA-DJ-A2PU-01A;TCGA-DJ-A3VA-01A;TCGA-DJ-A3UK-01A;TCGA-EL-A3ZH-01A;TCGA-EM-A1CT-01A;TCGA-J8-A3YH-01A;TCGA-DE-A4MA-01A;TCGA-EM-A3FK-01A;TCGA-BJ-A0Z0-01A;TCGA-EM-A4FF-01A;TCGA-DJ-A2Q7-01A;TCGA-CE-A3MD-01A;TCGA-DJ-A4V5-01A;TCGA-EL-A3GS-01A;TCGA-FE-A3PC-01A;TCGA-E8-A242-01A;TCGA-DE-A0Y3-01B;TCGA-EL-A3ZK-01A;TCGA-BJ-A191-01A;TCGA-FY-A3I4-01A;TCGA-FK-A3SD-01A;TCGA-DJ-A2Q7-01A;TCGA-BJ-A0Z2-01A;TCGA-EL-A3CW-01A;TCGA-ET-A39O-01A;TCGA-EM-A3FM-01A;TCGA-BJ-A0YZ-01A;TCGA-DJ-A3UX-01A;TCGA-BJ-A0Z2-01A;TCGA-FE-A231-01A;TCGA-EL-A3GR-01A;TCGA-EL-A3CL-01A;TCGA-BJ-A190-01A;TCGA-EL-A3CP-01A;TCGA-DJ-A3VE-01A;TCGA-FE-A239-01A;TCGA-ET-A39M-01A;TCGA-EL-A3MW-01A;TCGA-EM-A3AK-01A;TCGA-ET-A3DO-01A;TCGA-BJ-A45I-01A;TCGA-EM-A2CO-01A;TCGA-EM-A2CU-01A;TCGA-EL-A3T7-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.794415866350104;9.147204924942228;9.779719355143405;9.792790294301064;8.951284714966972;10.03342300153745;9.859534786382651;9.89178370321831;9.324180546618742;10.31741261376487;9.744833837499543;9.247927513443583;9.403012023574997;9.426264754702098;9.25974326369078;9.250298417906333;9.24555270625568;8.985841937003341;8.144658242831882;9.197216693110052;8.405141463136344;8.894817763307943;9.52552080909507;9.449148645375436;9.909893083770042;9.543031820255235;9.726218159332198;9.709083812550343;8.714245517666123;9.961449694398196;8.686500527183219;9.447083226209651;9.129283016944967;10.037546953962178;9.968666793195208;9.909893083770042;8.851749041416058;9.071462362556623;9.192292814470768;9.014020470314934;10.263269200372662;9.428360172704291;8.851749041416058;9.442943495848729;8.618385502258606;9.189824558880018;9.69522829149575;8.710806433699352;8.948367231584678;10.452241240430816;9.481799431665753;9.519636252843211;9.477758266443889;9.689997971419446;9.813781191217036;9.794415866350104;9.93810932621924;9.413627929024171;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.448180848303595;15.374801769046304;15.104885364094075;14.860844497351476;15.494636864142386;12.964160339100337;14.447083226209651;15.798142681665746;15.901244032467376;16.164023036671388;15.726111699158672;14.312244829933343;15.023234556845988;15.679397626013944;15.716417585219132;15.829004181238506;15.458566818342678;15.766114757586722;14.586312047782064;15.94370526351176;14.010965114050515;16.606867837374153;15.739543304888954;15.400178993625431;16.05676470732673;14.55608688416836;15.803954506168264;16.212401387923876;14.922259183638582;16.381948449395214;15.43250927757367;15.227916724201489;15.910150818761426;16.209282004953984;16.018265390772385;16.05676470732673;15.485829308701904;15.162391328756906;15.382691566896591;15.421801860469872;16.02282291845969;15.867375276565458;15.485829308701904;16.09300483515016;15.913380315237864;15.268139896096494;16.563479324481158;15.759342077210922;15.580376352946306;17.00709298583446;14.27394125977685;15.567718457850754;15.80052077875392;15.39157924821793;15.23545333389011;15.448180848303595;15.319989580523782;16.450454142443288;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
12.12347479824414;13.432672384270308;12.4993476328766;13.14863546054867;12.318260343712415;13.29476432206594;12.77540451950398;13.720244258287568;13.43840202279677;13.495730134445342;13.780642286217136;12.061033601681112;12.729195859132094;13.450309145537936;13.336088084088423;13.488969836392693;13.415213598765286;13.054943416573323;12.513974273740658;13.006501407569434;10.93737382019215;13.37978447405238;13.099347810403192;13.25502856981873;13.524541715035848;12.743572188935634;12.994883741970837;13.635604767744788;12.148794321424337;13.43215037791784;13.280045761300384;13.136029849385553;12.857980995127573;13.513727595952435;12.74188827273525;13.524541715035848;12.880157456601813;12.891403996665025;12.8317030992143;12.642728643769;12.828533210455618;13.543756853375896;12.880157456601813;14.16317792440416;13.439311461818846;12.862056133469462;13.94982671075911;13.230771018439848;13.129926933510394;13.350524871954471;11.746094383705463;13.153393693888615;13.429668265133094;12.960545013211664;12.81678367937856;12.12347479824414;12.74965996169181;13.7070355248327;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
10.040289721025715;11.521600439723729;10.573647187493322;8.710806433699352;11.671541066711884;8.826548487290914;8.483815777264256;9.25502856981873;11.471675214392045;13.02911464546904;9.154818109052105;10.417852514885896;11.57601187420678;11.082814337672271;12.266493756312183;11.117643101389092;11.632995197142955;8.823367240046235;10.466586337719244;11.7988767681333;10.509775004326936;10.846273911349906;11.242578689451346;11.88378880325996;12.842153884634872;11.730894646541673;11.055960234452296;10.287712379549449;10.640244936222343;11.0566377151132;10.661778097771988;9.842350343413807;10.1006623390052;11.083479327331842;8.787902559391432;12.842153884634872;10.183635381473218;11.482807956726669;10.405141463136344;11.563672959827514;9.92035285541508;11.279610581052484;10.183635381473218;10.843921051289035;10.112439506781552;10.97656412341533;10.29920801838728;12.26209484537018;11.004220466318197;13.09819661452721;11.159240650411672;12.102303817212649;11.400345796534694;10.929258408636972;10.906890595608518;10.040289721025715;10.163649676015824;13.130570562805426;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.255618749839597;12.59269061535341;12.14338321398982;11.683871868622605;11.788310503700918;11.479275030250204;11.455840909126398;12.177419537989236;11.265615046484458;12.044052531801302;12.013322673425447;12.354524889449351;12.042343379793692;11.93110683302934;11.660887270302569;12.608947814565514;11.460455896309636;11.949461979360152;10.63026712502677;12.206098613995795;12.760512051357347;12.321928094887362;10.893301530860564;12.210975677726395;12.218865910069676;11.90312867681232;12.372865060112588;12.247334178028728;11.728345714710976;13.107544031975989;11.159871336778387;12.659772961881613;11.569380959522295;12.490600213019594;12.494855584491198;12.218865910069676;10.924070185585345;10.643856189774723;11.978710459106358;12.6476832678862;11.958552715431011;11.261507309202056;10.924070185585345;12.187352073200495;11.446566409066069;12.460455896309636;12.069114061773938;10.876516946565;11.919235786028349;12.191676146352428;12.85350450102128;11.664447284547972;11.634811050171718;11.86611979330307;12.213408040858337;11.255618749839597;12.531381460516313;12.736190500960928;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
13.128638812852598;11.950555897047511;12.51101135288224;14.137551553014395;11.484319423644267;12.635491406251711;12.382083590141969;12.252961036393684;11.527477006060396;10.977279923499916;13.627077840517394;12.379649117760035;13.054434738760843;11.812979471251484;12.66200071871848;12.557942286787448;11.836444911341369;15.659438501455655;11.595257481449035;12.066425600635556;13.1705510353167;11.08746284125034;10.874981347653774;12.452756029032496;12.140829770773;11.41256984680521;12.52820989662271;10.3151495622563;11.12605911607068;13.686609950751922;12.67661826358852;13.637417341257986;10.247927513443583;14.52582663977073;13.87987038167481;12.140829770773;12.307770031890705;11.007728114632254;10.627533884472792;13.84097456982188;11.131213905086272;14.013235425078475;12.307770031890705;10.457380879072534;12.68934284613419;11.436190995481416;13.909799350537972;10.967226258835993;11.536732889835417;13.122504484313904;11.067434360756522;10.585901449690772;12.35974956032233;11.84901407369482;11.007027266893967;13.128638812852598;12.659772961881613;12.016111838220512;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
12.7868821936647;13.627989784315703;13.082315394198206;13.52833200886121;13.226863716982413;13.019416982944184;12.825952537523726;13.622852585863663;13.738408975813828;13.956194629090778;13.981745645634575;12.6142497276894;12.945626722229823;13.97271060143245;13.866602800787206;14.18541749109806;13.313591652572708;13.670988119312954;13.148953164809123;13.38275910405649;11.66622400280318;14.477631797450522;13.795633844506778;13.884742903579696;13.4806639976193;12.824958740528524;13.780129619625306;14.321153001682084;12.561049226699671;14.427509276164798;14.037632744408544;13.783612165256038;13.106562940444883;14.070037064419768;13.032562359001108;13.4806639976193;12.363313464373478;13.13827180017222;13.889218742472613;13.503949931603271;12.928148216169037;13.774684123919856;12.363313464373478;14.799939266063406;13.915225836337218;12.950009041886164;12.909143047339898;13.782281596148096;13.257387842692651;13.23017058349584;11.495355392235982;13.571634151857069;14.106644723559944;13.50444659914958;13.4248223873518;12.7868821936647;13.939211882666395;14.118535582110958;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.004922678569043;12.556266543582993;11.712097051087548;12.434106928609957;12.202429966015352;11.86727873970966;12.079818085212354;12.429929741353272;12.415477707697994;12.357277074642807;12.597587039586216;11.957827560833744;12.089119397915168;12.182083929510725;12.188897873242189;12.0744760007345;12.274669342073851;12.078484417411447;11.183635381473218;12.426526848451733;12.165221068220944;11.921097088106793;11.882260929099804;12.600377553107844;12.63117705570398;12.180219982170192;11.875749351420056;11.953468962228849;11.453785055496157;12.687375683437468;12.363313464373478;12.133463346523438;12.14338321398982;12.80231440599149;12.909518114296617;12.63117705570398;11.932952892194717;11.756139298372927;12.198445041452365;12.656201380194553;12.02410078025291;12.086467993464067;11.932952892194717;12.860699032611988;11.557942286787448;12.13699111208023;11.544964432789238;11.723660944409984;12.003166506665169;12.085472459181284;11.975847968006784;12.26766453750112;12.548581118165128;11.830911279742782;12.154501693864765;12.004922678569043;12.4797802640291;12.562242424221072;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
11.60917873814198;13.034111146096592;12.096385734452651;12.141468555393084;11.676838606474153;12.27262978497637;12.114393054867309;12.770870331357534;12.244066464194818;12.606173844717032;12.63254087654689;12.429668265133094;12.011926066306808;12.596655667674662;12.713171684314805;12.587308728333545;12.156715144224702;12.151333719291657;11.754887502163468;12.083146870816742;11.468114886378098;12.996650019175894;12.058330026205653;12.67087750439698;12.422853195944263;11.997885127829113;11.558420713268664;12.840187824040482;11.532842910961282;13.07296996854206;12.831505185085328;12.01227534485612;12.135067945777816;13.00842862207058;12.40992124124968;12.422853195944263;12.096056239180946;11.945443836377912;12.483059977871669;12.690871009292314;12.451211111832327;12.378836713210614;12.096056239180946;13.5302844003166;12.447083226209651;11.940680648424092;12.182704710518964;12.39660478118186;12.309476353841106;12.025831668332026;11.140190703191836;12.316564385396942;12.198445041452365;12.74588436914204;12.295481973695368;11.60917873814198;11.8649599151426;12.502334580197996;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
12.558898981146704;16.466363289000675;14.594791118089264;14.21515377227958;14.431889303895977;14.458086149644087;14.960635506863309;16.323265912195794;15.14386148186786;15.055367177786795;15.326429487122304;13.379242972670063;14.061202407045007;15.073890508348216;14.69854189867169;15.323793656665552;14.624681241788936;14.295768934420508;13.895007180368662;14.950783692200732;14.11788655998186;16.640513269719055;14.660608773874682;15.49775829819264;15.54490407781858;15.00899753401982;14.890406791225368;16.21663219602046;14.472563925229863;16.470706531011285;16.08594957174813;15.234143816653166;14.019938156424796;16.162312645599027;14.413958420639227;15.54490407781858;14.190442018782823;13.283956487665112;15.114637062485798;15.12395971059229;14.538310202597684;14.388017285345136;14.190442018782823;15.002946834789464;15.876397036741476;16.320536152763516;13.14194745831562;15.024057481432669;15.446695630709836;12.981567281903017;14.061539958530144;14.76632184795396;15.94196459298614;15.138431806276849;15.314583244274194;12.558898981146704;15.890857993352068;15.683981491740386;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
