TCGA-EL-A4K2-01A;TCGA-DJ-A1QE-01A;TCGA-EL-A3GV-01A;TCGA-GE-A2C6-01A;TCGA-GE-A2C6-01A;TCGA-EM-A2OV-01A;TCGA-E8-A44K-01A;TCGA-EM-A4FO-01A;TCGA-EL-A3CO-01A;TCGA-EL-A3GP-01A;TCGA-BJ-A45K-01A;TCGA-DJ-A1QD-01A;TCGA-EL-A4K7-01A;TCGA-E3-A3E3-01A;TCGA-DJ-A3UU-01A;TCGA-DJ-A2Q5-01A;TCGA-DJ-A2Q7-01A;TCGA-H2-A422-01A;TCGA-EL-A3CN-01A;TCGA-EL-A3ZQ-01A;TCGA-EL-A3ZQ-01A;TCGA-EM-A3FK-01A;TCGA-EL-A3T8-01A;TCGA-EL-A3CW-01A;TCGA-ET-A2N0-01A;TCGA-ET-A39P-01A;TCGA-EM-A3FO-01A;TCGA-FK-A3SH-01A;TCGA-FE-A3PC-01A;TCGA-CE-A3MD-01A;TCGA-ET-A25N-01A;TCGA-FE-A3PA-01A;TCGA-EL-A3CT-01A;TCGA-ET-A2MZ-01A;TCGA-FK-A3SH-01A;TCGA-E8-A415-01A;TCGA-BJ-A2N9-01A;TCGA-EL-A3H2-01A;TCGA-EM-A2CT-01A;TCGA-BJ-A45F-01A;TCGA-ET-A3DP-01A;TCGA-ET-A4KQ-01A;TCGA-GE-A2C6-01A;TCGA-EL-A3H1-01A;TCGA-ET-A2N3-01B;TCGA-DJ-A3V5-01A;TCGA-EM-A4FH-01A;TCGA-KS-A4IB-01A;TCGA-EM-A3FN-01A;TCGA-EL-A3ZK-01A;TCGA-DE-A4M9-01A;TCGA-KS-A41F-01A;TCGA-FE-A3PB-01A;TCGA-EM-A3O3-01A;TCGA-DJ-A2PZ-01A;TCGA-CE-A3ME-01A;TCGA-BJ-A28Z-01A;TCGA-EM-A3FJ-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.638435913990472;9.469641817239516;9.174925682500678;10.011227255423254;10.011227255423254;9.977279923499916;9.29232163280204;10.057991722759176;9.92035285541508;10.03342300153745;9.92481250360578;9.72451385311995;8.64745842645492;9.372865060112588;9.129283016944967;9.977279923499916;9.909893083770042;9.06339508128851;9.337621901992508;8.76487159073609;8.76487159073609;8.894817763307943;9.252665432450248;9.071462362556623;9.20945336562895;9.381542951184583;8.832890014164741;9.517669388133813;8.714245517666123;9.543031820255235;8.566054038171092;9.73809225962049;9.20945336562895;9.467605550082997;9.517669388133813;9.623881490013458;9.442943495848729;9.7515440590891;9.700439718141093;8.965784284662087;9.383704292474052;9.447083226209651;10.011227255423254;9.614709844115207;9.523561956057012;9.330916878114618;9.487840033823051;8.348728154231077;9.57553924683453;9.447083226209651;9.25974326369078;7.592457037268081;9.9901039638575;9.46352437327118;8.632995197142957;9.24555270625568;10.095397022792556;9.280770770130603;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.61649141050838;16.102324323876104;15.653488889567406;15.42314874605895;15.42314874605895;15.933621505718348;14.553269295151956;14.928333307585149;15.254917884181626;12.964160339100337;15.71523810240944;16.235546825367912;14.199595668955244;15.71488943423155;16.120906087019364;15.616433974951278;16.05676470732673;15.70576736374182;15.714808960376228;13.603858121842803;13.603858121842803;16.606867837374153;15.776690046152304;15.162391328756906;14.50481898763284;15.100539152817111;15.868123218254537;15.924998023446696;14.922259183638582;14.55608688416836;16.05061392748543;15.093788919775273;15.85511179803766;16.749817063821684;15.924998023446696;15.948663807809568;16.576469584370297;16.421834726302933;15.399211156255298;13.927222402724643;15.71161320485812;15.400345796534694;15.42314874605895;16.199499818372814;15.377956091723872;16.07280253454421;15.897490976768148;14.83964668733355;15.437264417239955;15.227916724201489;16.115714269413132;13.132178380915544;14.941918757493742;14.30078152956897;14.989616244829245;15.415444696725396;14.861716977916164;15.798902074798812;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
12.715533063526584;13.849991443179317;13.36153261284112;13.649368462612198;13.649368462612198;13.358101707440849;12.545688495560212;12.82097669262124;13.043198208900224;13.29476432206594;13.440090524950488;14.044479503612074;11.373952655370193;13.111950706153165;13.18084156556666;13.613098794209224;13.524541715035848;13.39794197197264;13.27262978497637;10.487840033823051;10.487840033823051;13.37978447405238;13.12573632939501;12.891403996665025;11.564149489985732;13.595956743943162;12.700222950799256;12.850577547205614;12.148794321424337;12.743572188935634;13.14210705730255;12.710160691782914;13.432672384270308;13.43996071030687;12.850577547205614;13.374903629112072;12.339293300180094;13.230470832204706;13.456226055746944;12.303209948944776;13.781052288362956;13.346790721750702;13.649368462612198;13.451726268074506;13.232870575002964;13.53503231452927;13.353146825498085;13.20594593977576;11.652396861477678;13.136029849385553;13.174925682500678;9.899356922923111;12.744833837499543;12.35974956032233;12.837627933171404;13.24123837912341;12.921283086307383;13.001232245244363;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
9.312882955284357;11.280190792216906;11.531868775177552;11.708221730038352;11.708221730038352;7.888743248898259;8.800899899920305;12.124444460008585;9.83605035505807;8.826548487290914;9.497851836951115;10.85096815098244;10.642954223480332;11.603626344986193;11.939946452458686;12.85972889267839;12.842153884634872;10.459431618637296;10.878050912728536;11.512740462803498;11.512740462803498;10.846273911349906;11.243173983472952;11.482807956726669;10.510764167917891;10.798471801101618;11.602234901341063;11.613329054371054;10.640244936222343;11.730894646541673;10.222794902868111;11.31174831500496;10.651948610723446;10.964340867792416;11.613329054371054;11.754887502163468;10.373952655370193;11.823367240046236;7.515699838284043;10.130570562805426;11.769011321097016;10.260919533662904;11.708221730038352;8.184875342908283;7.066089190457772;11.78953364497036;10.681238411777803;10.10459875356437;7.614709844115208;9.842350343413807;9.870364719583405;10.634811050171718;11.64250302878052;9.703903573444665;11.037546953962178;10.567005370247031;11.347067657165873;12.728983369988049;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.543515216152167;12.06339508128851;11.4797802640291;11.9901039638575;11.9901039638575;10.855647166027266;11.83289001416474;12.397139806235604;11.3151495622563;11.479275030250204;11.507794640198696;12.059006395201113;11.977995368612962;11.63026712502677;11.190442018782823;11.95383268214528;12.218865910069676;11.866506212226202;12.155766938445652;12.17648484729189;12.17648484729189;12.321928094887362;12.053925881531104;10.643856189774723;12.892353075734109;12.070120944476823;12.347898144596012;12.775198728897983;11.728345714710976;11.90312867681232;11.256208688527389;12.655754310144218;11.086136225027309;11.560332834212442;12.775198728897983;12.344018439881326;11.825753832883112;11.400345796534694;11.665780028329484;11.364134655008051;11.808562029957525;11.944346034137832;11.9901039638575;11.762797262498232;11.43514933836693;11.938844457466171;11.6142497276894;11.851358649033513;11.14274527675153;12.659772961881613;11.285980105928212;11.389093521904474;12.663113308455806;11.889503963411476;11.681677655209691;11.925925264972856;12.019938156424796;11.76487159073609;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
14.47281774209204;11.692179576312538;11.970824901362615;13.0;13.0;11.131213905086272;10.620219825507489;11.637530551525307;14.550325937953083;12.635491406251711;11.652396861477678;13.376668061857668;12.464290473850768;12.181462881270017;13.035486451292154;10.675074920385445;12.140829770773;12.65709510488839;11.330356716957944;10.401946123976536;10.401946123976536;11.08746284125034;11.709514660706716;11.007728114632254;13.228518097716194;10.390168956200185;13.435930651703597;12.437231901039478;11.12605911607068;11.41256984680521;12.786678033890652;11.876133200043016;13.846371863961608;11.116343961237469;12.437231901039478;10.876516946565;12.83605035505807;10.929258408636972;14.320165916775409;10.8649599151426;13.753530162781162;13.559377090526684;13.0;12.461735221604863;13.607792641919213;11.791162888555018;11.725366257895642;9.878050912728536;10.555547771647063;13.637417341257986;12.282509306240836;10.321928094887362;13.3292357417338;10.992938336165814;10.240791332161956;10.494855584491198;13.197677446307418;10.749869427396844;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.157031074378354;14.183480311333778;14.08131698928577;13.093087390444218;13.093087390444218;13.421144386530184;13.215684662824996;12.603626344986193;13.351077258307878;13.019416982944184;13.18719740206222;14.724034154016316;11.93258386928929;13.847057346091336;13.51582301395463;13.772314573921651;13.4806639976193;13.94800213097767;13.80332391904149;10.876516946565;10.876516946565;14.477631797450522;13.651163836621162;13.13827180017222;12.197523878257789;13.802516365121225;13.436190995481416;13.509651311178072;12.561049226699671;12.824958740528524;14.051293922803923;13.434106928609957;14.264809092046404;14.60917873814198;13.509651311178072;14.149032579943643;12.511505595792482;13.479401355283418;14.33427328530719;12.94196459298614;14.035228681414296;14.154976290625738;13.093087390444218;13.653740778706569;12.511258495502268;14.030322282644034;13.201358184030669;12.658657792126084;12.457380879072534;13.783612165256038;12.821773981970567;10.263269200372662;13.243620292847242;12.759680167210965;13.428229298205096;13.646783691837792;13.35397382181817;13.722807531169549;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.340128273700588;12.347621368568134;12.053586543639174;12.212496385193948;12.212496385193948;11.81977993183848;12.19567978549598;12.141468555393084;12.173052457774116;11.86727873970966;12.571989597604578;12.527232626447567;11.95164898590462;12.127349541059118;11.668441828052998;11.961811408087163;12.63117705570398;12.363587246524578;11.834866038362016;11.958915156091347;11.958915156091347;11.921097088106793;12.067098185748383;11.756139298372927;12.4186432493759;12.519144787997414;11.988329649231089;12.800899899920305;11.453785055496157;12.180219982170192;11.947636937951827;11.907641803665529;12.223700075986306;12.590587049915037;12.800899899920305;12.411510988012072;12.318260343712415;11.97656412341533;12.183945471757246;12.149111990706889;12.232420927176076;12.753216749178955;12.212496385193948;12.562003863651553;12.37531099747307;12.107870914279614;12.544240006441658;12.251186503524336;12.124444460008585;12.133463346523438;11.669328004395904;11.499845887083206;12.276415241892678;11.394462694610317;11.885696373339394;12.018895621121649;11.664447284547972;12.200592137689254;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.039261794341057;13.087297080919154;12.64565843240871;13.225358086454513;13.225358086454513;12.818382455041156;11.96686590038754;11.657765035265363;12.188588845707349;12.27262978497637;12.461990950585571;13.405673332281866;10.99506046703272;12.455584087578613;12.415213598765286;12.330916878114618;12.422853195944263;12.457124331540804;12.875941288497554;10.52258153125483;10.52258153125483;12.996650019175894;12.275542556086725;11.945443836377912;11.663113308455806;12.199058823653022;12.594091290260412;12.505315356136236;11.532842910961282;11.997885127829113;12.399277924508969;11.993646060016596;13.628103736769528;12.52772134428452;12.505315356136236;12.552188759557149;11.476746203939468;12.264149339723328;12.521600439723729;11.381542951184583;13.229269462266736;12.608254821977908;13.225358086454513;12.5427900615549;12.32108251801004;12.543515216152167;12.214622686302336;11.914011328541257;11.287135186086704;12.01227534485612;12.35974956032233;9.89026427702111;12.524051918717824;11.822969090453288;12.404343291585755;12.393658591454772;11.30720080914081;12.347067657165873;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
14.4360608294651;16.04174469790549;15.203959703239462;15.235079307381511;15.235079307381511;12.304921669581672;15.0013202225009;14.605884582552475;13.668774207974035;14.458086149644087;15.339432495996776;16.04614348731184;14.703525119085612;15.166163082646111;14.293830840932827;14.973024645289282;15.54490407781858;15.446146358770676;15.443429235404473;14.593799595109722;14.593799595109722;16.640513269719055;15.116059618317449;13.283956487665112;14.029718590416186;14.78759652544136;16.421045739591204;15.960273498194226;14.472563925229863;15.00899753401982;15.67849010630065;15.352698671143015;15.333819228687942;15.90536349897678;15.960273498194226;14.875413400077534;12.96379921393177;13.809567182259656;14.68118349694458;14.501588422932391;15.437914587394898;15.416764546819406;15.235079307381511;15.702984297726418;14.420683976428656;14.72136625059886;13.62662165235837;14.651163836621162;13.250594507192316;15.234143816653166;13.942331224510577;14.13065099628137;14.558480505424871;14.296844529073244;14.501588422932391;14.783561012206205;14.479148694154771;14.93820123811306;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
