TCGA-BJ-A0Z0-01A;TCGA-EM-A3O7-01A;TCGA-EM-A3AK-01A;TCGA-EL-A3CT-01A;TCGA-EL-A3T7-01A;TCGA-DJ-A13V-01A;TCGA-BJ-A290-01A;TCGA-EM-A2CP-01A;TCGA-EM-A3AL-01A;TCGA-DJ-A3UT-01A;TCGA-DJ-A3V4-01A;TCGA-L6-A4EQ-01A;TCGA-DJ-A13T-01A;TCGA-IM-A41Z-01A;TCGA-EL-A4JW-01A;TCGA-EL-A4K2-01A;TCGA-E8-A416-01A;TCGA-DE-A7U5-01A;TCGA-J8-A3YD-01A;TCGA-EM-A4FK-01A;TCGA-EL-A3ZL-01A;TCGA-EL-A3CZ-01A;TCGA-DJ-A13T-01A;TCGA-BJ-A45I-01A;TCGA-EM-A3AL-01A;TCGA-EL-A3ZK-01A;TCGA-EL-A3H3-01A;TCGA-DO-A1JZ-01A;TCGA-L6-A4ET-01A;TCGA-ET-A4KQ-01A;TCGA-FY-A3ON-01A;TCGA-DE-A2OL-01A;TCGA-DJ-A1QD-01A;TCGA-EL-A3GQ-01A;TCGA-CE-A484-01A;TCGA-ET-A39R-01A;TCGA-DJ-A3V4-01A;TCGA-BJ-A0Z5-01A;TCGA-EL-A3T1-01A;TCGA-EL-A3ZQ-01A;TCGA-E8-A417-01A;TCGA-FE-A22Z-01A;TCGA-ET-A2N5-01A;TCGA-FE-A233-01A;TCGA-ET-A40Q-01A;TCGA-DJ-A2PT-01A;TCGA-DJ-A3VA-01A;TCGA-ET-A3BP-01A;TCGA-E8-A438-01A;TCGA-L6-A4EP-01A;TCGA-FY-A4B0-01A;TCGA-DJ-A4V2-01A;TCGA-EL-A3CU-01A;TCGA-EL-A3CV-01A;TCGA-ET-A39L-01A;TCGA-FY-A3ON-01A;TCGA-BJ-A45E-01A;TCGA-DJ-A13O-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.52552080909507;9.243173983472952;9.477758266443889;9.20945336562895;9.413627929024171;8.951284714966972;9.923327485419192;10.236014191900084;10.274960472140602;9.46352437327118;9.13699111208023;8.784634845557521;9.398743691938192;8.744833837499545;9.77313920671969;9.638435913990472;9.556506054671928;9.0;9.154818109052105;9.682994583681683;8.290018846932618;8.539158811108031;9.398743691938192;9.813781191217036;10.274960472140602;9.447083226209651;9.759888183221834;9.157346935362844;8.951284714966972;9.447083226209651;9.505811553919594;9.818582177480858;9.72451385311995;8.980139577639157;9.092757140919852;9.894817763307945;9.13699111208023;9.025139562278508;10.27029532647204;8.76487159073609;9.403012023574997;9.084808387804362;9.14974711950468;10.36194377373524;9.92184093707449;9.91737207947684;9.250298417906333;9.204571144249204;9.214319120800766;8.483815777264256;10.490850876740298;9.057991722759176;9.108524456778168;9.794415866350104;9.324180546618742;9.505811553919594;10.183635381473218;10.193525360501216;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.739543304888954;15.656732096001791;15.80052077875392;15.85511179803766;16.450454142443288;15.68814100991415;15.557613276524698;14.977861249676913;16.067287293829256;15.013279049911516;15.83590236862802;14.99942752817247;16.14306428063141;13.724620431263602;15.823317477355756;15.61649141050838;15.780949798749663;15.066257405352257;15.65985656487418;15.60611599692373;13.790653947553906;15.50003268805555;16.14306428063141;15.23545333389011;16.067287293829256;15.227916724201489;15.827938080144987;15.71821176577204;15.494636864142386;15.400345796534694;15.945695298447646;16.728186256845007;16.235546825367912;15.700033252654167;14.489597122389307;14.999779845410004;15.83590236862802;14.896048529897111;16.12248426249915;13.603858121842803;15.509063623850938;15.118089410763382;14.572167287643708;16.81535827660657;15.778898476008376;15.124484848442146;15.829004181238506;14.85096815098244;14.24666638387645;14.876468983831543;15.49775829819264;16.024079131005227;15.3972735315025;15.835729698605052;15.901244032467376;15.945695298447646;12.554109152574004;16.17303293221105;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.099347810403192;12.971902746045467;13.429668265133094;13.432672384270308;13.7070355248327;12.609871287178828;13.500094949671809;12.857203471508166;13.874405076409488;12.802516365121225;13.405939193342396;12.461479447286155;13.78053976747196;11.71896091198421;12.959096342281969;12.715533063526584;13.16679075071818;12.61401961443572;13.027733249752831;12.99806148563642;12.035830072835015;13.256356135514164;13.78053976747196;12.81678367937856;13.874405076409488;13.136029849385553;13.013846052731347;13.210823518780844;12.318260343712415;13.346790721750702;13.559616085812724;14.420223419348645;14.044479503612074;13.75884780310832;12.498849206531723;12.774581180893598;13.405939193342396;12.852139328187244;13.88369335851507;10.487840033823051;13.343463343667905;12.696967526234287;12.399811959325683;14.50884704710649;13.352043425795433;12.433846208442825;13.488969836392693;12.711236767793784;12.103943429891558;11.693486957499324;13.198138052401116;12.98903963696239;13.473578924860783;13.597936149095696;13.43840202279677;13.559616085812724;12.026523442519766;13.295768934420508;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
11.242578689451346;12.220075970984304;11.400345796534694;10.651948610723446;13.130570562805426;11.96902670215077;10.014020470314934;10.660887270302569;7.05528243550119;10.287712379549449;11.746094383705463;11.868822554775;11.445532219028312;7.149747119504682;9.353146825498085;9.312882955284357;10.470658874060552;9.533329732305834;10.12670447284319;6.285402218862249;10.393390457443989;9.403012023574997;11.445532219028312;10.906890595608518;7.05528243550119;9.842350343413807;9.818582177480858;10.134426320220928;11.671541066711884;10.260919533662904;10.92481250360578;9.240791332161956;10.85096815098244;11.404077136241234;11.559855041513623;10.712527000439824;11.746094383705463;10.294620748891628;11.066761932386909;11.512740462803498;10.732167425663384;9.939579214314692;9.837627933171404;11.137631598235428;12.055282435501187;10.346513733165636;11.117643101389092;11.707790495528824;10.407267764244732;11.488342277532524;6.894817763307944;10.430452551665532;11.57601187420678;11.081483438093674;11.471675214392045;10.92481250360578;10.169925001442312;11.603626344986193;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
10.893301530860564;11.942147920394849;11.634811050171718;11.086136225027309;12.736190500960928;11.089450481115907;11.634811050171718;11.194756854422248;11.589651146514786;11.788718332690458;11.965423565810127;11.686062749895417;11.863024710236886;10.823367240046236;12.189515729800194;11.543515216152167;11.30890780406394;11.734286232096348;11.63254087654689;11.51422090935813;11.36139553316589;10.469641817239516;11.863024710236886;12.213408040858337;11.589651146514786;12.659772961881613;11.522091068887065;12.154501693864765;11.788310503700918;11.944346034137832;12.41336348121097;11.759472121202831;12.059006395201113;10.532355925288847;11.592924155627635;11.637983303777853;11.965423565810127;11.690871009292314;12.73978060977326;12.17648484729189;12.058668250340572;11.3292357417338;10.89178370321831;12.450438032395652;13.237359362198834;12.83605035505807;12.608947814565514;11.987264012072538;11.960364008877834;11.954559846999834;11.653740778706569;12.296916206879288;11.286557761607956;11.938476938666351;11.265615046484458;12.41336348121097;11.144020869266893;13.23511671439625;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
10.874981347653774;9.94397991434374;12.35974956032233;13.846371863961608;12.016111838220512;11.286557761607956;10.225207436943505;14.030494719749468;11.367414751246828;12.485074563698612;13.11064642757782;12.808763116450413;12.568668693380506;12.65284497300198;12.753843508311638;14.47281774209204;12.65508344519798;12.275251543470327;12.39473062943157;13.391914828931892;11.935533412950749;11.768597882194374;12.568668693380506;11.007027266893967;11.367414751246828;13.637417341257986;10.842350343413807;10.113742166049189;11.484319423644267;13.559377090526684;11.451211111832327;13.111950706153165;13.376668061857668;12.123798091251857;12.192292814470768;11.752798758435516;13.11064642757782;10.234817431117325;12.400345796534694;10.401946123976536;10.468624042918018;11.30435132166324;13.582730044700748;10.73893668167614;11.944712061043486;12.250002267840449;12.557942286787448;10.777255315191924;13.86534664481678;10.758223214726724;11.092096414990792;12.588011853215088;10.86418614465428;12.635264656539514;11.527477006060396;11.451211111832327;12.587308728333545;14.594907723063336;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.795633844506778;13.729833138848363;14.106644723559944;14.264809092046404;14.118535582110958;13.323899182397296;13.91429169033146;13.153393693888615;13.742730476519174;13.20197072837312;13.891878614243698;13.080651001949818;13.353146825498085;12.556984957594462;13.634924465135096;13.157031074378354;13.157820597213629;12.947819546020028;13.149905858025049;13.855452509744048;11.50928016808786;13.79603960882977;13.353146825498085;13.4248223873518;13.742730476519174;13.783612165256038;13.703038388986418;13.933229597442672;13.226863716982413;14.154976290625738;14.040803409847555;13.922212717785449;14.724034154016316;14.044735626056909;11.99506046703272;13.268980531649836;13.891878614243698;13.47395936569476;14.19329433831584;10.876516946565;13.959096342281969;13.218714581067502;13.303209948944776;15.242950776999097;14.131937322399144;13.307770031890705;14.18541749109806;12.887220615468385;12.806146803320525;12.393658591454772;13.191830338095308;13.971902746045467;13.87824254386927;14.149032579943643;13.738408975813828;14.040803409847555;11.97692206785108;13.8357543670165;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
11.882260929099804;11.636171441635922;12.548581118165128;12.223700075986306;12.562242424221072;11.84901407369482;12.565340127208454;11.637530551525307;12.698487638557692;12.351767443959892;12.35397382181817;11.838416075797335;12.32023644524165;11.16804526822409;12.104926303807776;12.340128273700588;12.260919533662904;11.401412878714178;12.29318423075951;11.86611979330307;11.383704292474052;11.933321820732946;12.32023644524165;12.154501693864765;12.698487638557692;12.133463346523438;11.456354415108288;11.890644283619087;12.202429966015352;12.753216749178955;12.127994320976391;13.09687983630378;12.527232626447567;11.590587049915037;12.014717929860009;11.812979471251484;12.35397382181817;12.275251543470327;12.613098794209224;11.958915156091347;12.404609397837712;11.88340698638837;11.720671786825555;13.201511344500146;12.297202882496904;12.04507705193494;12.0744760007345;12.697619199078714;12.79644525906185;11.483311954999351;11.600377553107844;12.020632761657708;11.48683502156305;11.908767882849189;12.415477707697994;12.127994320976391;11.068778277985412;13.050698944430026;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.058330026205653;11.629811944382231;12.198445041452365;13.628103736769528;12.502334580197996;12.127349541059118;12.574357000565888;12.728133100306216;12.870750003346114;11.975847968006784;12.724300673209568;11.622509454683335;12.321364432039449;10.583082767502932;12.060695931687556;12.039261794341057;12.241685287601625;12.004571615167656;12.20304205556246;12.002111776479852;11.480285320936373;12.493355121494906;12.321364432039449;12.295481973695368;12.870750003346114;12.01227534485612;12.562003863651553;11.491352073563435;11.676838606474153;12.608254821977908;12.541096615349524;13.098854553218755;13.405673332281866;12.623195635452936;12.031701202740305;11.287712379549449;12.724300673209568;12.287712379549449;12.993115299679175;10.52258153125483;12.570330101030798;12.032045726930807;11.888362741170644;13.64374347482167;12.8107724413447;12.346790721750702;12.587308728333545;12.134747168669016;11.353698209048035;11.519636252843211;11.936637939002573;12.621365094314864;12.3009244909763;13.072467608241858;12.244066464194818;12.541096615349524;10.855647166027266;13.24852060493843;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
14.660608773874682;14.496666564327992;15.94196459298614;15.333819228687942;15.683981491740386;14.874933333840945;15.068484403046998;12.648582283363735;15.722754176076403;14.494543116698312;14.618786959806712;14.042257869018638;16.07958894878169;13.060527067048644;16.632682867102677;14.4360608294651;13.77066389291676;15.0999641448219;14.862588931160628;14.18820246817996;13.701523066574437;14.593449483061192;16.07958894878169;15.314583244274194;15.722754176076403;15.234143816653166;14.449922415863757;15.82766523001824;14.431889303895977;15.416764546819406;15.428785432852068;16.02156561112606;16.04614348731184;14.455455659658384;14.71789058398728;14.66077587818261;14.618786959806712;14.823118409427485;15.839006900339438;14.593799595109722;14.488028395704406;15.607012377167775;14.803677081788658;16.71205673676569;14.637190894068558;15.002990771840553;15.323793656665552;15.246258135228803;15.161997870047484;14.675019770438348;13.669992279616398;15.74236207285876;14.87253060355256;15.648975426540328;15.14386148186786;15.428785432852068;12.282798858683533;15.59248623659696;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
