TCGA-EL-A3CT-01A;TCGA-EL-A3T7-01A;TCGA-EL-A3CZ-01A;TCGA-BJ-A2N7-01A;TCGA-EM-A2OX-01A;TCGA-EL-A4KI-01A;TCGA-EM-A22O-01A;TCGA-ET-A39O-01A;TCGA-EM-A2OZ-01A;TCGA-BJ-A28Z-01A;TCGA-E3-A3E3-01A;TCGA-EM-A22N-01A;TCGA-DJ-A4UT-01A;TCGA-BJ-A3EZ-01A;TCGA-DJ-A3VB-01A;TCGA-BJ-A45I-01A;TCGA-BJ-A28R-01A;TCGA-BJ-A4O8-01A;TCGA-BJ-A2N7-01A;TCGA-DJ-A3UQ-01A;TCGA-DE-A4MD-01A;TCGA-EM-A4G1-01A;TCGA-E8-A433-01A;TCGA-ET-A3BU-01A;TCGA-EL-A3H2-01A;TCGA-ET-A40R-01A;TCGA-DJ-A1QN-01A;TCGA-EM-A3AO-01A;TCGA-ET-A39T-01A;TCGA-ET-A39K-01A;TCGA-BJ-A0ZH-01A;TCGA-DJ-A3V6-01A;TCGA-FY-A3R6-01A;TCGA-QD-A8IV-01A;TCGA-FY-A3W9-01A;TCGA-EL-A3H8-01A;TCGA-EM-A2P0-01A;TCGA-DE-A0Y2-01A;TCGA-EM-A2OY-01A;TCGA-DJ-A2PS-01A;TCGA-DJ-A2PS-01A;TCGA-EM-A3FQ-01A;TCGA-EM-A22O-01A;TCGA-BJ-A45H-01A;TCGA-ET-A25O-01A;TCGA-EL-A3CY-01A;TCGA-KS-A4I9-01A;TCGA-DJ-A2PU-01A;TCGA-DJ-A3UY-01A;TCGA-EM-A3O7-01A;TCGA-BJ-A190-01A;TCGA-DE-A2OL-01A;TCGA-BJ-A291-01A;TCGA-QD-A8IV-01A;TCGA-ET-A3BP-01A;TCGA-ET-A3DW-01A;TCGA-EM-A3AJ-01A;TCGA-BJ-A28W-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.20945336562895;9.413627929024171;8.539158811108031;9.67595703294175;9.39231742277876;9.64565843240871;7.761551232444479;9.192292814470768;10.130570562805426;10.095397022792556;9.372865060112588;10.095397022792556;9.618385502258606;9.72451385311995;9.703903573444665;9.813781191217036;10.0;9.35974956032233;9.67595703294175;9.64745842645492;9.095397022792556;9.118941072723509;9.189824558880018;9.35974956032233;9.7515440590891;9.776433032444732;10.211888294546004;9.76983784362944;9.310612781659527;8.948367231584678;9.4797802640291;8.988684686772165;8.92184093707449;8.625708843064466;9.975847968006784;8.7714894695006;9.047123912114026;9.283088353024002;9.134426320220928;8.839203788096944;8.839203788096944;9.642051692927977;7.761551232444479;8.829722735086058;9.129283016944967;10.430452551665532;9.144658242831882;9.25974326369078;9.501837184902296;9.243173983472952;9.69522829149575;9.818582177480858;9.622051819456376;8.625708843064466;9.204571144249204;9.169925001442312;10.470658874060552;9.67065624911844;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.85511179803766;16.450454142443288;15.50003268805555;15.481957060187174;15.759940182538497;14.263856019596082;13.754991860009431;15.382691566896591;16.354025493351312;14.861716977916164;15.71488943423155;15.978263569086092;14.913497190377948;15.802011414277494;16.04298454910378;15.23545333389011;15.856109369465589;15.277287400130357;15.481957060187174;15.724087461793989;15.12968549847663;13.489220783521674;14.890406791225368;16.404409822750466;16.421834726302933;15.904399421380557;15.95196764754346;14.595781960091452;15.209681814871868;15.214622686302336;15.321716747126032;15.406570417075324;14.382083590141969;14.674357806579732;15.933298765463055;15.913053014465556;16.049210424099552;15.839966474465504;15.101975670949232;15.59840149706873;15.59840149706873;16.08006801072894;13.754991860009431;15.541278151122372;15.74979088132137;14.951922128761304;15.265138855101796;15.716417585219132;15.580140772436168;15.656732096001791;16.563479324481158;16.728186256845007;15.446210989853965;14.674357806579732;14.85096815098244;15.787009778853712;15.633818288737976;13.710053040024412;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.432672384270308;13.7070355248327;13.256356135514164;13.28424574982967;12.944712061043486;12.241089378860856;11.673750739438065;12.8317030992143;14.04840172658824;12.921283086307383;13.111950706153165;13.08994696349794;12.778487861222372;13.597470650974085;13.185804615108458;12.81678367937856;13.766528908598865;13.003166506665169;13.28424574982967;13.405939193342396;13.801405239881648;12.423903765836592;12.027560482248775;13.330776858214389;13.230470832204706;12.78483929465315;13.99408821118647;12.789126046425231;12.78749449969676;11.921097088106793;12.90444646450572;13.05697633617822;12.225508720236;12.358925869154714;13.588011853215088;13.24555270625568;13.507051302247916;13.443461612227392;12.79603960882977;13.271463027904376;13.271463027904376;13.055621374781708;11.673750739438065;12.342352510087794;13.633108754940718;13.20197072837312;12.503577318702687;13.336088084088423;13.453270634010623;12.971902746045467;13.94982671075911;14.420223419348645;12.390706372872774;12.358925869154714;12.711236767793784;13.235715094761895;12.959458646412672;11.358651200892886;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
10.651948610723446;13.130570562805426;9.403012023574997;10.67595703294175;10.93737382019215;10.709083812550343;9.422064766172811;10.405141463136344;11.433585441150496;11.347067657165873;11.603626344986193;11.13699111208023;10.091435386323608;10.720244258287568;12.020632761657708;10.906890595608518;11.934796592178404;11.491352073563435;10.67595703294175;11.406736482691723;9.4757334309664;8.734709620225837;11.049848549450562;10.906890595608518;11.823367240046236;11.030667136246942;12.699355555588465;9.709083812550343;10.417852514885896;11.398743691938192;10.987974524296153;9.83289001416474;10.188588845707349;7.721099188707186;6.569855608330948;11.476746203939468;10.554588851677638;9.372865060112588;10.153552031708111;11.3409627642517;11.3409627642517;11.594791118089264;9.422064766172811;10.898601387403938;11.806146803320525;12.541096615349524;11.136350341454156;12.266493756312183;10.250298417906333;12.220075970984304;10.29920801838728;9.240791332161956;8.857980995127573;7.721099188707186;11.707790495528824;11.52552080909507;10.632086412835182;12.588011853215088;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.086136225027309;12.736190500960928;10.469641817239516;11.61654884377899;11.557942286787448;13.82356627364535;10.112439506781552;11.978710459106358;12.33511116842486;12.019938156424796;11.63026712502677;11.977995368612962;11.617008227651963;12.069449767427784;13.455969302758032;12.213408040858337;12.060020354507852;11.895953892812168;11.61654884377899;12.26473580113014;11.576956664706092;11.167418145831736;12.323054760341646;12.270587340447513;11.400345796534694;12.597121428789569;12.647008638441648;11.274378153246364;11.381002109550924;12.232720707964871;12.345405246717796;11.7714894695006;11.632995197142955;11.233619676759702;11.745254141957256;11.057991722759176;11.64880694972577;11.817783121774534;11.43879185257826;11.11178773580101;11.11178773580101;12.305206759008724;10.112439506781552;11.257387842692651;11.292896755409172;12.367687756270046;11.867664848380745;11.660887270302569;11.950555897047511;11.942147920394849;12.069114061773938;11.759472121202831;11.16679075071818;11.233619676759702;11.987264012072538;11.89026427702111;12.011227255423254;11.61286849729104;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
13.846371863961608;12.016111838220512;11.768597882194374;14.565102078360312;11.043027283594547;14.515515055057293;9.224001674198105;10.627533884472792;10.467605550082997;13.197677446307418;12.181462881270017;11.633449374713493;12.38316426063511;10.658211482751796;13.778487861222372;11.007027266893967;11.543515216152167;11.0;14.565102078360312;13.009478745888066;11.584492796975876;13.802112418586066;12.485829308701904;12.99453022688921;10.929258408636972;12.754261196514;11.445532219028312;13.791162888555018;10.151016538892248;13.928240764845391;11.032734528586714;11.111135670234708;12.762382038710392;13.04011845076483;12.686062749895417;11.481799431665753;12.23212108408222;12.71488943423155;12.688250309133178;11.926666629347284;11.926666629347284;11.83880998570856;9.224001674198105;12.1767964781476;8.696967526234287;12.9683067944308;10.169925001442312;12.66200071871848;12.708868340211673;9.94397991434374;13.909799350537972;13.111950706153165;10.38586240064146;13.04011845076483;10.777255315191924;11.095397022792556;11.706927639617405;12.636171441635922;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
14.264809092046404;14.118535582110958;13.79603960882977;13.720564916568025;14.032734528586714;12.013322673425447;12.27873982655011;13.889218742472613;14.7410982599159;13.35397382181817;13.847057346091336;13.90717234447005;13.442813937675153;14.38808457365656;14.021413793008133;13.4248223873518;14.324883717194092;13.339432495996776;13.720564916568025;13.86785786397283;13.557104658489855;12.961811408087163;12.526499239136566;14.16906376105911;13.479401355283418;13.41336348121097;14.66855262986872;13.515330248160108;13.780642286217136;12.798471801101618;13.498973829262413;13.694140204076431;12.99717948093762;11.80332391904149;13.168358727223886;13.779719355143405;14.214243219443867;14.425084743242849;12.705632387361415;13.594791118089264;13.594791118089264;13.553509304309202;12.27873982655011;13.135388651579046;13.40101281538281;13.6476832678862;13.31741261376487;13.866602800787206;13.86611979330307;13.729833138848363;12.909143047339898;13.922212717785449;13.25871324015922;11.80332391904149;12.887220615468385;13.944437549570695;12.799888688663591;11.228217442293436;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.223700075986306;12.562242424221072;11.933321820732946;12.71037597120447;11.984418458801136;12.583082767502932;10.532355925288847;12.198445041452365;12.699572453287267;11.664447284547972;12.127349541059118;12.19598729802851;11.89822347121556;12.2428763671664;12.876900591040306;12.154501693864765;12.740624044489412;11.824163209744158;12.71037597120447;12.14051027236822;12.485577770903188;11.788310503700918;11.885315061049376;12.061708704660624;11.97656412341533;12.3009244909763;12.633449374713493;12.292033985499543;11.963979787815338;12.4207497582968;12.784430367484626;12.156715144224702;11.465056167831175;11.303209948944776;12.66644593881483;11.52845411076479;11.900866807980748;12.076147528022505;11.533816389433364;11.57459352733761;11.57459352733761;11.720244258287568;10.532355925288847;11.693922488081014;12.378294855911893;11.868050853745158;11.979782430703086;12.188897873242189;12.390975006155534;11.636171441635922;11.544964432789238;13.09687983630378;12.4757334309664;11.303209948944776;12.697619199078714;12.227916724201489;11.881113960675096;11.800899899920305;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
13.628103736769528;12.502334580197996;12.493355121494906;13.004396051426534;12.290018846932618;11.262682142362165;10.798471801101618;12.483059977871669;13.031356596255709;11.30720080914081;12.455584087578613;12.644757592516257;11.72749506902543;12.969386521342283;13.404476350847172;12.295481973695368;12.956013078088098;12.322773176454564;13.004396051426534;12.568668693380506;12.39660478118186;11.478769619475765;11.80292019858527;12.604321563877273;12.264149339723328;11.59898297103609;12.68013971776317;12.248817059278505;12.258271576282851;12.07112712494831;12.646783691837792;12.283956487665112;11.111135670234708;11.344295907915816;12.55026580686874;12.449664538476192;12.610794169053182;12.731319031025064;11.953468962228849;12.518161355756956;12.518161355756956;12.851749041416058;10.798471801101618;11.582141981658776;12.220075970984304;12.447083226209651;12.016808287686557;12.713171684314805;12.387748100711294;11.629811944382231;12.182704710518964;13.098854553218755;11.70433597118232;11.344295907915816;12.134747168669016;12.85972889267839;12.26238852375102;10.932952892194717;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
15.333819228687942;15.683981491740386;14.593449483061192;14.75410457760912;16.04161637660079;13.674302629212166;12.713816080234498;15.114637062485798;15.697320552231202;14.479148694154771;15.166163082646111;13.605942439625368;15.418050239143165;15.505532463666098;16.064490169977503;15.314583244274194;16.283015984884692;15.194179722532551;14.75410457760912;14.793095228611756;13.631404448728468;13.238106137432077;14.554708751535664;15.68019467234049;13.809567182259656;14.415609744035512;16.29348961056697;14.993071060835794;14.080900783230064;14.932491598812405;15.52399068248441;15.260662306543717;14.392049039364183;14.142585748356288;15.595053466028928;14.982191458511918;14.946860595698787;16.432297211295985;11.58777751632821;15.009260033118233;15.009260033118233;14.666556894018951;12.713816080234498;14.619360276870722;15.35827344662811;14.272338184158624;14.963889503698727;14.69854189867169;15.025615420854908;14.496666564327992;13.14194745831562;16.02156561112606;13.37055119427434;14.142585748356288;15.246258135228803;15.620735308982333;13.900961123349717;11.378836713210614;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
