TCGA-ET-A39T-01A;TCGA-BJ-A2N8-01A;TCGA-FE-A233-01A;TCGA-DJ-A2QB-01A;TCGA-ET-A3BS-01A;TCGA-FK-A3SB-01A;TCGA-KS-A41L-01A;TCGA-L6-A4EQ-01A;TCGA-DE-A0XZ-01A;TCGA-EM-A3OA-01A;TCGA-EL-A3GZ-01A;TCGA-E8-A418-01A;TCGA-EL-A3ZK-01A;TCGA-EM-A3OB-01A;TCGA-EM-A2CK-01A;TCGA-EM-A2CR-01A;TCGA-EL-A4KD-01A;TCGA-BJ-A0Z5-01A;TCGA-ET-A3DQ-01A;TCGA-BJ-A45F-01A;TCGA-ET-A40P-01A;TCGA-ET-A3BU-01A;TCGA-EM-A22J-01A;TCGA-CE-A3MD-01A;TCGA-EM-A2P2-01A;TCGA-EM-A3SX-01A;TCGA-DE-A4MC-01A;TCGA-FE-A231-01A;TCGA-FE-A3PC-01A;TCGA-ET-A2MX-01A;TCGA-ET-A39I-01A;TCGA-EM-A3FN-01A;TCGA-KS-A4I7-01A;TCGA-BJ-A45H-01A;TCGA-FY-A3R9-01A;TCGA-DJ-A2PP-01A;TCGA-E8-A437-01A;TCGA-DE-A69J-01A;TCGA-EL-A4K4-01A;TCGA-E8-A2JQ-01A;TCGA-FY-A3NM-01A;TCGA-E3-A3DY-01A;TCGA-EM-A3AJ-01A;TCGA-EM-A3AK-01A;TCGA-DJ-A13P-01A;TCGA-EL-A3ZT-01A;TCGA-BJ-A3PR-01A;TCGA-H2-A3RI-01A;TCGA-E8-A416-01A;TCGA-EM-A22J-01A;TCGA-FE-A235-01A;TCGA-DJ-A3V2-01A;TCGA-J8-A3NZ-01A;TCGA-E8-A418-01A;TCGA-DJ-A13W-01A;TCGA-BJ-A45K-01A;TCGA-EM-A3FK-01A;TCGA-EM-A3AI-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.310612781659527;10.367414751246828;10.36194377373524;9.859534786382651;10.001408194392807;9.577428828035748;8.845490050944376;8.784634845557521;9.663558104217271;10.61378946447258;9.250298417906333;9.792790294301064;9.447083226209651;9.620219825507489;8.103287808412022;7.971543553950772;9.550746785383245;9.025139562278508;9.353146825498085;8.965784284662087;9.052568050804153;9.35974956032233;9.74819284958946;9.543031820255235;9.776433032444732;9.39660478118186;9.192292814470768;9.442943495848729;8.714245517666123;9.52552080909507;9.60177078840771;9.57553924683453;8.459431618637296;8.829722735086058;10.158609688214478;9.702172685365548;8.74819284958946;9.807354922057604;9.211888294546004;9.972979786066292;9.96000193206808;9.467605550082997;10.470658874060552;9.477758266443889;9.192292814470768;8.980139577639157;10.643856189774723;9.34207466799914;9.556506054671928;9.74819284958946;9.523561956057012;9.94104760634058;9.586839787961829;9.792790294301064;8.060695931687555;9.92481250360578;8.894817763307943;9.164906926675688;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.209681814871868;15.736692597475228;16.81535827660657;14.447083226209651;15.964228040007171;16.42703451963504;15.985263818365716;14.99942752817247;14.896568922926306;15.761577202383563;15.802516365121225;15.908345706150364;15.227916724201489;15.006238406011713;14.102795896703824;13.07045641594465;15.26956503283919;14.896048529897111;13.89026427702111;13.927222402724643;14.801607326314375;16.404409822750466;15.077441630925218;14.55608688416836;15.79172251636596;15.484193528531758;15.833433690679843;16.09300483515016;14.922259183638582;15.091724623634258;15.785145913982182;15.437264417239955;14.502396742554078;15.541278151122372;15.097209143550335;15.749214746064132;14.611774084614964;16.520986918540384;15.762823210017428;15.237172607976506;17.108871530850912;16.127792858206256;15.633818288737976;15.80052077875392;16.01478329940854;15.489095315413504;14.78386790330306;15.914034694104842;15.780949798749663;15.077441630925218;15.826349864720092;15.993071060835794;15.59554888201172;15.908345706150364;12.964340867792416;15.71523810240944;16.606867837374153;16.124828104483893;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
12.78749449969676;12.94708897502536;14.50884704710649;12.77540451950398;13.393122273589531;13.550025257465784;12.439571196276454;12.461479447286155;13.15592501602658;13.969296574957337;13.314300001897534;13.482177711187449;13.136029849385553;13.124121311829189;12.02271457304476;12.09901899101923;12.918117851031772;12.852139328187244;12.976385117888592;12.303209948944776;12.208539206738363;13.330776858214389;13.200898605038445;12.743572188935634;13.73312127365905;13.27873982655011;13.71681946132995;14.16317792440416;12.148794321424337;12.659103963473662;13.154343460243451;11.652396861477678;11.91214085629572;12.342352510087794;13.138431806276849;13.786065381163962;12.3297963382207;13.973697366305352;12.415477707697994;12.56057167123656;14.108851117040151;13.546412195119352;12.959458646412672;13.429668265133094;13.344295907915816;12.920538949583786;12.877859256130328;13.345959596404112;13.16679075071818;13.200898605038445;12.294333559671829;13.11423036019097;13.429275961924452;13.482177711187449;11.258566033889933;13.440090524950488;13.37978447405238;12.5473765634981;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
10.417852514885896;11.846273911349906;11.137631598235428;8.483815777264256;12.79766152585376;11.13827180017222;9.86573327085176;11.868822554775;11.846273911349906;7.22881869049588;12.254142846855748;10.94397991434374;9.842350343413807;8.434628227636725;8.599912842187127;10.545929769085468;9.89026427702111;10.294620748891628;10.981567281903017;10.130570562805426;10.689124404913258;10.906890595608518;7.417852514885898;11.730894646541673;11.513234113806051;10.95492329203032;10.181152256865566;10.843921051289035;10.640244936222343;7.820178962415188;9.970105890612182;7.614709844115208;10.916625922211235;10.898601387403938;9.079484783826816;6.7414669864011465;11.006326078524934;12.129605011152504;10.510764167917891;10.85096815098244;10.4757334309664;12.396337194231098;10.632086412835182;11.400345796534694;12.421012855779226;10.98584193700334;12.370414968879698;12.698053484163538;10.470658874060552;7.417852514885898;11.691743519171276;12.66200071871848;12.27029532647204;10.94397991434374;7.700439718141092;9.497851836951115;10.846273911349906;8.980139577639157;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.381002109550924;12.125090539303256;12.450438032395652;11.455840909126398;11.499845887083206;11.821773981970567;11.407798850221974;11.686062749895417;11.496354488564617;12.664891669286089;11.82376527978966;12.534546067459992;12.659772961881613;12.174613647235942;10.090112419664289;12.220982851081777;12.292609222764296;11.690871009292314;11.686062749895417;11.364134655008051;12.558420713268664;12.270587340447513;10.958552715431011;11.90312867681232;12.408595112798102;11.576956664706092;12.463013413449692;12.187352073200495;11.728345714710976;12.234817431117325;11.237807473723135;11.14274527675153;11.51668494930961;11.257387842692651;11.181773438808808;11.55026580686874;11.552188759557149;12.481799431665753;12.2940463132715;11.947271652460348;11.456354415108288;11.505811553919594;12.011227255423254;11.634811050171718;11.103943429891558;12.252961036393684;12.49859992877026;11.886458695703706;11.30890780406394;10.958552715431011;12.758431440900267;12.1767964781476;12.246443717117286;12.534546067459992;8.622051819456376;11.507794640198696;12.321928094887362;12.198138052401116;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
10.151016538892248;11.78340754217352;10.73893668167614;12.382083590141969;12.241387363998935;11.466076461396252;11.638888382252262;12.808763116450413;10.737247343027738;15.857227775465187;10.842350343413807;10.00982861736811;13.637417341257986;14.679590056827315;10.38586240064146;12.8668925276766;13.75905593916017;10.234817431117325;14.627989784315703;10.8649599151426;14.598168841844732;12.99453022688921;12.295481973695368;11.41256984680521;13.267371931265274;10.41574176829009;11.491352073563435;10.457380879072534;11.12605911607068;11.581671358578143;12.34179677239183;10.555547771647063;10.874212934830874;12.1767964781476;14.953423490791105;13.263269200372662;10.526499239136566;11.554109152574004;13.827938080144987;11.963618617443972;13.852529509404196;11.779308973959898;11.706927639617405;12.35974956032233;9.643856189774723;12.443720600656578;11.705200378063116;11.088125692188209;12.65508344519798;12.295481973695368;13.484319423644267;11.11178773580101;12.02997734658958;10.00982861736811;10.029287226968243;11.652396861477678;11.08746284125034;11.48733761520718;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.780642286217136;13.489973363111451;15.242950776999097;12.825952537523726;13.807354922057604;14.216366949449624;12.163020639580791;13.080651001949818;12.564387696052629;14.390706372872774;13.678820179524028;14.466522613032696;13.783612165256038;13.715104009236168;12.534789211480266;11.272046524389935;13.632200042185133;13.47395936569476;13.58625339806598;12.94196459298614;12.049848549450562;14.16906376105911;14.11829223302699;12.824958740528524;14.150540637505486;12.898034475991487;14.191599044300682;14.799939266063406;12.561049226699671;13.203348002979762;14.193448357216475;12.457380879072534;12.015415052386688;13.135388651579046;13.605595262378865;14.31599862262856;12.46735081448758;14.75206698310109;13.820378436323685;13.14863546054867;13.975847968006784;14.14449892583753;12.799888688663591;14.106644723559944;13.809567182259656;13.275251543470327;13.206251272060689;14.191059214531656;13.157820597213629;14.11829223302699;13.112928141855113;13.61895897884957;14.156004048322249;14.466522613032696;10.494855584491198;13.18719740206222;14.477631797450522;12.6965329140783;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
11.963979787815338;12.279610581052484;13.201511344500146;12.079818085212354;11.777255315191924;12.437231901039478;11.50432244829189;11.838416075797335;11.885696373339394;12.927963101003469;12.117967703717133;12.817583288677616;12.133463346523438;12.33371442609397;11.174301544467632;11.858758099935422;12.39687231851056;12.275251543470327;11.83368074865474;12.149111990706889;12.323054760341646;12.061708704660624;11.734709620225836;12.180219982170192;13.310754772215311;11.965784284662089;12.45763738099176;12.860699032611988;11.453785055496157;12.49210354247923;12.244661144764198;12.124444460008585;11.34207466799914;11.693922488081014;11.933321820732946;12.153235338689411;11.992230264965889;12.586136091480489;12.464035152189911;11.480285320936373;12.703687325967548;11.982637133669424;11.881113960675096;12.548581118165128;12.194756854422248;11.959639764364184;12.167731741103244;12.507794640198696;12.260919533662904;11.734709620225836;12.660664477461278;12.223096690347695;12.226713224618962;12.817583288677616;11.57459352733761;12.571989597604578;11.921097088106793;12.545688495560212;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.258271576282851;12.023061249735337;13.64374347482167;12.114393054867309;12.645883554519004;11.9901039638575;11.973697366305352;11.622509454683335;11.969386521342283;12.805542364358724;12.253847484987404;12.159871336778387;12.01227534485612;13.02167404285837;11.393390457443989;11.129283016944967;12.270879295328784;12.287712379549449;11.496853777388042;11.381542951184583;11.352595231134304;12.604321563877273;12.152284842306582;11.997885127829113;12.62548055047108;11.849405100947758;12.30149619498255;13.5302844003166;11.532842910961282;12.316564385396942;12.410716333604269;11.287135186086704;10.970105890612182;11.582141981658776;11.689561254285524;12.448374459662794;11.639792893279312;12.99453022688921;12.60293079091524;12.257387842692651;12.648132845652658;12.647908074281808;12.26238852375102;12.198445041452365;12.175237650291036;12.203348002979762;11.956013078088098;12.428621886091111;12.241685287601625;12.152284842306582;11.121533517340032;12.230620933129869;12.870557374326417;12.159871336778387;10.553629293916364;12.461990950585571;12.996650019175894;11.60408986146918;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
14.080900783230064;15.025355881089116;16.71205673676569;14.960635506863309;14.406404332341255;15.309902619183516;13.713923451576854;14.042257869018638;15.148516303411215;14.813330278557986;15.758899839936436;15.568223348403706;15.234143816653166;14.89585924951887;13.694684350366172;15.409589823398669;14.900112062977456;14.823118409427485;15.098278873274609;14.501588422932391;14.423575544918128;15.68019467234049;14.51975909289956;15.00899753401982;16.290648880150123;14.729142739780078;15.39094142973054;15.002946834789464;14.472563925229863;15.73232644413044;15.407367357758496;13.250594507192316;14.471992673968831;14.619360276870722;14.38720958071964;14.938614769188014;14.197370293859828;15.923164968778726;15.81275390721534;14.469387440964349;14.308267917629676;14.96983616916917;13.900961123349717;15.94196459298614;14.837135125296111;15.447954935540176;14.93004427839366;14.91802465066733;13.77066389291676;14.51975909289956;14.633335843724575;14.918304233699931;15.324989163226537;15.568223348403706;14.078234217386388;15.339432495996776;16.640513269719055;13.70433597118232;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
