TCGA-DJ-A3VI-01A;TCGA-BJ-A0Z3-01A;TCGA-DJ-A3VK-01A;TCGA-DJ-A1QL-01A;TCGA-EM-A2OX-01A;TCGA-DJ-A1QO-01A;TCGA-BJ-A0ZE-01A;TCGA-DJ-A13T-01A;TCGA-KS-A41J-01A;TCGA-DJ-A3UN-01A;TCGA-EM-A1CU-01A;TCGA-CE-A27D-01A;TCGA-EM-A2OW-01A;TCGA-H2-A2K9-01A;TCGA-DJ-A4V2-01A;TCGA-H2-A422-01A;TCGA-EL-A4K4-01A;TCGA-FY-A3R6-01A;TCGA-EM-A4FU-01A;TCGA-E3-A3E5-01A;TCGA-EM-A1CW-01A;TCGA-DJ-A13P-01A;TCGA-ET-A25O-01A;TCGA-EL-A3GQ-01A;TCGA-DJ-A13T-01A;TCGA-ET-A3DW-01A;TCGA-EL-A3MY-01A;TCGA-EL-A4K7-01A;TCGA-CE-A483-01A;TCGA-EM-A2OW-01A;TCGA-EL-A3D5-01A;TCGA-DE-A4MD-01A;TCGA-E8-A419-01A;TCGA-DJ-A3VD-01A;TCGA-BJ-A28R-01A;TCGA-DJ-A2PT-01A;TCGA-BJ-A45I-01A;TCGA-KS-A4IC-01A;TCGA-EM-A2CP-01A;TCGA-CE-A485-01A;TCGA-BJ-A0ZB-01A;TCGA-EL-A4JZ-01A;TCGA-ET-A3DU-01A;TCGA-BJ-A2NA-01A;TCGA-EL-A3H8-01A;TCGA-BJ-A45C-01A;TCGA-CE-A484-01A;TCGA-EM-A22I-01A;TCGA-EL-A4K7-01A;TCGA-MK-A4N7-01A;TCGA-BJ-A0ZG-01A;TCGA-BJ-A3PT-01A;TCGA-DJ-A4V4-01A;TCGA-EM-A2OV-01A;TCGA-EM-A3FN-01A;TCGA-EL-A3GQ-01A;TCGA-DJ-A3UT-01A;TCGA-BJ-A0ZE-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.447083226209651;10.31741261376487;9.113742166049189;9.622051819456376;9.39231742277876;9.4241662888181;8.76487159073609;9.398743691938192;9.73978060977326;9.417852514885896;8.888743248898258;10.439830883981392;9.992938336165814;10.86418614465428;9.057991722759176;9.06339508128851;9.211888294546004;8.92184093707449;9.400879436282183;9.296916206879288;9.792790294301064;9.192292814470768;9.129283016944967;8.980139577639157;9.398743691938192;9.169925001442312;9.579315937580017;8.64745842645492;9.328674927327947;9.992938336165814;9.162391328756906;9.095397022792556;9.7515440590891;9.702172685365548;10.0;9.91737207947684;9.813781191217036;9.103287808412022;10.236014191900084;9.398743691938192;9.216745858195306;10.057991722759176;9.779719355143405;9.554588851677638;8.7714894695006;9.03342300153745;9.092757140919852;9.189824558880018;8.64745842645492;8.945443836377912;9.174925682500678;9.651051691178928;8.686500527183219;9.977279923499916;9.57553924683453;8.980139577639157;9.46352437327118;8.76487159073609;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.689288238929622;16.164023036671388;14.59362454970607;15.795456286722825;15.759940182538497;15.765001137276014;14.879296060392983;16.14306428063141;15.384142919546472;16.009806752886217;16.255047016599335;15.661889412539288;14.896285095453251;14.40886043602476;16.024079131005227;15.70576736374182;15.762823210017428;14.382083590141969;15.123313124568744;15.115693952197011;14.860844497351476;16.01478329940854;15.74979088132137;15.700033252654167;16.14306428063141;15.787009778853712;15.757832709629048;14.199595668955244;15.86418614465428;14.896285095453251;15.971184272404678;15.12968549847663;15.598023413274818;15.505997584098557;15.856109369465589;15.124484848442146;15.23545333389011;15.145056458363651;14.977861249676913;15.161446847518008;15.730417064730672;14.671872733453272;15.104885364094075;15.950555897047511;15.913053014465556;15.148158772937894;14.489597122389307;15.60130652612184;14.199595668955244;16.43505164444166;15.472151377565153;14.374767814092824;14.723820903206144;15.933621505718348;15.437264417239955;15.700033252654167;15.013279049911516;14.879296060392983;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.259301915079512;13.495730134445342;12.989571898558868;13.323195531678138;12.944712061043486;12.676397887044764;11.535761377986656;13.78053976747196;12.389631339260522;13.185959435631318;13.173208652765974;13.543031820255235;13.024620264759832;15.283594828381457;12.98903963696239;13.39794197197264;12.415477707697994;12.225508720236;12.801304186049023;12.766528908598865;13.14863546054867;13.344295907915816;13.633108754940718;13.75884780310832;13.78053976747196;13.235715094761895;13.118616689351509;11.373952655370193;13.272483991934877;13.024620264759832;12.957827560833744;13.801405239881648;13.019938156424796;13.35851384714966;13.766528908598865;12.433846208442825;12.81678367937856;12.477758266443889;12.857203471508166;13.303067213842914;13.4655664048094;12.946358033887046;12.4993476328766;13.230320715661112;13.24555270625568;12.77540451950398;12.498849206531723;13.278013796118156;11.373952655370193;13.47699928613306;13.146727764348864;12.01017840402054;12.310328758616798;13.358101707440849;11.652396861477678;13.75884780310832;12.802516365121225;11.535761377986656;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
9.7632123668144;13.02911464546904;10.177419537989236;8.90388184573618;10.93737382019215;8.948367231584678;8.89178370321831;11.445532219028312;12.180530807344482;11.314583244274194;11.41204051455165;12.08381170725288;9.14974711950468;10.281930026955443;10.430452551665532;10.459431618637296;10.510764167917891;10.188588845707349;10.3151495622563;11.096715154488535;8.710806433699352;12.421012855779226;11.806146803320525;11.404077136241234;11.445532219028312;11.52552080909507;10.496853777388042;10.642954223480332;11.90388184573618;9.14974711950468;11.389631339260522;9.4757334309664;10.749869427396844;11.398743691938192;11.934796592178404;10.346513733165636;10.906890595608518;10.99859042974533;10.660887270302569;10.122827994807666;10.93147623388679;11.674192268145683;10.573647187493322;11.377210530388552;11.476746203939468;8.199672344836364;11.559855041513623;10.71338651493703;10.642954223480332;13.439830883981392;10.12023787734196;9.266786540694902;11.016808287686557;7.888743248898259;7.614709844115208;11.404077136241234;10.287712379549449;8.89178370321831;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
12.52135506255826;12.044052531801302;11.89973454235751;11.52943055414615;11.557942286787448;12.036517070486518;11.389631339260522;11.863024710236886;12.583082767502932;11.749869427396844;12.24436383512051;12.47395936569476;11.145932145820517;13.017156386383112;12.296916206879288;11.866506212226202;12.2940463132715;11.632995197142955;12.585432051592962;11.641600215834355;11.683871868622605;11.103943429891558;11.292896755409172;10.532355925288847;11.863024710236886;11.89026427702111;12.353146825498085;11.977995368612962;11.59245703726808;11.145932145820517;10.370687406807216;11.576956664706092;12.47699928613306;11.928148216169037;12.060020354507852;12.83605035505807;12.213408040858337;11.940680648424092;11.194756854422248;11.644757592516257;11.844313461203296;12.692179576312538;12.14338321398982;12.140829770773;11.057991722759176;10.901621158346112;11.592924155627635;12.239300174364203;11.977995368612962;11.717676423066395;11.197830998012195;12.157031074378354;11.735979039613404;10.855647166027266;11.14274527675153;10.532355925288847;11.788718332690458;11.389631339260522;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
12.373680833411614;10.977279923499916;11.506803437795648;11.593857938858225;11.043027283594547;11.671098725748465;10.449148645375436;12.568668693380506;11.06339508128851;11.882260929099804;15.49597990851814;12.392049039364183;10.841564347730577;14.021413793008133;12.588011853215088;12.65709510488839;13.827938080144987;12.762382038710392;12.599680430581166;12.203959703239462;14.137551553014395;9.643856189774723;8.696967526234287;12.123798091251857;12.568668693380506;11.095397022792556;12.882260929099804;12.464290473850768;11.12088584278779;10.841564347730577;11.11178773580101;11.584492796975876;11.232420927176076;12.570567288872004;11.543515216152167;12.250002267840449;11.007027266893967;12.097702963524654;14.030494719749468;12.289442575688332;10.77561028075954;12.664447284547972;12.51101135288224;11.31174831500496;11.481799431665753;13.002990771840553;12.192292814470768;11.471675214392045;12.464290473850768;11.378836713210614;10.977279923499916;14.395199395666168;12.129926933510394;11.131213905086272;10.555547771647063;12.123798091251857;12.485074563698612;10.449148645375436;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.818981539432444;13.956194629090778;12.934612328171395;13.148794321424337;14.032734528586714;13.648357582009666;12.922770209274663;13.353146825498085;13.243322768605957;12.91026795581084;13.932030157887027;13.867182196393744;13.14561377551339;14.727707777472686;13.971902746045467;13.94800213097767;13.820378436323685;12.99717948093762;12.91904952367693;12.63390340934852;13.52833200886121;13.809567182259656;13.40101281538281;14.044735626056909;13.353146825498085;13.944437549570695;13.639001477148325;11.93258386928929;14.103041873523642;13.14561377551339;13.893396342087945;13.557104658489855;13.604553229079038;13.587191507529832;14.324883717194092;13.307770031890705;13.4248223873518;13.218411875434647;13.153393693888615;13.652620934638165;14.332945641023104;12.719816603018126;13.082315394198206;14.160659307217385;13.779719355143405;12.703471046071948;11.99506046703272;13.99036992294036;11.93258386928929;13.947819546020028;13.271900672391544;12.457380879072534;12.98815209769054;13.421144386530184;12.457380879072534;14.044735626056909;13.20197072837312;12.922770209274663;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.49735289347705;12.357277074642807;12.53600431728855;12.82992089387229;11.984418458801136;11.96902670215077;11.502831804066744;12.32023644524165;12.452756029032496;12.273795599214264;11.776433032444732;12.852139328187244;11.858758099935422;12.939762845071751;12.020632761657708;12.363587246524578;12.464035152189911;11.465056167831175;12.593157658103;12.2404932238768;12.434106928609957;12.194756854422248;12.378294855911893;11.590587049915037;12.32023644524165;12.227916724201489;12.024793384702548;11.95164898590462;12.109504215757006;11.858758099935422;11.862249900851513;12.485577770903188;11.905763049602792;11.830119025444516;12.740624044489412;12.04507705193494;12.154501693864765;12.106235761615748;11.637530551525307;11.993292241488549;12.570092874188056;12.073806847178492;11.712097051087548;12.423641195075856;11.52845411076479;12.838613044196972;12.014717929860009;12.1270270430046;11.95164898590462;11.536247215688128;12.36932470240734;12.2103669456326;12.215532999745657;11.81977993183848;12.124444460008585;11.590587049915037;12.351767443959892;11.502831804066744;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.273795599214264;12.606173844717032;11.948367231584678;12.484822894262146;12.290018846932618;12.520373136339725;11.466586337719244;12.321364432039449;12.440090524950488;11.87305954766147;13.099676554859643;12.922584402713664;11.7300455028792;13.204876767603992;12.621365094314864;12.457124331540804;12.60293079091524;11.111135670234708;12.7901448269498;11.928888439397635;12.141468555393084;12.175237650291036;12.220075970984304;12.623195635452936;12.321364432039449;12.85972889267839;12.749240939022329;10.99506046703272;12.415213598765286;11.7300455028792;12.33622758948339;12.39660478118186;12.304066063127284;12.636398048883835;12.956013078088098;12.346790721750702;12.295481973695368;12.01017840402054;12.728133100306216;12.203348002979762;12.98370619265935;12.202736043250168;12.096385734452651;12.929628283024565;12.449664538476192;12.01576348736988;12.031701202740305;12.534059656450363;10.99506046703272;12.513480875979049;12.09077405464075;11.59245703726808;11.88149638481011;12.818382455041156;11.287135186086704;12.623195635452936;11.975847968006784;11.466586337719244;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
15.303745079840594;15.055367177786795;14.693378054306908;15.349523132292148;16.04161637660079;15.72075193432375;14.060189278463422;16.07958894878169;14.625994158014649;15.380021317010408;15.215646748549842;15.259081190132113;13.705092355522472;17.05802344207748;15.74236207285876;15.446146358770676;15.81275390721534;14.392049039364183;15.51147471057062;14.685186796595348;14.21515377227958;14.837135125296111;15.35827344662811;14.455455659658384;16.07958894878169;15.620735308982333;16.159634861699445;14.703525119085612;15.20994829327585;13.705092355522472;13.972531117102672;13.631404448728468;15.219660127012876;15.139950979846818;16.283015984884692;15.002990771840553;15.314583244274194;14.425412621029055;12.648582283363735;15.174379576489766;15.317483276955974;14.901621158346112;14.594791118089264;15.834767301405412;14.982191458511918;14.174691662379445;14.71789058398728;15.92842584438906;14.703525119085612;15.02570192373543;13.61712305076802;14.015327930490416;14.410981267043796;12.304921669581672;13.250594507192316;14.455455659658384;14.494543116698312;14.060189278463422;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
