TCGA-FE-A234-01A;TCGA-ET-A39R-01A;TCGA-ET-A39T-01A;TCGA-EL-A3D1-01A;TCGA-EL-A3ZH-01A;TCGA-FK-A3SD-01A;TCGA-J8-A42S-01A;TCGA-DJ-A3VE-01A;TCGA-DJ-A4UP-01A;TCGA-E8-A436-01A;TCGA-EM-A2CM-01A;TCGA-EM-A3FJ-01A;TCGA-FE-A238-01A;TCGA-EM-A3SZ-01A;TCGA-DJ-A3UQ-01A;TCGA-KS-A41L-01A;TCGA-J8-A3O0-01A;TCGA-DO-A1JZ-01A;TCGA-DJ-A1QI-01A;TCGA-FE-A230-01A;TCGA-ET-A25M-01A;TCGA-EL-A3N2-01A;TCGA-EM-A1CU-01A;TCGA-ET-A39O-01A;TCGA-J8-A3YG-01A;TCGA-EM-A3FK-01A;TCGA-DJ-A2Q9-01A;TCGA-BJ-A2N9-01A;TCGA-E8-A437-01A;TCGA-DE-A7U5-01A;TCGA-E3-A3E5-01A;TCGA-EM-A3FL-01A;TCGA-FK-A3SD-01A;TCGA-BJ-A28T-01A;TCGA-E8-A418-01A;TCGA-EL-A3CY-01A;TCGA-H2-A421-01A;TCGA-BJ-A28R-01A;TCGA-ET-A2MZ-01A;TCGA-IM-A4EB-01A;TCGA-EL-A3H1-01A;TCGA-ET-A25L-01A;TCGA-ET-A25K-01A;TCGA-EL-A3ZM-01A;TCGA-DJ-A2Q0-01A;TCGA-BJ-A45F-01A;TCGA-EM-A3ST-01A;TCGA-EL-A3ZT-01A;TCGA-DJ-A3VK-01A;TCGA-E3-A3E5-01A;TCGA-EM-A1YC-01A;TCGA-FY-A3NN-01A;TCGA-DJ-A2QA-01A;TCGA-EM-A3FN-01A;TCGA-EL-A3N2-01A;TCGA-DJ-A4UP-01A;TCGA-EL-A4K4-01A;TCGA-KS-A4I9-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.407267764244732;9.894817763307945;9.310612781659527;9.131856960608792;8.985841937003341;9.968666793195208;9.194756854422248;8.948367231584678;9.164906926675688;9.477758266443889;8.89178370321831;9.280770770130603;10.064742764750257;8.689997971419446;9.64745842645492;8.845490050944376;9.688250309133178;9.157346935362844;9.121533517340032;9.14974711950468;7.714245517666122;9.197216693110052;8.888743248898258;9.192292814470768;9.929258408636972;8.894817763307943;10.897845456005513;9.442943495848729;8.74819284958946;9.0;9.296916206879288;10.03342300153745;9.968666793195208;9.22881869049588;9.792790294301064;10.430452551665532;9.868822554775;10.0;9.467605550082997;9.08214904135387;9.614709844115207;8.366322214245816;8.471675214392045;9.34207466799914;10.164906926675688;8.965784284662087;9.689997971419446;8.980139577639157;9.113742166049189;9.296916206879288;9.451211111832327;9.139551352398794;8.51175265376738;9.57553924683453;9.197216693110052;9.164906926675688;9.211888294546004;9.144658242831882;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
16.396270289737803;14.999779845410004;15.209681814871868;15.00145217832723;15.766114757586722;16.018265390772385;15.926527652543044;15.580376352946306;15.196678961665036;15.51794614056436;13.399945437147949;15.798902074798812;16.712970251548665;15.054858649392074;15.724087461793989;15.985263818365716;16.04052518444031;15.71821176577204;16.177302734763582;14.99081307915361;14.388353695522918;15.64537698036215;16.255047016599335;15.382691566896591;16.242541475417916;16.606867837374153;15.271280636844716;16.576469584370297;14.611774084614964;15.066257405352257;15.115693952197011;15.547135531830865;16.018265390772385;14.593157658103;15.908345706150364;14.951922128761304;15.448116305409464;15.856109369465589;16.749817063821684;15.361018496885968;16.199499818372814;14.189747357807576;15.92123658900528;15.381407759783006;16.073660428456613;13.927222402724643;14.756712675508098;15.489095315413504;14.59362454970607;15.115693952197011;15.700412624004448;15.439214049340384;14.821674344894602;15.437264417239955;15.64537698036215;15.196678961665036;15.762823210017428;15.265138855101796;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.63696441133012;12.774581180893598;12.78749449969676;11.703903573444665;13.054943416573323;12.74188827273525;12.659103963473662;13.129926933510394;12.775816012673026;13.102795896703824;12.608023750456493;13.001232245244363;13.269418929741096;12.589182967039353;13.405939193342396;12.439571196276454;13.24555270625568;13.210823518780844;13.424297532397077;13.049338071751931;11.850577547205614;13.589182967039353;13.173208652765974;12.8317030992143;13.730682407476795;13.37978447405238;13.47395936569476;12.339293300180094;12.3297963382207;12.61401961443572;12.766528908598865;13.059682447247638;12.74188827273525;12.394462694610317;13.482177711187449;13.20197072837312;13.17975361881042;13.766528908598865;13.43996071030687;12.50928016808786;13.451726268074506;12.046441948007311;12.71037597120447;12.508537595347322;12.619761463298424;12.303209948944776;12.584257887744569;12.920538949583786;12.989571898558868;12.766528908598865;13.153552031708111;13.047294352783004;11.385323176175872;11.652396861477678;13.589182967039353;12.775816012673026;12.415477707697994;12.503577318702687;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
11.713816080234498;10.712527000439824;10.417852514885896;10.365228849251544;8.823367240046235;8.787902559391432;11.712527000439824;11.004220466318197;11.14274527675153;11.4189067312579;10.310612781659527;12.728983369988049;11.274960472140602;10.383704292474052;11.406736482691723;9.86573327085176;10.812979471251484;10.134426320220928;12.396069557639867;10.842350343413807;10.19598729802851;11.06204613772049;11.41204051455165;10.405141463136344;11.225809940623543;10.846273911349906;11.49235394515987;10.373952655370193;11.006326078524934;9.533329732305834;11.096715154488535;8.991521846075695;8.787902559391432;10.590587049915037;10.94397991434374;12.541096615349524;11.491853096329674;11.934796592178404;10.964340867792416;10.733862719678545;8.184875342908283;9.625708843064466;10.41256984680521;11.162391328756906;8.139551352398794;10.130570562805426;11.06339508128851;10.98584193700334;10.177419537989236;11.096715154488535;11.26620091249896;10.900112062977456;10.253847484987404;7.614709844115208;11.06204613772049;11.14274527675153;10.510764167917891;11.136350341454156;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
12.464290473850768;11.637983303777853;11.381002109550924;13.588714635582264;11.949461979360152;12.494855584491198;11.92035285541508;11.919235786028349;11.944346034137832;12.328394438352458;11.658657792126084;11.76487159073609;12.111461739857722;11.76983784362944;12.26473580113014;11.407798850221974;12.809366207816078;12.154501693864765;11.72749506902543;10.97656412341533;10.124121311829189;12.186423797538945;12.24436383512051;11.978710459106358;13.095232171619331;12.321928094887362;11.792383614935188;11.825753832883112;11.552188759557149;11.734286232096348;11.641600215834355;10.86418614465428;12.494855584491198;9.73809225962049;12.534546067459992;12.367687756270046;12.81277897162766;12.060020354507852;11.560332834212442;12.209757956581392;11.762797262498232;11.002815015607052;11.318542809702723;12.802516365121225;11.493355121494906;11.364134655008051;12.379919817646538;12.252961036393684;11.89973454235751;11.641600215834355;12.071797522284209;11.365775635326267;11.748612176736982;11.14274527675153;12.186423797538945;11.944346034137832;12.2940463132715;11.867664848380745;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
11.202736043250168;11.752798758435516;10.151016538892248;12.743992861060176;15.659438501455655;13.87987038167481;12.96686590038754;11.536732889835417;13.37381675079274;12.079818085212354;12.246740598493144;10.749869427396844;9.057991722759176;13.066930068864098;13.009478745888066;11.638888382252262;13.81488282921786;10.113742166049189;10.022367813028454;10.79766152585376;10.774787059601174;11.585432051592962;15.49597990851814;10.627533884472792;11.850577547205614;11.08746284125034;12.039947160169094;12.83605035505807;10.526499239136566;12.275251543470327;12.203959703239462;11.127349541059118;13.87987038167481;11.188588845707349;10.00982861736811;12.9683067944308;11.654636028527968;11.543515216152167;11.116343961237469;13.258418812598832;12.461735221604863;11.214926187942435;11.313449940963055;13.054604317960672;11.863411958941638;10.8649599151426;10.287712379549449;12.443720600656578;11.506803437795648;12.203959703239462;11.187352073200495;11.426264754702098;12.747143998186749;10.555547771647063;11.585432051592962;13.37381675079274;13.827938080144987;10.169925001442312;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
14.644250622776038;13.268980531649836;13.780642286217136;11.877284133523196;13.670988119312954;13.032562359001108;13.420618191560957;13.257387842692651;13.408462432884376;13.633789914085046;12.20181761666792;13.722807531169549;14.172740017049366;13.336506559810257;13.86785786397283;12.163020639580791;13.215684662824996;13.933229597442672;14.183325224524612;13.339710847346453;12.650154213675094;14.159004071924567;13.932030157887027;13.889218742472613;14.314016703901355;14.477631797450522;13.664669494027176;12.511505595792482;12.46735081448758;12.947819546020028;12.63390340934852;13.407798850221974;13.032562359001108;12.311180660053354;14.466522613032696;13.6476832678862;13.438921772434345;14.324883717194092;14.60917873814198;13.183170121042131;13.653740778706569;11.838416075797335;13.154185209265297;13.027560482248775;12.567956075415466;12.94196459298614;13.035830072835015;13.275251543470327;12.934612328171395;12.63390340934852;13.214774445103387;13.82714419098428;11.20212382383046;12.457380879072534;14.159004071924567;13.408462432884376;13.820378436323685;13.31741261376487;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.299494239009364;11.812979471251484;11.963979787815338;12.938476938666351;12.078484417411447;12.909518114296617;11.665335917185176;12.003166506665169;12.254733389246674;12.234518085739987;11.70865283568653;12.200592137689254;12.059006395201113;11.456354415108288;12.14051027236822;11.50432244829189;12.625708843064466;11.890644283619087;11.706496018061188;11.260919533662904;10.89633240390994;12.205182326228645;11.776433032444732;12.198445041452365;12.58096513597733;11.921097088106793;11.673309075561695;12.318260343712415;11.992230264965889;11.401412878714178;12.2404932238768;12.042001306279133;12.909518114296617;10.733015321685963;12.817583288677616;11.868050853745158;12.181152256865566;12.740624044489412;12.590587049915037;12.057991722759176;12.562003863651553;11.029287226968243;11.73893668167614;12.360298426618046;11.788718332690458;12.149111990706889;11.64250302878052;11.959639764364184;12.53600431728855;12.2404932238768;11.90651484484695;11.650154213675094;12.043027283594547;12.124444460008585;12.205182326228645;12.254733389246674;12.464035152189911;11.979782430703086;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
13.28439035916582;11.287712379549449;12.258271576282851;11.567005370247031;12.151333719291657;12.40992124124968;11.793603309279408;12.309476353841106;12.136350341454156;12.374224426123732;11.90613899619538;12.347067657165873;12.622280655215585;11.95637615724967;12.568668693380506;11.973697366305352;12.461735221604863;11.491352073563435;12.374496145691516;12.342908033791574;11.22881869049588;12.747143998186749;13.099676554859643;12.483059977871669;13.052398232071583;12.996650019175894;12.68255574108031;11.476746203939468;11.639792893279312;12.004571615167656;11.928888439397635;12.254733389246674;12.40992124124968;11.271463027904376;12.159871336778387;12.447083226209651;12.338457843130849;12.956013078088098;12.52772134428452;12.508042334429003;12.5427900615549;11.139551352398794;11.521600439723729;12.86050505680788;12.232720707964871;11.381542951184583;11.681238411777803;12.203348002979762;11.948367231584678;11.928888439397635;12.966685687403618;12.085804380278086;11.097373768990222;11.287135186086704;12.747143998186749;12.136350341454156;12.60293079091524;12.016808287686557;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
15.823889644691326;14.66077587818261;14.080900783230064;15.959436005069898;14.295768934420508;14.413958420639227;14.121857245612654;15.446695630709836;14.7132791036247;15.19567978549598;14.68650052718322;14.93820123811306;15.153710352151716;15.068820255233211;14.793095228611756;13.713923451576854;15.678297528706972;15.82766523001824;15.564893753392468;14.786678033890652;13.60733031374961;15.060906984695068;15.215646748549842;15.114637062485798;16.163118944604843;16.640513269719055;15.156912608678123;12.96379921393177;14.197370293859828;15.0999641448219;14.685186796595348;14.016547158534271;14.413958420639227;12.644982855229008;15.568223348403706;14.272338184158624;14.749869427396844;16.283015984884692;15.90536349897678;15.089202175838755;15.702984297726418;14.264955662710037;15.207395692946912;15.120926330966867;13.153552031708111;14.501588422932391;14.701956178268135;15.447954935540176;14.693378054306908;14.685186796595348;13.639001477148325;14.702659707570357;14.46875130398112;13.250594507192316;15.060906984695068;14.7132791036247;15.81275390721534;14.963889503698727;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
