TCGA-ET-A3DO-01A;TCGA-BJ-A2N7-01A;TCGA-KS-A4I1-01A;TCGA-J8-A3YG-01A;TCGA-EL-A3ZG-01A;TCGA-FE-A231-01A;TCGA-E8-A414-01A;TCGA-EM-A2CL-01A;TCGA-BJ-A28Z-01A;TCGA-EM-A3AI-01A;TCGA-BJ-A0Z3-01A;TCGA-FY-A3NP-01A;TCGA-EM-A3FO-01A;TCGA-E8-A242-01A;TCGA-BJ-A2P4-01A;TCGA-E8-A432-01A;TCGA-E3-A3E5-01A;TCGA-FY-A3TY-01A;TCGA-DJ-A1QE-01A;TCGA-EL-A3D4-01A;TCGA-EL-A3CU-01A;TCGA-E8-A44M-01A;TCGA-ET-A25R-01A;TCGA-FY-A3NM-01A;TCGA-ET-A2MZ-01A;TCGA-DJ-A4UP-01A;TCGA-BJ-A45I-01A;TCGA-EL-A3H5-01A;TCGA-EM-A2P2-01A;TCGA-DJ-A2PX-01A;TCGA-DJ-A3V3-01A;TCGA-DJ-A3V4-01A;TCGA-ET-A3BT-01A;TCGA-EM-A3FN-01A;TCGA-ET-A25K-01A;TCGA-E8-A2EA-01A;TCGA-DJ-A3UY-01A;TCGA-BJ-A28S-01A;TCGA-DE-A3KN-01A;TCGA-BJ-A18Z-01A;TCGA-E8-A418-01A;TCGA-DJ-A2Q4-01A;TCGA-EM-A1YC-01A;TCGA-DJ-A4V0-01A;TCGA-FY-A3I5-01B;TCGA-ET-A25I-01A;TCGA-ET-A39I-01A;TCGA-H2-A26U-01A;TCGA-EM-A2OV-01A;TCGA-ET-A25K-01A;TCGA-EL-A3T1-01A;TCGA-DJ-A2Q0-01A;TCGA-ET-A3BW-01A;TCGA-FY-A3R6-01A;TCGA-DJ-A13T-01A;TCGA-EM-A22Q-01A;TCGA-BJ-A2N7-01A;TCGA-DJ-A3V8-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.689997971419446;9.67595703294175;8.632995197142957;9.929258408636972;9.38586240064146;9.442943495848729;9.640244936222343;9.744833837499543;10.095397022792556;9.164906926675688;10.31741261376487;9.807354922057604;8.832890014164741;9.961449694398196;9.131856960608792;9.847057346091336;9.296916206879288;8.906890595608518;9.469641817239516;9.052568050804153;9.108524456778168;10.080817527608328;8.768184324776927;9.96000193206808;9.467605550082997;9.164906926675688;9.813781191217036;8.682994583681683;9.776433032444732;9.60177078840771;9.38586240064146;9.13699111208023;9.211888294546004;9.57553924683453;8.471675214392045;9.933690654952231;9.501837184902296;8.90388184573618;9.375039431346924;8.810571634741146;9.792790294301064;9.579315937580017;9.451211111832327;9.64745842645492;9.684748620421626;10.124121311829189;9.60177078840771;10.124121311829189;9.977279923499916;8.471675214392045;10.27029532647204;10.164906926675688;8.829722735086058;8.92184093707449;9.398743691938192;7.392317422778761;9.67595703294175;9.381542951184583;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.39157924821793;15.481957060187174;14.699138625275914;16.242541475417916;15.555697545334288;16.09300483515016;15.70894914611001;15.726111699158672;14.861716977916164;16.124828104483893;16.164023036671388;15.878936993455447;15.868123218254537;16.381948449395214;14.044735626056909;13.283811834830894;15.115693952197011;14.552128706066148;16.102324323876104;13.405008465206691;15.3972735315025;14.9721271956999;14.935072944069084;17.108871530850912;16.749817063821684;15.196678961665036;15.23545333389011;13.785758957209914;15.79172251636596;15.283124535732409;15.581818444783185;15.83590236862802;15.715801157675774;15.437264417239955;15.92123658900528;15.164867654172497;15.580140772436168;14.680634233616203;15.134065280404563;14.835705029771797;15.908345706150364;16.9288537499167;15.700412624004448;15.51459078374572;15.585490734707978;15.272884887352436;15.785145913982182;15.456258146657955;15.933621505718348;15.92123658900528;16.12248426249915;16.073660428456613;15.655921977648722;14.382083590141969;16.14306428063141;12.59362454970607;15.481957060187174;15.973921536954045;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
12.960545013211664;13.28424574982967;11.95383268214528;13.730682407476795;12.884552133987237;14.16317792440416;13.658434654697617;13.780642286217136;12.921283086307383;12.5473765634981;13.495730134445342;13.41679752760606;12.700222950799256;13.43215037791784;11.984418458801136;13.23526633275686;12.766528908598865;12.862443642212297;13.849991443179317;12.31938987600021;13.473578924860783;13.002111776479852;12.771283119641003;14.108851117040151;13.43996071030687;12.775816012673026;12.81678367937856;12.794821973331224;13.73312127365905;13.311322594732095;12.832494484336111;13.405939193342396;13.4248223873518;11.652396861477678;12.71037597120447;12.749450465569916;13.453270634010623;12.742309436084;13.125252013928852;12.319107575824985;13.482177711187449;14.045333068328068;13.153552031708111;13.10901441943898;12.867471806961992;13.30848124464402;13.154343460243451;13.947271652460348;13.358101707440849;12.71037597120447;13.88369335851507;12.619761463298424;13.211432058298838;12.225508720236;13.78053976747196;10.473705749619416;13.28424574982967;13.11829223302699;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
10.929258408636972;10.67595703294175;12.069785394983302;11.225809940623543;10.90613899619538;10.843921051289035;11.717676423066395;9.154818109052105;11.347067657165873;8.980139577639157;13.02911464546904;9.105908508571158;11.602234901341063;11.0566377151132;8.491853096329674;11.051208940914766;11.096715154488535;9.98584193700334;11.280190792216906;9.778077129535358;11.57601187420678;11.13699111208023;11.666667840690357;10.4757334309664;10.964340867792416;11.14274527675153;10.906890595608518;10.0566377151132;11.513234113806051;11.664891669286089;11.359200485133632;11.746094383705463;11.310044679647506;7.614709844115208;10.41256984680521;10.24198314969433;10.250298417906333;7.442943495848728;10.240791332161956;10.94178124227853;10.94397991434374;11.556026992724677;11.26620091249896;11.298635406734242;11.046441948007311;9.515699838284045;9.970105890612182;11.27262978497637;7.888743248898259;10.41256984680521;11.066761932386909;8.139551352398794;11.37775279502222;10.188588845707349;11.445532219028312;10.038918989292302;10.67595703294175;11.274378153246364;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.86611979330307;11.61654884377899;11.686062749895417;13.095232171619331;12.043027283594547;12.187352073200495;12.057991722759176;12.013322673425447;12.019938156424796;12.198138052401116;12.044052531801302;12.168358727223886;12.347898144596012;13.107544031975989;11.913263430628762;12.098032082960527;11.641600215834355;11.348174867535556;12.06339508128851;11.799281621521924;11.286557761607956;11.588714635582264;11.3701424794954;11.456354415108288;11.560332834212442;11.944346034137832;12.213408040858337;11.223398414711628;12.408595112798102;11.98299357469431;11.962173031109709;11.965423565810127;12.023061249735337;11.14274527675153;11.318542809702723;12.336785476203756;11.950555897047511;10.599912842187129;11.735556023911537;11.492854620174748;12.534546067459992;12.581906689308768;12.071797522284209;11.171176797651771;12.197830998012195;12.113742166049189;11.237807473723135;12.754678763822527;10.855647166027266;11.318542809702723;12.73978060977326;11.493355121494906;10.743992861060176;11.632995197142955;11.863024710236886;10.094077685671904;11.61654884377899;12.536975665610642;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
11.84901407369482;14.565102078360312;10.163649676015824;11.850577547205614;11.745254141957256;10.457380879072534;12.1357092861044;13.627077840517394;13.197677446307418;11.48733761520718;10.977279923499916;11.90651484484695;13.435930651703597;13.686609950751922;11.314583244274194;11.103943429891558;12.203959703239462;13.958008883656944;11.692179576312538;12.706927639617405;10.86418614465428;11.454813348512523;10.839991070539886;13.852529509404196;11.116343961237469;13.37381675079274;11.007027266893967;12.049848549450562;13.267371931265274;13.058668250340572;10.945443836377912;13.11064642757782;12.017156386383112;10.555547771647063;11.313449940963055;12.194449079479025;12.708868340211673;11.036860446673046;12.159871336778387;10.597121428789569;10.00982861736811;11.86611979330307;11.187352073200495;12.41574176829009;12.687375683437468;13.548581118165128;12.34179677239183;11.88683970588442;11.131213905086272;11.313449940963055;12.400345796534694;11.863411958941638;8.581200581924957;12.762382038710392;12.568668693380506;10.806549621985962;14.565102078360312;13.09490241275141;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.50444659914958;13.720564916568025;12.330916878114618;14.314016703901355;13.92016673723887;14.799939266063406;13.932860645317168;13.981745645634575;13.35397382181817;12.6965329140783;13.956194629090778;14.095397022792556;13.436190995481416;14.427509276164798;11.671983272091865;13.24272753598652;12.63390340934852;12.943613701614042;14.183480311333778;12.412305204955272;13.87824254386927;13.11162474703725;13.166476950816804;13.975847968006784;14.60917873814198;13.408462432884376;13.4248223873518;12.7300455028792;14.150540637505486;13.738514532429267;13.31174831500496;13.891878614243698;14.100169531129907;12.457380879072534;13.154185209265297;13.327973602613884;13.86611979330307;13.189515729800194;14.017852331905962;13.106890045092218;14.466522613032696;14.653404916746982;13.214774445103387;13.37218489648635;13.12605911607068;13.892637677748688;14.193448357216475;13.889979206371562;13.421144386530184;13.154185209265297;14.19329433831584;12.567956075415466;13.953378017920128;12.99717948093762;13.353146825498085;9.668884984266247;13.720564916568025;13.93488871535719;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
11.830911279742782;12.71037597120447;11.82097669262124;12.58096513597733;12.147840893672337;12.860699032611988;12.175237650291036;12.597587039586216;11.664447284547972;12.545688495560212;12.357277074642807;13.083645526864412;11.988329649231089;12.687375683437468;12.40886043602476;12.7710767402628;12.2404932238768;11.526988205432009;12.347621368568134;12.41732511767992;11.48683502156305;11.649256177517314;11.547858506058416;12.703687325967548;12.590587049915037;12.254733389246674;12.154501693864765;11.474212937193943;13.310754772215311;12.153552031708111;12.456867738380344;12.35397382181817;12.501588422932391;12.124444460008585;11.73893668167614;11.803727526553114;12.390975006155534;12.055282435501187;12.4655664048094;11.433585441150496;12.817583288677616;12.306061689428342;11.90651484484695;11.975847968006784;12.404609397837712;12.630039552656095;12.244661144764198;12.146568675740786;11.81977993183848;11.73893668167614;12.613098794209224;11.788718332690458;11.860311054919482;11.465056167831175;12.32023644524165;10.582141981658776;12.71037597120447;12.439311461818846;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.74588436914204;13.004396051426534;11.499845887083206;13.052398232071583;12.053586543639174;13.5302844003166;12.746724244025833;12.63254087654689;11.30720080914081;11.60408986146918;12.606173844717032;12.55170826162069;12.594091290260412;13.07296996854206;11.52258153125483;11.348728154231075;11.928888439397635;12.017156386383112;13.087297080919154;11.70173963867435;12.3009244909763;12.081816278109198;12.127671967038982;12.648132845652658;12.52772134428452;12.136350341454156;12.295481973695368;11.627989784315703;12.62548055047108;12.65798827627794;11.115693952197011;12.724300673209568;12.62593709953846;11.287135186086704;11.521600439723729;12.26238852375102;12.387748100711294;11.929628283024565;11.13827180017222;11.950555897047511;12.159871336778387;13.405673332281866;12.966685687403618;12.076147528022505;11.56081046872794;12.5898851792902;12.410716333604269;12.62662165235837;12.818382455041156;11.521600439723729;12.993115299679175;12.232720707964871;12.455840909126398;11.111135670234708;12.321364432039449;9.46352437327118;13.004396051426534;12.648132845652658;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
15.138431806276849;14.75410457760912;14.49566768416977;16.163118944604843;13.833977162388804;15.002946834789464;15.363245010716806;15.326429487122304;14.479148694154771;13.70433597118232;15.055367177786795;15.268176455655585;16.421045739591204;16.470706531011285;14.623652908052923;16.264534231910133;14.685186796595348;13.463907474412858;16.04174469790549;14.856230977341992;14.87253060355256;13.858660984722777;14.617926556798752;14.308267917629676;15.90536349897678;14.7132791036247;15.314583244274194;13.935901682267588;16.290648880150123;15.003166506665169;14.932860645317168;14.618786959806712;14.65234083774931;13.250594507192316;15.207395692946912;14.58507990276711;15.025615420854908;14.456611099574918;15.730576276234546;14.963934646463285;15.568223348403706;16.123454590025503;13.639001477148325;14.452756029032496;13.052568050804153;15.560004368730684;15.407367357758496;15.132218553419296;12.304921669581672;15.207395692946912;15.839006900339438;13.153552031708111;14.878673620892048;14.392049039364183;16.07958894878169;13.673750739438065;14.75410457760912;15.470277561770532;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
