TCGA-DJ-A4UW-01A;TCGA-DJ-A4UP-01A;TCGA-DJ-A1QI-01A;TCGA-KS-A4IC-01A;TCGA-EM-A2CT-01A;TCGA-BJ-A0YZ-01A;TCGA-DJ-A13R-01A;TCGA-EL-A3N3-01A;TCGA-E8-A419-01A;TCGA-DJ-A1QH-01A;TCGA-EL-A3MZ-01A;TCGA-EL-A3ZH-01A;TCGA-IM-A41Y-01A;TCGA-E8-A418-01A;TCGA-BJ-A0ZA-01A;TCGA-BJ-A0Z3-01A;TCGA-EM-A1YD-01A;TCGA-EL-A3D4-01A;TCGA-FK-A3SB-01A;TCGA-BJ-A2P4-01A;TCGA-ET-A3BQ-01B;TCGA-EL-A3D5-01A;TCGA-ET-A25K-01A;TCGA-FK-A3SD-01A;TCGA-BJ-A2NA-01A;TCGA-ET-A39I-01A;TCGA-BJ-A28W-01A;TCGA-E8-A437-01A;TCGA-ET-A3BT-01A;TCGA-FE-A236-01A;TCGA-J8-A3YE-01A;TCGA-H2-A422-01A;TCGA-EM-A3SU-01A;TCGA-DJ-A3UT-01A;TCGA-EM-A1YD-01A;TCGA-EM-A4FV-01A;TCGA-EL-A3T2-01A;TCGA-ET-A3BX-01A;TCGA-IM-A3ED-01A;TCGA-EL-A3ZH-01A;TCGA-BJ-A45H-01A;TCGA-EM-A4FN-01A;TCGA-ET-A2N3-01B;TCGA-EL-A3CR-01A;TCGA-EL-A3H4-01A;TCGA-FY-A76V-01A;TCGA-DJ-A1QQ-01A;TCGA-J8-A3NZ-01A;TCGA-EL-A3H1-01A;TCGA-DJ-A2Q6-01A;TCGA-DJ-A2PX-01A;TCGA-DJ-A3V2-01A;TCGA-ET-A3BT-01A;TCGA-FY-A3R9-01A;TCGA-J8-A4HW-01A;TCGA-EL-A4JZ-01A;TCGA-BJ-A191-01A;TCGA-EM-A4FR-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.0;9.164906926675688;9.121533517340032;9.103287808412022;9.700439718141093;10.263269200372662;9.08746284125034;9.451211111832327;9.7515440590891;9.689997971419446;9.264442600226602;8.985841937003341;8.546894459887637;9.792790294301064;9.550746785383245;10.31741261376487;9.090112419664289;9.052568050804153;9.577428828035748;9.131856960608792;9.350939181546432;9.162391328756906;8.471675214392045;9.968666793195208;9.554588851677638;9.60177078840771;9.67065624911844;8.74819284958946;9.211888294546004;9.583082767502932;9.85642552862553;9.06339508128851;9.247927513443583;9.46352437327118;9.090112419664289;9.46352437327118;9.164906926675688;9.620219825507489;9.60917873814198;8.985841937003341;8.829722735086058;9.038918989292302;9.523561956057012;9.807354922057604;9.103287808412022;8.897845456005511;9.134426320220928;9.586839787961829;9.614709844115207;9.79603960882977;9.60177078840771;9.94104760634058;9.211888294546004;10.158609688214478;9.603626344986193;10.057991722759176;9.129283016944967;9.057991722759176;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.431954576830764;15.196678961665036;16.177302734763582;15.145056458363651;15.399211156255298;16.02282291845969;13.337203749714552;15.558749539465913;15.598023413274818;15.886625400039287;15.913310185608784;15.766114757586722;15.241610812468506;15.908345706150364;15.725259734837234;16.164023036671388;16.486536523723284;13.405008465206691;16.42703451963504;14.044735626056909;16.500312844171088;15.971184272404678;15.92123658900528;16.018265390772385;15.950555897047511;15.785145913982182;13.710053040024412;14.611774084614964;15.715801157675774;15.76274536605977;15.007596731612578;15.70576736374182;14.312244829933343;15.013279049911516;16.486536523723284;15.322456328874184;15.459751783535282;16.786831156429674;16.381492255893566;15.766114757586722;15.541278151122372;15.19610259833154;15.377956091723872;15.260882789739387;16.10252937448063;14.008253527096048;16.37807466823829;15.59554888201172;16.199499818372814;16.103246822175258;15.283124535732409;15.993071060835794;15.715801157675774;15.097209143550335;16.324039871367216;14.671872733453272;15.910150818761426;14.40047922497788;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
12.781974367389338;12.775816012673026;13.424297532397077;12.477758266443889;13.456226055746944;12.828533210455618;11.893301530860564;13.201051814303272;13.019938156424796;13.831307243802051;13.523071826940395;13.054943416573323;12.185494924210866;13.482177711187449;13.029632328044135;13.495730134445342;13.144658242831882;12.31938987600021;13.550025257465784;11.984418458801136;13.668331017726826;12.957827560833744;12.71037597120447;12.74188827273525;13.230320715661112;13.154343460243451;11.358651200892886;12.3297963382207;13.4248223873518;13.607908200815574;13.303209948944776;13.39794197197264;12.061033601681112;12.802516365121225;13.144658242831882;12.760719947465624;13.754365599672196;13.482933972802297;13.70983771240597;13.054943416573323;12.342352510087794;12.079151405421891;13.232870575002964;12.719388820942084;13.94388836987587;12.7515440590891;13.641148597411233;13.429275961924452;13.451726268074506;14.007202510749742;13.311322594732095;13.11423036019097;13.4248223873518;13.138431806276849;13.193987293919182;12.946358033887046;12.857980995127573;11.965784284662089;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
11.681677655209691;11.14274527675153;12.396069557639867;10.99859042974533;7.515699838284043;9.92035285541508;9.436711542137214;9.64745842645492;10.749869427396844;11.549303368513575;10.070120944476823;8.823367240046235;10.459431618637296;10.94397991434374;7.515699838284043;13.02911464546904;9.022367813028454;9.778077129535358;11.13827180017222;8.491853096329674;11.719388820942084;11.389631339260522;10.41256984680521;8.787902559391432;11.377210530388552;9.970105890612182;12.588011853215088;11.006326078524934;11.310044679647506;10.365228849251544;10.194756854422248;10.459431618637296;10.417852514885896;10.287712379549449;9.022367813028454;11.094077685671904;10.74819284958946;10.337621901992508;11.534789211480266;8.823367240046235;10.898601387403938;11.62113611327464;7.066089190457772;10.946906274456396;10.943247395901553;9.902375114486023;10.964340867792416;12.27029532647204;8.184875342908283;12.083479327331842;11.664891669286089;12.66200071871848;11.310044679647506;9.079484783826816;10.466586337719244;11.674192268145683;10.1006623390052;11.01262453886506;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.386940245324311;11.944346034137832;11.72749506902543;11.940680648424092;11.665780028329484;11.958552715431011;10.980139577639155;11.961811408087163;12.47699928613306;12.24852060493843;12.695445810537382;11.949461979360152;11.51422090935813;12.534546067459992;11.594324603924848;12.044052531801302;10.754887502163468;11.799281621521924;11.821773981970567;11.913263430628762;12.14274527675153;10.370687406807216;11.318542809702723;12.494855584491198;12.140829770773;11.237807473723135;11.61286849729104;11.552188759557149;12.023061249735337;12.000704269011246;12.005975356500382;11.866506212226202;12.354524889449351;11.788718332690458;10.754887502163468;11.687375683437468;11.682994583681683;12.155766938445652;11.929998062609029;11.949461979360152;11.257387842692651;12.389900172773064;11.43514933836693;12.203959703239462;11.328674927327947;11.3157156580222;11.649705265471413;12.246443717117286;11.762797262498232;11.635718120331047;11.98299357469431;12.1767964781476;12.023061249735337;11.181773438808808;12.037546953962178;12.692179576312538;11.569380959522295;12.116343961237469;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
13.287423811683524;13.37381675079274;10.022367813028454;12.097702963524654;14.320165916775409;11.131213905086272;13.032390168866524;10.977279923499916;11.232420927176076;10.86727873970966;12.93755773185546;15.659438501455655;13.067938476436064;10.00982861736811;12.608023750456493;10.977279923499916;12.43254190038826;12.706927639617405;11.466076461396252;11.314583244274194;12.51865315567339;11.11178773580101;11.313449940963055;13.87987038167481;11.31174831500496;12.34179677239183;12.636171441635922;10.526499239136566;12.017156386383112;10.14338321398982;11.806549621985962;12.65709510488839;12.379649117760035;12.485074563698612;12.43254190038826;11.71037597120447;14.262902317111298;12.617926556798752;12.2103669456326;15.659438501455655;12.1767964781476;11.295768934420508;13.607792641919213;12.688031702413934;13.637870129034445;12.338457843130849;11.167418145831736;12.02997734658958;12.461735221604863;12.271754805646474;13.058668250340572;11.11178773580101;12.017156386383112;14.953423490791105;10.892542816648552;12.664447284547972;10.247927513443583;13.679480099505446;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.130087867755735;13.408462432884376;14.183325224524612;13.218411875434647;14.33427328530719;12.928148216169037;11.623424289869911;13.7918751044647;13.604553229079038;14.299637328029158;14.02436054588832;13.670988119312954;13.171489577065657;14.466522613032696;13.81518313000803;13.956194629090778;13.078484417411447;12.412305204955272;14.216366949449624;11.671983272091865;14.00474715754676;13.893396342087945;13.154185209265297;13.032562359001108;14.160659307217385;14.193448357216475;11.228217442293436;12.46735081448758;14.100169531129907;14.304921669581672;13.759992179981;13.94800213097767;12.6142497276894;13.20197072837312;13.078484417411447;13.158451904538389;12.842743180731658;14.570152184555836;14.204876767603992;13.670988119312954;13.135388651579046;13.066930068864098;12.511258495502268;13.3607099393494;14.279175269495482;13.29332794695636;14.111380229360744;14.156004048322249;13.653740778706569;14.298349015658186;13.738514532429267;13.61895897884957;14.100169531129907;13.605595262378865;13.874981347653774;12.719816603018126;13.106562940444883;11.771902080697716;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.037203741151972;12.254733389246674;11.706496018061188;12.106235761615748;12.183945471757246;12.02410078025291;10.881113960675096;11.813781191217036;11.905763049602792;12.66266837551754;12.404343291585755;12.078484417411447;11.91139198784346;12.817583288677616;12.054604317960672;12.357277074642807;12.102959885910124;12.41732511767992;12.437231901039478;12.40886043602476;12.47826403158172;11.862249900851513;11.73893668167614;12.909518114296617;12.423641195075856;12.244661144764198;11.800899899920305;11.992230264965889;12.501588422932391;12.23661220021575;11.42940674151398;12.363587246524578;11.957827560833744;12.351767443959892;12.102959885910124;11.81698362325538;12.182704710518964;12.023754353299417;10.94251450533924;12.078484417411447;11.693922488081014;12.144976824050111;12.37531099747307;12.274669342073851;12.375039431346924;11.645208082774683;11.953468962228849;12.226713224618962;12.562003863651553;12.222794902868111;12.153552031708111;12.223096690347695;12.501588422932391;11.933321820732946;11.97906787148051;12.073806847178492;12.14338321398982;11.924441392339196;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.458662932867815;12.136350341454156;12.374496145691516;12.01017840402054;12.521600439723729;12.451211111832327;11.165535141377925;12.622280655215585;12.304066063127284;13.102959885910124;12.622280655215585;12.151333719291657;12.130892269806624;12.159871336778387;12.30149619498255;12.606173844717032;11.71853287606922;11.70173963867435;11.9901039638575;11.52258153125483;12.563672959827514;12.33622758948339;11.521600439723729;12.40992124124968;12.929628283024565;12.410716333604269;10.932952892194717;11.639792893279312;12.62593709953846;12.818582177480858;11.95492329203032;12.457124331540804;12.429668265133094;11.975847968006784;11.71853287606922;11.759888183221834;12.347621368568134;13.226713224618962;12.918117851031772;12.151333719291657;11.582141981658776;11.92072501975118;12.32108251801004;12.079484783826816;13.30720080914081;12.080817527608328;12.923884546385334;12.870557374326417;12.5427900615549;13.352595231134304;12.65798827627794;12.230620933129869;12.62593709953846;11.689561254285524;11.4757334309664;12.202736043250168;12.135067945777816;11.32755264408124;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
14.493855449240822;14.7132791036247;15.564893753392468;14.425412621029055;14.68118349694458;14.538310202597684;12.079484783826816;15.547557310825503;15.219660127012876;15.449116395930568;15.636681257899273;14.295768934420508;14.295051425557611;15.568223348403706;14.90341116123855;15.055367177786795;13.888172449665932;14.856230977341992;15.309902619183516;14.623652908052923;15.555487857818244;13.972531117102672;15.207395692946912;14.413958420639227;15.834767301405412;15.407367357758496;11.378836713210614;14.197370293859828;14.65234083774931;15.04746477331842;13.996296936687374;15.446146358770676;13.379242972670063;14.494543116698312;13.888172449665932;14.773654362961867;14.874453107805987;16.95585420221719;15.378565810000564;14.295768934420508;14.619360276870722;14.509775004326936;14.420683976428656;14.831406217838442;15.80624751853163;14.6476270608134;15.95585420221719;15.324989163226537;15.702984297726418;15.374088547146387;15.003166506665169;14.918304233699931;14.65234083774931;14.38720958071964;14.56236168971454;14.901621158346112;14.019938156424796;14.682171644271492;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
