TCGA-DJ-A1QL-01A;TCGA-FE-A3PD-01A;TCGA-DJ-A4UP-01A;TCGA-ET-A3BU-01A;TCGA-EL-A3H2-01A;TCGA-E8-A437-01A;TCGA-DJ-A1QM-01A;TCGA-J8-A3O1-01A;TCGA-EM-A1YD-01A;TCGA-FE-A3PC-01A;TCGA-FK-A4UB-01A;TCGA-DJ-A1QH-01A;TCGA-EM-A3FK-01A;TCGA-ET-A40R-01A;TCGA-DJ-A2PQ-01A;TCGA-FY-A40L-01A;TCGA-ET-A3BS-01A;TCGA-MK-A4N7-01A;TCGA-ET-A3DS-01A;TCGA-DJ-A2PQ-01A;TCGA-EM-A3FM-01A;TCGA-DJ-A1QM-01A;TCGA-EL-A3CV-01A;TCGA-EM-A3AN-01A;TCGA-BJ-A0YZ-01A;TCGA-EM-A3AK-01A;TCGA-E3-A3E1-01A;TCGA-BJ-A45D-01A;TCGA-EM-A2CL-01A;TCGA-EL-A3GQ-01A;TCGA-ET-A3BT-01A;TCGA-EM-A4FN-01A;TCGA-EL-A3CU-01A;TCGA-EL-A4JV-01A;TCGA-FY-A3BL-01A;TCGA-ET-A3DP-01A;TCGA-DE-A69K-01A;TCGA-DE-A7U5-01A;TCGA-H2-A26U-01A;TCGA-CE-A3ME-01A;TCGA-EL-A3MZ-01A;TCGA-DJ-A3UW-01A;TCGA-DJ-A4V5-01A;TCGA-EM-A2CO-01A;TCGA-DJ-A3VB-01A;TCGA-EL-A3GR-01A;TCGA-EM-A4G1-01A;TCGA-EM-A2OY-01A;TCGA-EM-A3SZ-01A;TCGA-EL-A3T1-01A;TCGA-EL-A4KI-01A;TCGA-BJ-A4O8-01A;TCGA-EL-A3CZ-01A;TCGA-EM-A3FJ-01A;TCGA-DJ-A1QE-01A;TCGA-EM-A3AL-01A;TCGA-EM-A1YB-01A;TCGA-ET-A25O-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.622051819456376;9.81698362325538;9.164906926675688;9.35974956032233;9.7515440590891;8.74819284958946;9.935165049603697;9.269126679149418;9.090112419664289;8.714245517666123;7.569855608330948;9.689997971419446;8.894817763307943;9.776433032444732;7.839203788096944;9.250298417906333;10.001408194392807;8.945443836377912;9.164906926675688;7.839203788096944;9.014020470314934;9.935165049603697;9.794415866350104;9.355351096424812;10.263269200372662;9.477758266443889;9.569855608330949;9.839203788096944;9.744833837499543;8.980139577639157;9.211888294546004;9.038918989292302;9.108524456778168;8.88264304936184;8.971543553950772;9.383704292474052;8.927777962082342;9.0;10.124121311829189;9.24555270625568;9.264442600226602;9.544964432789238;9.726218159332198;9.794415866350104;9.703903573444665;8.618385502258606;9.118941072723509;9.134426320220928;8.689997971419446;10.27029532647204;9.64565843240871;9.35974956032233;8.539158811108031;9.280770770130603;9.469641817239516;10.274960472140602;10.0;9.129283016944967;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.795456286722825;15.359097510267178;15.196678961665036;16.404409822750466;16.421834726302933;14.611774084614964;16.45928752124941;15.686609950751922;16.486536523723284;14.922259183638582;14.209986357601563;15.886625400039287;16.606867837374153;15.904399421380557;15.171841372869666;15.452466483046752;15.964228040007171;16.43505164444166;16.291944083954668;15.171841372869666;15.421801860469872;16.45928752124941;15.835729698605052;16.121634690228767;16.02282291845969;15.80052077875392;16.073367546425324;14.530406337099068;15.726111699158672;15.700033252654167;15.715801157675774;15.19610259833154;15.3972735315025;15.033035775930308;14.906185982631929;15.71161320485812;15.782409588823722;15.066257405352257;15.456258146657955;15.415444696725396;15.913310185608784;15.115653316906378;15.803954506168264;15.448180848303595;16.04298454910378;15.913380315237864;13.489220783521674;15.101975670949232;15.054858649392074;16.12248426249915;14.263856019596082;15.277287400130357;15.50003268805555;15.798902074798812;16.102324323876104;16.067287293829256;13.68431031112435;15.74979088132137;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.323195531678138;13.102959885910124;12.775816012673026;13.330776858214389;13.230470832204706;12.3297963382207;13.52930853485899;14.46722342982096;13.144658242831882;12.148794321424337;11.210671343785622;13.831307243802051;13.37978447405238;12.78483929465315;12.307770031890705;13.66777683839343;13.393122273589531;13.47699928613306;12.929813184664148;12.307770031890705;12.642728643769;13.52930853485899;13.597936149095696;13.330216642678412;12.828533210455618;13.429668265133094;13.192755142640369;11.569380959522295;13.780642286217136;13.75884780310832;13.4248223873518;12.079151405421891;13.473578924860783;12.689779629377275;13.044564882812626;13.781052288362956;13.123313124568744;12.61401961443572;13.947271652460348;13.24123837912341;13.523071826940395;12.744623639343583;12.994883741970837;12.12347479824414;13.185804615108458;13.439311461818846;12.423903765836592;12.79603960882977;12.589182967039353;13.88369335851507;12.241089378860856;13.003166506665169;13.256356135514164;13.001232245244363;13.849991443179317;13.874405076409488;11.916625922211235;13.633108754940718;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
8.90388184573618;9.980139577639155;11.14274527675153;10.906890595608518;11.823367240046236;11.006326078524934;10.793603309279408;11.14974711950468;9.022367813028454;10.640244936222343;10.4542992936199;11.549303368513575;10.846273911349906;11.030667136246942;11.166163082646111;9.603626344986193;12.79766152585376;13.439830883981392;10.524541715035848;11.166163082646111;11.563672959827514;10.793603309279408;11.081483438093674;11.575066464578656;9.92035285541508;11.400345796534694;10.915879378835774;9.192292814470768;9.154818109052105;11.404077136241234;11.310044679647506;11.62113611327464;11.57601187420678;9.192292814470768;10.909143047339898;11.769011321097016;9.59245703726808;9.533329732305834;11.27262978497637;10.567005370247031;10.070120944476823;11.581671358578143;11.055960234452296;10.040289721025715;12.020632761657708;10.112439506781552;8.734709620225837;10.153552031708111;10.383704292474052;11.066761932386909;10.709083812550343;11.491352073563435;9.403012023574997;12.728983369988049;11.280190792216906;7.05528243550119;7.714245517666122;11.806146803320525;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.52943055414615;12.362491806046062;11.944346034137832;12.270587340447513;11.400345796534694;11.552188759557149;11.730894646541673;11.756139298372927;10.754887502163468;11.728345714710976;11.082814337672271;12.24852060493843;12.321928094887362;12.597121428789569;10.603626344986193;12.490850876740298;11.499845887083206;11.717676423066395;10.591522346570734;10.603626344986193;12.6476832678862;11.730894646541673;11.938476938666351;11.99435343685886;11.958552715431011;11.634811050171718;12.099347810403192;13.366868586167094;12.013322673425447;10.532355925288847;12.023061249735337;12.389900172773064;11.286557761607956;11.53818893205242;11.099347810403192;11.808562029957525;11.567005370247031;11.734286232096348;12.754678763822527;11.925925264972856;12.695445810537382;12.308339030139408;12.372865060112588;11.255618749839597;13.455969302758032;11.446566409066069;11.167418145831736;11.43879185257826;11.76983784362944;12.73978060977326;13.82356627364535;11.895953892812168;10.469641817239516;11.76487159073609;12.06339508128851;11.589651146514786;10.353146825498085;11.292896755409172;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
11.593857938858225;11.217351905270334;13.37381675079274;12.99453022688921;10.929258408636972;10.526499239136566;12.114718389188424;10.967946705812707;12.43254190038826;11.12605911607068;11.627989784315703;10.86727873970966;11.08746284125034;12.754261196514;9.483815777264256;11.76445696361989;12.241387363998935;11.378836713210614;10.080817527608328;9.483815777264256;13.84097456982188;12.114718389188424;12.635264656539514;11.060695931687556;11.131213905086272;12.35974956032233;12.275542556086725;12.48733761520718;13.627077840517394;12.123798091251857;12.017156386383112;11.295768934420508;10.86418614465428;11.98655314975666;10.61194694181998;13.753530162781162;10.709945380232496;12.275251543470327;11.88683970588442;10.494855584491198;12.93755773185546;13.055960234452296;12.52820989662271;13.128638812852598;13.778487861222372;12.68934284613419;13.802112418586066;12.688250309133178;13.066930068864098;12.400345796534694;14.515515055057293;11.0;11.768597882194374;10.749869427396844;11.692179576312538;11.367414751246828;11.878050912728536;8.696967526234287;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.148794321424337;13.91186007617724;13.408462432884376;14.16906376105911;13.479401355283418;12.46735081448758;13.95655766257052;14.25214797976178;13.078484417411447;12.561049226699671;11.96108788999733;14.299637328029158;14.477631797450522;13.41336348121097;13.10000522442272;13.783816759320182;13.807354922057604;13.947819546020028;13.77612455554518;13.10000522442272;13.503949931603271;13.95655766257052;14.149032579943643;13.997796940840429;12.928148216169037;14.106644723559944;14.318260343712415;12.042343379793692;13.981745645634575;14.044735626056909;14.100169531129907;13.066930068864098;13.87824254386927;13.27539705711621;13.584962500721156;14.035228681414296;13.945809584900822;12.947819546020028;13.889979206371562;13.646783691837792;14.02436054588832;13.113904915786051;13.780129619625306;12.7868821936647;14.021413793008133;13.915225836337218;12.961811408087163;12.705632387361415;13.336506559810257;14.19329433831584;12.013322673425447;13.339432495996776;13.79603960882977;13.722807531169549;14.183480311333778;13.742730476519174;12.526988205432009;13.40101281538281;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.82992089387229;12.127994320976391;12.254733389246674;12.061708704660624;11.97656412341533;11.992230264965889;12.482303782323182;11.86573327085176;12.102959885910124;11.453785055496157;10.980139577639155;12.66266837551754;11.921097088106793;12.3009244909763;11.082814337672271;12.244066464194818;11.777255315191924;11.536247215688128;12.06204613772049;11.082814337672271;12.656201380194553;12.482303782323182;11.908767882849189;12.29232163280204;12.02410078025291;12.548581118165128;12.440090524950488;12.922955991908475;12.597587039586216;11.590587049915037;12.501588422932391;12.144976824050111;11.48683502156305;12.311180660053354;12.015415052386688;12.232420927176076;11.856036399819155;11.401412878714178;12.146568675740786;12.018895621121649;12.404343291585755;11.93147623388679;11.875749351420056;12.004922678569043;12.876900591040306;11.557942286787448;11.788310503700918;11.533816389433364;11.456354415108288;12.613098794209224;12.583082767502932;11.824163209744158;11.933321820732946;12.200592137689254;12.347621368568134;12.698487638557692;11.135067945777816;12.378294855911893;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.484822894262146;12.158925203806964;12.136350341454156;12.604321563877273;12.264149339723328;11.639792893279312;12.76632184795396;13.586136091480489;11.71853287606922;11.532842910961282;9.99859042974533;13.102959885910124;12.996650019175894;11.59898297103609;11.597121428789569;12.185804615108458;12.645883554519004;12.513480875979049;12.680359523513712;11.597121428789569;12.690871009292314;12.76632184795396;13.072467608241858;11.779719355143405;12.451211111832327;12.198445041452365;12.949279579076595;12.4070021479242;12.63254087654689;12.623195635452936;12.62593709953846;11.92072501975118;12.3009244909763;11.79685079526716;12.45917543555203;13.229269462266736;12.49909844122888;12.004571615167656;12.62662165235837;12.393658591454772;12.622280655215585;12.044735626056909;11.558420713268664;11.60917873814198;13.404476350847172;12.447083226209651;11.478769619475765;11.953468962228849;11.95637615724967;12.993115299679175;11.262682142362165;12.322773176454564;12.493355121494906;12.347067657165873;13.087297080919154;12.870750003346114;11.64745842645492;12.220075970984304;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
15.349523132292148;15.20724315593674;14.7132791036247;15.68019467234049;13.809567182259656;14.197370293859828;14.995767150877802;15.646868050924516;13.888172449665932;14.472563925229863;12.881687558870006;15.449116395930568;16.640513269719055;14.415609744035512;13.812979471251484;15.140789837341654;14.406404332341255;15.02570192373543;13.540975578809254;13.812979471251484;15.12395971059229;14.995767150877802;15.648975426540328;15.047166524169052;14.538310202597684;15.94196459298614;15.446954039279555;15.423181581223467;15.326429487122304;14.455455659658384;14.65234083774931;14.509775004326936;14.87253060355256;14.925739864337649;14.501588422932391;15.437914587394898;15.255840005118136;15.0999641448219;15.132218553419296;14.783561012206205;15.636681257899273;14.696424240578878;14.890406791225368;12.558898981146704;16.064490169977503;15.876397036741476;13.238106137432077;11.58777751632821;15.068820255233211;15.839006900339438;13.674302629212166;15.194179722532551;14.593449483061192;14.93820123811306;16.04174469790549;15.722754176076403;12.656201380194553;15.35827344662811;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
