TCGA-J8-A3YD-01A;TCGA-EL-A3GO-01A;TCGA-J8-A3YH-01A;TCGA-EM-A3FM-01A;TCGA-FY-A3WA-01A;TCGA-H2-A3RI-01A;TCGA-E8-A438-01A;TCGA-EL-A3ZG-01A;TCGA-EL-A3GS-01A;TCGA-EM-A3ST-01A;TCGA-FK-A3S3-01A;TCGA-DJ-A1QE-01A;TCGA-BJ-A0ZJ-01A;TCGA-DJ-A3UW-01A;TCGA-DJ-A3UZ-01A;TCGA-EM-A2P3-01A;TCGA-DE-A0Y2-01A;TCGA-EL-A3CR-01A;TCGA-IM-A3U3-01A;TCGA-EL-A3TA-01A;TCGA-FY-A3ON-01A;TCGA-ET-A3BQ-01B;TCGA-DJ-A4UR-01A;TCGA-DJ-A2PN-01A;TCGA-DJ-A2Q1-01A;TCGA-EM-A4FM-01A;TCGA-EL-A3T3-01A;TCGA-BJ-A0Z9-01A;TCGA-EL-A3ZN-01A;TCGA-E8-A434-01A;TCGA-EL-A4JZ-01A;TCGA-BJ-A45F-01A;TCGA-IM-A420-01A;TCGA-EM-A4G1-01A;TCGA-BJ-A45J-01A;TCGA-DJ-A3UK-01A;TCGA-DJ-A2Q3-01A;TCGA-J8-A3YF-01A;TCGA-EL-A4JW-01A;TCGA-EL-A4JX-01A;TCGA-ET-A25O-01A;TCGA-KS-A4I3-01A;TCGA-EM-A2OZ-01A;TCGA-DJ-A13T-01A;TCGA-DJ-A3UO-01A;TCGA-DJ-A2Q3-01A;TCGA-DJ-A13R-01A;TCGA-ET-A3DS-01A;TCGA-EM-A22Q-01A;TCGA-L6-A4EP-01A;TCGA-FY-A3ON-01A;TCGA-BJ-A28X-01A;TCGA-DE-A0Y3-01B;TCGA-DJ-A4UQ-01A;TCGA-E3-A3DZ-01A;TCGA-BJ-A0Z0-01A;TCGA-DJ-A4UW-01A;TCGA-E8-A417-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.154818109052105;9.335390354693924;9.197216693110052;9.014020470314934;9.187352073200495;9.34207466799914;9.214319120800766;9.38586240064146;9.709083812550343;9.689997971419446;9.271463027904376;9.469641817239516;9.445014845868425;9.544964432789238;9.164906926675688;9.24555270625568;9.283088353024002;9.807354922057604;9.586839787961829;9.403012023574997;9.505811553919594;9.350939181546432;8.262094845370179;9.426264754702098;9.457380879072534;8.741466986401146;8.774787059601174;9.005624549193879;9.00842862207058;9.620219825507489;10.057991722759176;8.965784284662087;9.92481250360578;9.118941072723509;9.233619676759702;9.24555270625568;9.952741247186488;9.623881490013458;9.77313920671969;9.294620748891628;9.129283016944967;8.787902559391432;10.130570562805426;9.398743691938192;9.310612781659527;9.952741247186488;9.08746284125034;9.164906926675688;7.392317422778761;8.483815777264256;9.505811553919594;9.967226258835993;8.686500527183219;9.571752643503546;9.403012023574997;9.52552080909507;9.0;9.403012023574997;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.65985656487418;15.68310427347766;15.94370526351176;15.421801860469872;16.66582165674092;15.914034694104842;14.24666638387645;15.555697545334288;16.212401387923876;14.756712675508098;15.119711191043644;16.102324323876104;15.383231775670849;15.115653316906378;15.511690893239924;15.675019770438348;15.839966474465504;15.260882789739387;15.658685681878174;15.023234556845988;15.945695298447646;16.500312844171088;14.253995173480227;16.087338522787476;15.083188432071074;14.67457849494926;15.7365076348785;15.07129475348982;14.914385132155443;15.56955897112606;14.671872733453272;13.927222402724643;15.369801795374306;13.489220783521674;15.563226069807248;15.458566818342678;15.960952189951058;15.520710748864262;15.823317477355756;14.70617221713044;15.74979088132137;14.88802971456407;16.354025493351312;16.14306428063141;15.900182837097066;15.960952189951058;13.337203749714552;16.291944083954668;12.59362454970607;14.876468983831543;15.945695298447646;15.438142077743654;15.43250927757367;15.605392703729484;15.278812409501898;15.739543304888954;15.431954576830764;15.509063623850938;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.027733249752831;13.8649599151426;13.006501407569434;12.642728643769;13.77612455554518;13.345959596404112;12.103943429891558;12.884552133987237;13.635604767744788;12.584257887744569;12.871520262329112;13.849991443179317;12.570092874188056;12.744623639343583;13.143702076857933;13.410583848637842;13.443461612227392;12.719388820942084;13.322209843748894;12.729195859132094;13.559616085812724;13.668331017726826;11.564149489985732;13.462502272597265;12.205793249397155;12.145295334933598;12.71853287606922;12.567005370247031;12.594324603924848;13.108687796154612;12.946358033887046;12.303209948944776;13.203806802487808;12.423903765836592;12.889313822384397;13.415213598765286;14.002023847481446;13.141787841671004;12.959096342281969;12.386401423640775;13.633108754940718;12.590353130978018;14.04840172658824;13.78053976747196;12.90444646450572;14.002023847481446;11.893301530860564;12.929813184664148;10.473705749619416;11.693486957499324;13.559616085812724;13.483059977871669;13.280045761300384;13.080484457067568;12.955286645524469;13.099347810403192;12.781974367389338;13.343463343667905;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
10.12670447284319;11.627533884472792;11.7988767681333;11.563672959827514;9.002815015607053;12.698053484163538;10.407267764244732;10.90613899619538;10.287712379549449;11.06339508128851;10.98370619265935;11.280190792216906;11.759888183221834;11.581671358578143;10.419960177847887;12.0911047583765;9.372865060112588;10.946906274456396;11.646558710154547;11.57601187420678;10.92481250360578;11.719388820942084;9.076815597050832;9.507794640198696;10.749869427396844;10.81698362325538;10.899356922923111;9.154818109052105;10.13699111208023;10.96289600533726;11.674192268145683;10.130570562805426;11.140829770773;8.734709620225837;11.228217442293436;11.632995197142955;11.31174831500496;10.827342704234116;9.353146825498085;9.643856189774723;11.806146803320525;9.826548487290914;11.433585441150496;11.445532219028312;11.735132884139947;11.31174831500496;9.436711542137214;10.524541715035848;10.038918989292302;11.488342277532524;10.92481250360578;12.127994320976391;10.661778097771988;11.200898605038445;9.870364719583405;11.242578689451346;11.681677655209691;10.732167425663384;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.63254087654689;10.863411958941638;12.206098613995795;12.6476832678862;11.820178962415188;11.886458695703706;11.960364008877834;12.043027283594547;12.247334178028728;12.379919817646538;12.141468555393084;12.06339508128851;11.634811050171718;12.308339030139408;11.247927513443583;11.817783121774534;11.817783121774534;12.203959703239462;12.321364432039449;12.042343379793692;12.41336348121097;12.14274527675153;11.815383295813538;11.82097669262124;12.436711542137214;11.971543553950772;12.476746203939468;11.829326335841666;11.786678033890652;12.014717929860009;12.692179576312538;11.364134655008051;12.434628227636724;11.167418145831736;12.280770770130603;11.460455896309636;12.04746477331842;12.619761463298424;12.189515729800194;11.8649599151426;11.292896755409172;11.654636028527968;12.33511116842486;11.863024710236886;12.123798091251857;12.04746477331842;10.980139577639155;10.591522346570734;10.094077685671904;11.954559846999834;12.41336348121097;11.954196310386877;11.159871336778387;11.723234300893376;12.35149140932002;10.893301530860564;11.386940245324311;12.058668250340572;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
12.39473062943157;11.167418145831736;12.066425600635556;13.84097456982188;13.335948565202298;11.088125692188209;13.86534664481678;11.745254141957256;10.3151495622563;10.287712379549449;13.124444460008585;11.692179576312538;11.303209948944776;13.055960234452296;13.88826759855572;11.203348002979762;12.71488943423155;12.688031702413934;12.222191138456331;13.054434738760843;11.451211111832327;12.51865315567339;10.187352073200495;11.465056167831175;11.942147920394849;11.858758099935422;12.620907095885338;9.350939181546432;14.616031862014465;10.878050912728536;12.664447284547972;10.8649599151426;12.51939054134796;13.802112418586066;11.166163082646111;11.836444911341369;11.325867580575418;11.949461979360152;12.753843508311638;11.215532999745657;8.696967526234287;10.43567026093655;10.467605550082997;12.568668693380506;10.480790201095816;11.325867580575418;13.032390168866524;10.080817527608328;10.806549621985962;10.758223214726724;11.451211111832327;11.084144010615145;12.67661826358852;12.689561254285524;12.728983369988049;10.874981347653774;13.287423811683524;10.468624042918018;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.149905858025049;13.84891630031937;13.38275910405649;13.503949931603271;12.855647166027266;14.191059214531656;12.806146803320525;13.92016673723887;14.321153001682084;13.035830072835015;13.714567511873662;14.183480311333778;12.995767150877802;13.113904915786051;13.38275910405649;13.715640307164684;14.425084743242849;13.3607099393494;13.87565337330467;12.945626722229823;14.040803409847555;14.00474715754676;12.199672344836364;14.052228393347402;12.733439082899434;12.828731532683008;13.348036512700553;13.220378327695228;13.34207466799914;13.286413369370344;12.719816603018126;12.94196459298614;13.668663423175296;12.961811408087163;13.419433550705378;13.313591652572708;14.535093083891375;13.70498432489298;13.634924465135096;12.776638647073584;13.40101281538281;13.304066063127284;14.7410982599159;13.353146825498085;13.494855584491198;14.535093083891375;11.623424289869911;13.77612455554518;9.668884984266247;12.393658591454772;14.040803409847555;13.814382188951573;14.037632744408544;13.668220198888896;12.7638347994296;13.795633844506778;13.130087867755735;13.959096342281969;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.29318423075951;12.268249571994492;12.426526848451733;12.656201380194553;11.961811408087163;12.507794640198696;12.79644525906185;12.147840893672337;11.953468962228849;11.64250302878052;12.713601313573754;12.347621368568134;12.10000522442272;11.93147623388679;12.194141238863136;11.732167425663384;12.076147528022505;12.274669342073851;12.71037597120447;12.089119397915168;12.127994320976391;12.47826403158172;11.81418188419028;12.356451970221755;11.307770031890705;11.814582465906277;12.046441948007311;11.8193807908646;12.07045641594465;12.4186432493759;12.073806847178492;12.149111990706889;12.25915476886684;11.788310503700918;12.230020435705637;12.274669342073851;12.427312844134963;12.297776062894147;12.104926303807776;10.857203471508166;12.378294855911893;11.853309555403674;12.699572453287267;12.32023644524165;12.48255589154897;12.427312844134963;10.881113960675096;12.06204613772049;10.582141981658776;11.483311954999351;12.127994320976391;11.94800213097767;12.363313464373478;11.978710459106358;11.888743248898258;11.882260929099804;12.037203741151972;12.404609397837712;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.20304205556246;12.47015043527436;12.083146870816742;12.690871009292314;11.852139328187244;12.428621886091111;11.353698209048035;12.053586543639174;12.840187824040482;11.681238411777803;12.458919206967591;13.087297080919154;11.415213598765286;12.044735626056909;12.443461612227392;12.57459352733761;12.731319031025064;12.079484783826816;12.756556322524087;12.011926066306808;12.541096615349524;12.563672959827514;10.727069558023706;12.686719366021846;11.715961990255144;11.776021715252812;12.178976011374523;12.7279204545632;12.242280950302444;12.170863950411928;12.202736043250168;11.381542951184583;12.638662165859657;11.478769619475765;12.101647450030766;12.156715144224702;13.164906926675688;12.111461739857722;12.060695931687556;11.30435132166324;12.220075970984304;12.148158772937894;13.031356596255709;12.321364432039449;12.236911111444602;13.164906926675688;11.165535141377925;12.680359523513712;9.46352437327118;11.519636252843211;12.541096615349524;12.419433550705378;12.831505185085328;11.934796592178404;11.7632123668144;12.058330026205653;12.458662932867815;12.570330101030798;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
14.862588931160628;14.58084739859277;14.950783692200732;15.12395971059229;14.864766511423444;14.91802465066733;15.161997870047484;13.833977162388804;16.21663219602046;14.701956178268135;15.42305023608127;16.04174469790549;13.86611979330307;14.696424240578878;14.485514879600364;14.748559767508354;16.432297211295985;14.831406217838442;15.11946804019348;14.061202407045007;15.428785432852068;15.555487857818244;13.64543327516426;15.948983129422398;14.176406929058992;14.183945471757246;15.34200519911549;16.894261206824552;14.080984034047532;14.800849356187369;14.901621158346112;14.501588422932391;15.484508245716508;13.238106137432077;15.719121392717154;14.624681241788936;16.192215745369495;15.496416909118045;16.632682867102677;14.319107575824985;15.35827344662811;14.297919322418709;15.697320552231202;16.07958894878169;15.71201642131727;16.192215745369495;12.079484783826816;13.540975578809254;13.673750739438065;14.675019770438348;15.428785432852068;14.67672843923796;16.08594957174813;14.54393805473774;14.95637615724967;14.660608773874682;14.493855449240822;14.488028395704406;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
