TCGA-CE-A481-01A;TCGA-EL-A4K2-01A;TCGA-BJ-A4O8-01A;TCGA-DE-A4MA-01A;TCGA-DJ-A1QN-01A;TCGA-EM-A4FK-01A;TCGA-DJ-A2Q6-01A;TCGA-BJ-A45D-01A;TCGA-EM-A3AL-01A;TCGA-DJ-A1QE-01A;TCGA-EL-A3GX-01A;TCGA-ET-A25G-01A;TCGA-EL-A3GS-01A;TCGA-FY-A3NM-01A;TCGA-DJ-A2PO-01A;TCGA-EL-A3H2-01A;TCGA-E3-A3E0-01A;TCGA-BJ-A2N7-01A;TCGA-DJ-A2PZ-01A;TCGA-DJ-A4UP-01A;TCGA-ET-A3BT-01A;TCGA-DJ-A3VF-01A;TCGA-EL-A4KH-01A;TCGA-IM-A41Y-01A;TCGA-ET-A3DU-01A;TCGA-FY-A3NP-01A;TCGA-CE-A27D-01A;TCGA-EL-A3T0-01A;TCGA-E8-A2JQ-01A;TCGA-EM-A2CO-01A;TCGA-DE-A4M9-01A;TCGA-ET-A40P-01A;TCGA-EM-A3AN-01A;TCGA-EL-A3ZQ-01A;TCGA-J8-A3YG-01A;TCGA-EM-A3FJ-01A;TCGA-EL-A3CU-01A;TCGA-FK-A3S3-01A;TCGA-CE-A3ME-01A;TCGA-J8-A3YG-01A;TCGA-DJ-A3VG-01A;TCGA-DJ-A1QG-01A;TCGA-FY-A40L-01A;TCGA-EL-A3CX-01A;TCGA-BJ-A2NA-01A;TCGA-KS-A4ID-01A;TCGA-EM-A4FN-01A;TCGA-EL-A3H1-01A;TCGA-KS-A4I1-01A;TCGA-ET-A40R-01A;TCGA-FK-A3SG-01A;TCGA-EM-A2P3-01A;TCGA-DJ-A4UT-01A;TCGA-DJ-A3V3-01A;TCGA-FE-A237-01A;TCGA-DJ-A3US-01A;TCGA-BJ-A2NA-01A;TCGA-FY-A3R6-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.936637939002573;9.638435913990472;9.35974956032233;8.405141463136344;10.211888294546004;9.682994583681683;9.79603960882977;9.839203788096944;10.274960472140602;9.469641817239516;9.654636028527968;9.3151495622563;9.709083812550343;9.96000193206808;9.627533884472792;9.7515440590891;9.45532722030456;9.67595703294175;8.632995197142957;9.164906926675688;9.211888294546004;9.618385502258606;9.247927513443583;8.546894459887637;9.779719355143405;9.807354922057604;10.439830883981392;9.46352437327118;9.972979786066292;9.794415866350104;9.25974326369078;9.052568050804153;9.355351096424812;8.76487159073609;9.929258408636972;9.280770770130603;9.108524456778168;9.271463027904376;9.24555270625568;9.929258408636972;9.364134655008051;8.527477006060396;9.250298417906333;9.78953364497036;9.554588851677638;9.51175265376738;9.038918989292302;9.614709844115207;8.632995197142957;9.776433032444732;9.060695931687556;9.24555270625568;9.618385502258606;9.38586240064146;9.426264754702098;9.618385502258606;9.554588851677638;8.92184093707449;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.145136088281756;15.61649141050838;15.277287400130357;14.010965114050515;15.95196764754346;15.60611599692373;16.103246822175258;14.530406337099068;16.067287293829256;16.102324323876104;15.924046981991632;16.38862276719636;16.212401387923876;17.108871530850912;15.1070944478413;16.421834726302933;15.773963368433558;15.481957060187174;14.989616244829245;15.196678961665036;15.715801157675774;15.429112470764538;14.702984297726418;15.241610812468506;15.104885364094075;15.878936993455447;15.661889412539288;15.256356135514164;15.237172607976506;15.448180848303595;16.115714269413132;14.801607326314375;16.121634690228767;13.603858121842803;16.242541475417916;15.798902074798812;15.3972735315025;15.119711191043644;15.415444696725396;16.242541475417916;15.312882955284357;13.420618191560957;15.452466483046752;14.092922275131777;15.950555897047511;14.648189033024032;15.19610259833154;16.199499818372814;14.699138625275914;15.904399421380557;16.111441362665214;15.675019770438348;14.913497190377948;15.581818444783185;15.679397626013944;15.92687506945469;15.950555897047511;14.382083590141969;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.225056771699682;12.715533063526584;13.003166506665169;10.93737382019215;13.99408821118647;12.99806148563642;14.007202510749742;11.569380959522295;13.874405076409488;13.849991443179317;13.494480615017771;13.219319801859132;13.635604767744788;14.108851117040151;13.37218489648635;13.230470832204706;12.63367640989232;13.28424574982967;12.837627933171404;12.775816012673026;13.4248223873518;13.433455039827054;11.62067804213541;12.185494924210866;12.4993476328766;13.41679752760606;13.543031820255235;13.113416611485944;12.56057167123656;12.12347479824414;13.174925682500678;12.208539206738363;13.330216642678412;10.487840033823051;13.730682407476795;13.001232245244363;13.473578924860783;12.871520262329112;13.24123837912341;13.730682407476795;13.12751076305637;12.13410540040181;13.66777683839343;12.772314573921651;13.230320715661112;12.144976824050111;12.079151405421891;13.451726268074506;11.95383268214528;12.78483929465315;13.117967703717133;13.410583848637842;12.778487861222372;12.832494484336111;13.450309145537936;13.203806802487808;13.230320715661112;12.225508720236;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
10.501837184902296;9.312882955284357;11.491352073563435;10.509775004326936;12.699355555588465;6.285402218862249;12.083479327331842;9.192292814470768;7.05528243550119;11.280190792216906;11.44759985827995;9.590587049915037;10.287712379549449;10.4757334309664;11.33427328530719;11.823367240046236;10.674192268145683;10.67595703294175;11.037546953962178;11.14274527675153;11.310044679647506;11.273212809854334;11.7279204545632;10.459431618637296;10.573647187493322;9.105908508571158;12.08381170725288;10.571752643503546;10.85096815098244;10.040289721025715;9.870364719583405;10.689124404913258;11.575066464578656;11.512740462803498;11.225809940623543;12.728983369988049;11.57601187420678;10.98370619265935;10.567005370247031;11.225809940623543;9.092757140919852;9.505811553919594;9.603626344986193;11.55026580686874;11.377210530388552;10.35974956032233;11.62113611327464;8.184875342908283;12.069785394983302;11.030667136246942;11.135067945777816;12.0911047583765;10.091435386323608;11.359200485133632;11.082814337672271;11.721953612801386;11.377210530388552;10.188588845707349;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
12.353422543614716;11.543515216152167;11.895953892812168;12.760512051357347;12.647008638441648;11.51422090935813;11.635718120331047;13.366868586167094;11.589651146514786;12.06339508128851;12.439311461818846;12.3292357417338;12.247334178028728;11.456354415108288;11.615169813843602;11.400345796534694;11.402479172214964;11.61654884377899;11.681677655209691;11.944346034137832;12.023061249735337;12.358101707440849;12.461223627613371;11.51422090935813;12.14338321398982;12.168358727223886;12.47395936569476;11.75112558336727;11.947271652460348;11.255618749839597;11.285980105928212;12.558420713268664;11.99435343685886;12.17648484729189;13.095232171619331;11.76487159073609;11.286557761607956;12.141468555393084;11.925925264972856;13.095232171619331;11.553629293916364;10.657318449581288;12.490850876740298;12.917931444281608;12.140829770773;12.086136225027309;12.389900172773064;11.762797262498232;11.686062749895417;12.597121428789569;12.6373041221062;11.817783121774534;11.617008227651963;11.962173031109709;11.93110683302934;11.734709620225836;12.140829770773;11.632995197142955;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
11.144020869266893;14.47281774209204;11.0;13.1705510353167;11.445532219028312;13.391914828931892;12.271754805646474;12.48733761520718;11.367414751246828;11.692179576312538;10.827342704234116;11.546412195119352;10.3151495622563;13.852529509404196;10.530406337099068;10.929258408636972;11.752380646552892;14.565102078360312;10.240791332161956;13.37381675079274;12.017156386383112;13.20594593977576;13.045759661382682;13.067938476436064;12.51101135288224;11.90651484484695;12.392049039364183;14.14974711950468;11.963618617443972;13.128638812852598;12.282509306240836;14.598168841844732;11.060695931687556;10.401946123976536;11.850577547205614;10.749869427396844;10.86418614465428;13.124444460008585;10.494855584491198;11.850577547205614;12.122180901259751;11.032045726930807;11.76445696361989;12.803122072935404;11.31174831500496;11.26620091249896;11.295768934420508;12.461735221604863;10.163649676015824;12.754261196514;14.126785122145328;11.203348002979762;12.38316426063511;10.945443836377912;11.812979471251484;12.95492329203032;11.31174831500496;12.762382038710392;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.905951035144904;13.157031074378354;13.339432495996776;11.66622400280318;14.66855262986872;13.855452509744048;14.298349015658186;12.042343379793692;13.742730476519174;14.183480311333778;14.06785446938792;14.350939181546432;14.321153001682084;13.975847968006784;13.813781191217036;13.479401355283418;13.682446009569256;13.720564916568025;13.428229298205096;13.408462432884376;14.100169531129907;14.16906376105911;12.13827180017222;13.171489577065657;13.082315394198206;14.095397022792556;13.867182196393744;13.501588422932391;13.14863546054867;12.7868821936647;12.821773981970567;12.049848549450562;13.997796940840429;10.876516946565;14.314016703901355;13.722807531169549;13.87824254386927;13.714567511873662;13.646783691837792;14.314016703901355;13.4651837439944;12.086136225027309;13.783816759320182;12.725153203912992;14.160659307217385;12.703471046071948;13.066930068864098;13.653740778706569;12.330916878114618;13.41336348121097;14.130972685349182;13.715640307164684;13.442813937675153;13.31174831500496;13.97271060143245;13.521109643651332;14.160659307217385;12.99717948093762;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.212800334429431;12.340128273700588;11.824163209744158;12.165221068220944;12.633449374713493;11.86611979330307;12.222794902868111;12.922955991908475;12.698487638557692;12.347621368568134;12.007728114632254;11.998942951443086;11.953468962228849;12.703687325967548;12.08115052127187;11.97656412341533;12.032390168866524;12.71037597120447;11.885696373339394;12.254733389246674;12.501588422932391;12.08381170725288;12.557224349454447;11.91139198784346;11.712097051087548;13.083645526864412;12.852139328187244;12.365502268193117;11.480285320936373;12.004922678569043;11.669328004395904;12.323054760341646;12.29232163280204;11.958915156091347;12.58096513597733;12.200592137689254;11.48683502156305;12.713601313573754;12.018895621121649;12.58096513597733;12.439571196276454;11.399277924508969;12.244066464194818;12.213408040858337;12.423641195075856;11.862637357558794;12.144976824050111;12.562003863651553;11.82097669262124;12.3009244909763;12.49160260669611;11.732167425663384;11.89822347121556;12.456867738380344;12.182083929510725;12.374496145691516;12.423641195075856;11.465056167831175;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
11.965062756744627;12.039261794341057;12.322773176454564;11.468114886378098;12.68013971776317;12.002111776479852;13.352595231134304;12.4070021479242;12.870750003346114;13.087297080919154;12.68057929578025;13.178976011374523;12.840187824040482;12.648132845652658;12.500592945893834;12.264149339723328;11.2940463132715;13.004396051426534;12.404343291585755;12.136350341454156;12.62593709953846;12.539643506238036;11.338179249900112;12.130892269806624;12.096385734452651;12.55170826162069;12.922584402713664;11.94288099715904;12.257387842692651;11.60917873814198;12.35974956032233;11.352595231134304;11.779719355143405;10.52258153125483;13.052398232071583;12.347067657165873;12.3009244909763;12.458919206967591;12.393658591454772;13.052398232071583;12.738725622493424;11.147204924942228;12.185804615108458;11.87536540064177;12.929628283024565;11.720244258287568;11.92072501975118;12.5427900615549;11.499845887083206;11.59898297103609;12.596888567027964;12.57459352733761;11.72749506902543;11.115693952197011;12.596655667674662;12.306916113522542;12.929628283024565;11.111135670234708;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
15.583552930466483;14.4360608294651;15.194179722532551;14.11788655998186;16.29348961056697;14.18820246817996;15.374088547146387;15.423181581223467;15.722754176076403;16.04174469790549;15.136670762341843;16.347915441334845;16.21663219602046;14.308267917629676;14.93004427839366;13.809567182259656;14.264295977426446;14.75410457760912;14.501588422932391;14.7132791036247;14.65234083774931;15.206594693657134;14.362834220554324;14.295051425557611;14.594791118089264;15.268176455655585;15.259081190132113;14.968441804494772;14.469387440964349;12.558898981146704;13.942331224510577;14.423575544918128;15.047166524169052;14.593799595109722;16.163118944604843;14.93820123811306;14.87253060355256;15.42305023608127;14.783561012206205;16.163118944604843;14.749293323512116;14.578254742209705;15.140789837341654;14.437361961444426;15.834767301405412;14.307983432533188;14.509775004326936;15.702984297726418;14.49566768416977;14.415609744035512;15.126583490436024;14.748559767508354;15.418050239143165;14.932860645317168;15.073890508348216;14.83836682949531;15.834767301405412;14.392049039364183;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
