TCGA-DJ-A3VE-01A;TCGA-EM-A3FL-01A;TCGA-BJ-A190-01A;TCGA-EM-A3O6-01A;TCGA-EM-A2CJ-01A;TCGA-EL-A3CL-01A;TCGA-KS-A4ID-01A;TCGA-EM-A3FM-01A;TCGA-BJ-A0ZG-01A;TCGA-EM-A3FP-01A;TCGA-FY-A76V-01A;TCGA-EM-A4FK-01A;TCGA-ET-A40Q-01A;TCGA-FK-A3S3-01A;TCGA-E8-A418-01A;TCGA-EL-A3N2-01A;TCGA-ET-A3DQ-01A;TCGA-BJ-A28Z-01A;TCGA-EL-A3D1-01A;TCGA-DJ-A13O-01A;TCGA-FK-A3SG-01A;TCGA-BJ-A0Z9-01A;TCGA-DJ-A2PW-01A;TCGA-DJ-A1QM-01A;TCGA-BJ-A192-01A;TCGA-FE-A231-01A;TCGA-EM-A2OW-01A;TCGA-DJ-A2PR-01A;TCGA-ET-A2N0-01A;TCGA-ET-A3DP-01A;TCGA-DJ-A1QO-01A;TCGA-FK-A3S3-01A;TCGA-DJ-A2Q6-01A;TCGA-BJ-A0ZA-01A;TCGA-EM-A22Q-01A;TCGA-DJ-A13M-01A;TCGA-EM-A3FJ-01A;TCGA-EM-A3ST-01A;TCGA-DJ-A3VB-01A;TCGA-DE-A4M9-01A;TCGA-J8-A3O1-01A;TCGA-EM-A3AR-01A;TCGA-EM-A4FR-01A;TCGA-EL-A3GS-01A;TCGA-EL-A3D4-01A;TCGA-DJ-A3UX-01A;TCGA-DJ-A2Q7-01A;TCGA-ET-A25I-01A;TCGA-BJ-A4O9-01A;TCGA-EL-A4KG-01A;TCGA-EM-A4FF-01A;TCGA-EL-A3CV-01A;TCGA-FE-A236-01A;TCGA-EL-A3GU-01A;TCGA-E8-A434-01A;TCGA-DJ-A3VI-01A;TCGA-BJ-A0ZA-01A;TCGA-L6-A4EQ-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
8.948367231584678;10.03342300153745;9.69522829149575;10.381542951184583;9.445014845868425;9.189824558880018;9.51175265376738;9.014020470314934;9.174925682500678;9.700439718141093;8.897845456005511;9.682994583681683;9.92184093707449;9.271463027904376;9.792790294301064;9.197216693110052;9.353146825498085;10.095397022792556;9.131856960608792;10.193525360501216;9.060695931687556;9.005624549193879;9.733015321685963;9.935165049603697;10.06204613772049;9.442943495848729;9.992938336165814;9.364134655008051;9.20945336562895;9.383704292474052;9.4241662888181;9.271463027904376;9.79603960882977;9.550746785383245;7.392317422778761;9.65642486327778;9.280770770130603;9.689997971419446;9.703903573444665;9.25974326369078;9.269126679149418;8.915879378835774;9.057991722759176;9.709083812550343;9.052568050804153;9.428360172704291;9.909893083770042;10.124121311829189;9.219168520462162;9.829722735086058;9.449148645375436;9.794415866350104;9.583082767502932;8.912889336229961;9.620219825507489;9.447083226209651;9.550746785383245;8.784634845557521;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.580376352946306;15.547135531830865;16.563479324481158;16.140849737074177;15.56379210712418;15.268139896096494;14.648189033024032;15.421801860469872;15.472151377565153;14.98326084768255;14.008253527096048;15.60611599692373;15.778898476008376;15.119711191043644;15.908345706150364;15.64537698036215;13.89026427702111;14.861716977916164;15.00145217832723;16.17303293221105;16.111441362665214;15.07129475348982;15.609928984594935;16.45928752124941;15.791442729595753;16.09300483515016;14.896285095453251;15.4757334309664;14.50481898763284;15.71161320485812;15.765001137276014;15.119711191043644;16.103246822175258;15.725259734837234;12.59362454970607;15.004044859837435;15.798902074798812;14.756712675508098;16.04298454910378;16.115714269413132;15.686609950751922;15.91468877629265;14.40047922497788;16.212401387923876;13.405008465206691;15.867375276565458;16.05676470732673;15.272884887352436;15.523041188341171;16.167692545421904;15.400178993625431;15.835729698605052;15.76274536605977;15.596218880023589;15.56955897112606;15.689288238929622;15.725259734837234;14.99942752817247;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.129926933510394;13.059682447247638;13.94982671075911;13.33063682472329;12.557942286787448;12.862056133469462;12.144976824050111;12.642728643769;13.146727764348864;11.823367240046236;12.7515440590891;12.99806148563642;13.352043425795433;12.871520262329112;13.482177711187449;13.589182967039353;12.976385117888592;12.921283086307383;11.703903573444665;13.295768934420508;13.117967703717133;12.567005370247031;13.100169531129907;13.52930853485899;13.100990784092762;14.16317792440416;13.024620264759832;13.66478058593351;11.564149489985732;13.781052288362956;12.676397887044764;12.871520262329112;14.007202510749742;13.029632328044135;10.473705749619416;11.95383268214528;13.001232245244363;12.584257887744569;13.185804615108458;13.174925682500678;14.46722342982096;13.194756854422248;11.965784284662089;13.635604767744788;12.31938987600021;13.543756853375896;13.524541715035848;13.30848124464402;13.15212636534252;12.93829314415169;13.25502856981873;13.597936149095696;13.607908200815574;13.544722997755471;13.108687796154612;13.259301915079512;13.029632328044135;12.461479447286155;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
11.004220466318197;8.991521846075695;10.29920801838728;8.228818690495881;8.479780264029099;10.97656412341533;10.35974956032233;11.563672959827514;10.12023787734196;11.268542000300124;9.902375114486023;6.285402218862249;12.055282435501187;10.98370619265935;10.94397991434374;11.06204613772049;10.981567281903017;11.347067657165873;10.365228849251544;11.603626344986193;11.135067945777816;9.154818109052105;12.48733761520718;10.793603309279408;8.948367231584678;10.843921051289035;9.14974711950468;11.3701424794954;10.510764167917891;11.769011321097016;8.948367231584678;10.98370619265935;12.083479327331842;7.515699838284043;10.038918989292302;7.383704292474052;12.728983369988049;11.06339508128851;12.020632761657708;9.870364719583405;11.14974711950468;10.827342704234116;11.01262453886506;10.287712379549449;9.778077129535358;11.279610581052484;12.842153884634872;9.515699838284045;11.325305455089682;11.323617763291578;11.88378880325996;11.081483438093674;10.365228849251544;9.828136484194108;10.96289600533726;9.7632123668144;7.515699838284043;11.868822554775;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.919235786028349;10.86418614465428;12.069114061773938;11.848231701093818;11.56081046872794;12.460455896309636;12.086136225027309;12.6476832678862;11.197830998012195;11.794821973331224;11.3157156580222;11.51422090935813;13.237359362198834;12.141468555393084;12.534546067459992;12.186423797538945;11.686062749895417;12.019938156424796;13.588714635582264;13.23511671439625;12.6373041221062;11.829326335841666;12.415213598765286;11.730894646541673;11.910642730469624;12.187352073200495;11.145932145820517;11.265615046484458;12.892353075734109;11.808562029957525;12.036517070486518;12.141468555393084;11.635718120331047;11.594324603924848;10.094077685671904;12.781974367389338;11.76487159073609;12.379919817646538;13.455969302758032;11.285980105928212;11.756139298372927;11.036173612553483;12.116343961237469;12.247334178028728;11.799281621521924;11.261507309202056;12.218865910069676;12.113742166049189;11.511258495502268;13.166006122950492;12.210975677726395;11.938476938666351;12.000704269011246;11.978352958165145;12.014717929860009;12.52135506255826;11.594324603924848;11.686062749895417;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
11.536732889835417;11.127349541059118;13.909799350537972;13.084144010615145;13.599680430581166;11.436190995481416;11.26620091249896;13.84097456982188;10.977279923499916;11.863024710236886;12.338457843130849;13.391914828931892;11.944712061043486;13.124444460008585;10.00982861736811;11.585432051592962;14.627989784315703;13.197677446307418;12.743992861060176;14.594907723063336;14.126785122145328;9.350939181546432;12.38855550398256;12.114718389188424;9.741466986401146;10.457380879072534;10.841564347730577;13.20181761666792;13.228518097716194;13.753530162781162;11.671098725748465;13.124444460008585;12.271754805646474;12.608023750456493;10.806549621985962;13.939303724347104;10.749869427396844;10.287712379549449;13.778487861222372;12.282509306240836;10.967946705812707;13.915692682615404;13.679480099505446;10.3151495622563;12.706927639617405;14.013235425078475;12.140829770773;13.548581118165128;10.559377090526684;12.51298730941902;12.452756029032496;12.635264656539514;10.14338321398982;13.053077387099254;10.878050912728536;12.373680833411614;12.608023750456493;12.808763116450413;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.257387842692651;13.407798850221974;12.909143047339898;13.557344030489888;12.398476501449256;12.950009041886164;12.703471046071948;13.503949931603271;13.271900672391544;13.141787841671004;13.29332794695636;13.855452509744048;14.131937322399144;13.714567511873662;14.466522613032696;14.159004071924567;13.58625339806598;13.35397382181817;11.877284133523196;13.8357543670165;14.130972685349182;13.220378327695228;13.7171408816367;13.95655766257052;13.605595262378865;14.799939266063406;13.14561377551339;14.123151432773575;12.197523878257789;14.035228681414296;13.648357582009666;13.714567511873662;14.298349015658186;13.81518313000803;9.668884984266247;12.004571615167656;13.722807531169549;13.035830072835015;14.021413793008133;12.821773981970567;14.25214797976178;13.526621496247854;11.771902080697716;14.321153001682084;12.412305204955272;13.774684123919856;13.4806639976193;13.892637677748688;14.336994628117653;13.860214044191483;13.884742903579696;14.149032579943643;14.304921669581672;13.704011685029329;13.286413369370344;13.818981539432444;13.81518313000803;13.080651001949818;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.003166506665169;12.042001306279133;11.544964432789238;13.12347479824414;12.53818893205242;12.13699111208023;11.862637357558794;12.656201380194553;12.36932470240734;12.231821178657404;11.645208082774683;11.86611979330307;12.297202882496904;12.713601313573754;12.817583288677616;12.205182326228645;11.83368074865474;11.664447284547972;12.938476938666351;13.050698944430026;12.49160260669611;11.8193807908646;12.232420927176076;12.482303782323182;11.714245517666123;12.860699032611988;11.858758099935422;11.884552133987237;12.4186432493759;12.232420927176076;11.96902670215077;12.713601313573754;12.222794902868111;12.054604317960672;10.582141981658776;12.072132604167232;12.200592137689254;11.64250302878052;12.876900591040306;11.669328004395904;11.86573327085176;12.111135670234708;11.924441392339196;11.953468962228849;12.41732511767992;12.086467993464067;12.63117705570398;12.630039552656095;12.186423797538945;12.659326997414103;12.600377553107844;11.908767882849189;12.23661220021575;11.937005926516589;12.4186432493759;12.49735289347705;12.054604317960672;11.838416075797335;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.309476353841106;12.254733389246674;12.182704710518964;12.767977501603912;12.164906926675688;11.940680648424092;11.720244258287568;12.690871009292314;12.09077405464075;12.212800334429431;12.080817527608328;12.002111776479852;12.8107724413447;12.458919206967591;12.159871336778387;12.747143998186749;11.496853777388042;11.30720080914081;11.567005370247031;13.24852060493843;12.596888567027964;12.7279204545632;12.448374459662794;12.76632184795396;12.974414589805528;13.5302844003166;11.7300455028792;13.39780830865287;11.663113308455806;13.229269462266736;12.520373136339725;12.458919206967591;13.352595231134304;12.30149619498255;9.46352437327118;11.469641817239516;12.347067657165873;11.681238411777803;13.404476350847172;12.35974956032233;13.586136091480489;12.39740724437538;11.32755264408124;12.840187824040482;11.70173963867435;12.378836713210614;12.422853195944263;12.5898851792902;12.38424412224308;12.775816012673026;12.67087750439698;13.072467608241858;12.818582177480858;12.47269083924278;12.170863950411928;12.273795599214264;12.30149619498255;11.622509454683335;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
15.446695630709836;14.016547158534271;13.14194745831562;13.587894689529564;14.374360292304637;16.320536152763516;14.307983432533188;15.12395971059229;13.61712305076802;15.647374101883326;14.6476270608134;14.18820246817996;14.637190894068558;15.42305023608127;15.568223348403706;15.060906984695068;15.098278873274609;14.479148694154771;15.959436005069898;15.59248623659696;15.126583490436024;16.894261206824552;15.876133200043016;14.995767150877802;13.745989380245254;15.002946834789464;13.705092355522472;15.283124535732409;14.029718590416186;15.437914587394898;15.72075193432375;15.42305023608127;15.374088547146387;14.90341116123855;13.673750739438065;14.547918737559977;14.93820123811306;14.701956178268135;16.064490169977503;13.942331224510577;15.646868050924516;14.037289552009453;14.682171644271492;16.21663219602046;14.856230977341992;14.388017285345136;15.54490407781858;15.560004368730684;14.25214797976178;16.230545884619385;15.49775829819264;15.648975426540328;15.04746477331842;15.030149824925717;14.800849356187369;15.303745079840594;14.90341116123855;14.042257869018638;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
