TCGA-DO-A1K0-01A;TCGA-ET-A39L-01A;TCGA-EL-A3T8-01A;TCGA-EL-A3TA-01A;TCGA-ET-A40T-01A;TCGA-BJ-A0ZH-01A;TCGA-DJ-A1QH-01A;TCGA-DJ-A2PV-01A;TCGA-DJ-A3UK-01A;TCGA-IM-A3U2-01A;TCGA-KS-A41I-01A;TCGA-DO-A2HM-01B;TCGA-BJ-A0ZB-01A;TCGA-EL-A3CY-01A;TCGA-EM-A2CU-01A;TCGA-DJ-A13L-01A;TCGA-DJ-A2Q1-01A;TCGA-FE-A234-01A;TCGA-DJ-A1QF-01A;TCGA-DJ-A3UM-01A;TCGA-EL-A3CS-01A;TCGA-EL-A3GP-01A;TCGA-E8-A44K-01A;TCGA-ET-A2MY-01A;TCGA-BJ-A4O8-01A;TCGA-DJ-A3US-01A;TCGA-EL-A3T8-01A;TCGA-DJ-A3V0-01A;TCGA-DJ-A2PX-01A;TCGA-FY-A3TY-01A;TCGA-EL-A4JV-01A;TCGA-MK-A4N9-01A;TCGA-BJ-A0Z3-01A;TCGA-IM-A41Y-01A;TCGA-IM-A3U2-01A;TCGA-EL-A3CZ-01A;TCGA-BJ-A3PR-01A;TCGA-DO-A1K0-01A;TCGA-EL-A4JV-01A;TCGA-DJ-A13X-01A;TCGA-DJ-A3VB-01A;TCGA-EL-A3H2-01A;TCGA-ET-A40P-01A;TCGA-BJ-A192-01A;TCGA-DE-A69J-01A;TCGA-DJ-A1QQ-01A;TCGA-FY-A40K-01A;TCGA-E8-A434-01A;TCGA-FY-A3I5-01B;TCGA-IM-A3U2-01A;TCGA-BJ-A3EZ-01A;TCGA-FY-A3BL-01A;TCGA-DJ-A3V3-01A;TCGA-EL-A4K2-01A;TCGA-ET-A39K-01A;TCGA-EM-A1YE-01A;TCGA-DJ-A2PS-01A;TCGA-DJ-A3UM-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
8.499845887083206;9.324180546618742;9.252665432450248;9.403012023574997;9.590587049915037;9.4797802640291;9.689997971419446;9.296916206879288;9.24555270625568;9.276124405274238;8.087462841250339;10.373952655370193;9.216745858195306;10.430452551665532;9.93810932621924;9.714245517666123;9.457380879072534;9.407267764244732;9.67595703294175;9.355351096424812;8.918863237274595;10.03342300153745;9.29232163280204;9.019590728357882;9.35974956032233;9.618385502258606;9.252665432450248;9.372865060112588;9.60177078840771;8.906890595608518;8.88264304936184;8.64745842645492;10.31741261376487;8.546894459887637;9.276124405274238;8.539158811108031;10.643856189774723;8.499845887083206;8.88264304936184;9.18239435340453;9.703903573444665;9.7515440590891;9.052568050804153;10.06204613772049;9.807354922057604;9.134426320220928;9.257387842692651;9.620219825507489;9.684748620421626;9.276124405274238;9.72451385311995;8.971543553950772;9.38586240064146;9.638435913990472;8.948367231584678;9.084808387804362;8.839203788096944;9.355351096424812;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.669300319623042;15.901244032467376;15.776690046152304;15.023234556845988;15.565042560010466;15.321716747126032;15.886625400039287;15.641317970887572;15.458566818342678;15.890739269630966;12.950191349972702;15.862274119944503;15.730417064730672;14.951922128761304;15.319989580523782;15.557134582161952;15.083188432071074;16.396270289737803;16.129725740454873;16.432639764406176;15.002243659930013;12.964160339100337;14.553269295151956;15.282147283945672;15.277287400130357;15.92687506945469;15.776690046152304;15.32027170818185;15.283124535732409;14.552128706066148;15.033035775930308;15.191599044300682;16.164023036671388;15.241610812468506;15.890739269630966;15.50003268805555;14.78386790330306;15.669300319623042;15.033035775930308;16.049806016540554;16.04298454910378;16.421834726302933;14.801607326314375;15.791442729595753;16.520986918540384;16.37807466823829;15.490600213019594;15.56955897112606;15.585490734707978;15.890739269630966;15.802011414277494;14.906185982631929;15.581818444783185;15.61649141050838;15.214622686302336;15.559138055642384;15.59840149706873;16.432639764406176;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.582024340280569;13.43840202279677;13.12573632939501;12.729195859132094;13.124444460008585;12.90444646450572;13.831307243802051;13.59210659921748;13.415213598765286;12.859534786382651;11.160501747555688;13.791671650079806;13.4655664048094;13.20197072837312;12.74965996169181;12.947454306767218;12.205793249397155;13.63696441133012;14.22204015786482;13.608716854020573;13.230470832204706;13.29476432206594;12.545688495560212;12.925183519434208;13.003166506665169;13.203806802487808;13.12573632939501;12.766528908598865;13.311322594732095;12.862443642212297;12.689779629377275;12.692179576312538;13.495730134445342;12.185494924210866;12.859534786382651;13.256356135514164;12.877859256130328;13.582024340280569;12.689779629377275;13.44475608969503;13.185804615108458;13.230470832204706;12.208539206738363;13.100990784092762;13.973697366305352;13.641148597411233;13.290594888082572;13.108687796154612;12.867471806961992;12.859534786382651;13.597470650974085;13.044564882812626;12.832494484336111;12.715533063526584;11.921097088106793;11.507299124122763;13.271463027904376;13.608716854020573;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
11.3151495622563;11.471675214392045;11.243173983472952;11.57601187420678;11.24852060493843;10.987974524296153;11.549303368513575;11.36194377373524;11.632995197142955;10.89633240390994;8.67595703294175;12.029632328044135;10.93147623388679;12.541096615349524;10.163649676015824;11.7402023887679;10.749869427396844;11.713816080234498;12.396069557639867;12.049848549450562;10.52258153125483;8.826548487290914;8.800899899920305;10.386940245324311;11.491352073563435;11.721953612801386;11.243173983472952;11.014717929860009;11.664891669286089;9.98584193700334;9.192292814470768;12.017156386383112;13.02911464546904;10.459431618637296;10.89633240390994;9.403012023574997;12.370414968879698;11.3151495622563;9.192292814470768;11.314016703901355;12.020632761657708;11.823367240046236;10.689124404913258;8.948367231584678;12.129605011152504;10.964340867792416;11.835260918627489;10.96289600533726;11.046441948007311;10.89633240390994;10.720244258287568;10.909143047339898;11.359200485133632;9.312882955284357;11.398743691938192;9.095397022792556;11.3409627642517;12.049848549450562;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.324180546618742;11.265615046484458;12.053925881531104;12.042343379793692;12.499596781489752;12.345405246717796;12.24852060493843;11.236014191900084;11.460455896309636;12.842743180731658;11.28886607416582;12.192601049711952;11.844313461203296;12.367687756270046;12.531381460516313;12.438012087651131;12.436711542137214;12.464290473850768;11.511258495502268;12.283088353024002;11.321364432039449;11.479275030250204;11.83289001416474;11.549303368513575;11.895953892812168;11.734709620225836;12.053925881531104;12.44785810495403;11.98299357469431;11.348174867535556;11.53818893205242;11.3701424794954;12.044052531801302;11.51422090935813;12.842743180731658;10.469641817239516;12.49859992877026;11.324180546618742;11.53818893205242;11.26209484537018;13.455969302758032;11.400345796534694;12.558420713268664;11.910642730469624;12.481799431665753;11.649705265471413;11.63662462054365;12.014717929860009;12.197830998012195;12.842743180731658;12.069449767427784;11.099347810403192;11.962173031109709;11.543515216152167;12.232720707964871;11.488844346457336;11.11178773580101;12.283088353024002;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
11.505811553919594;11.527477006060396;11.709514660706716;13.054434738760843;11.16804526822409;11.032734528586714;10.86727873970966;12.770044400296824;11.836444911341369;11.66622400280318;10.610102062999664;12.112765281885316;10.77561028075954;12.9683067944308;12.659772961881613;11.638888382252262;11.942147920394849;11.202736043250168;10.32755264408124;10.786269627648466;12.81478271506211;12.635491406251711;10.620219825507489;11.702605602110248;11.0;12.95492329203032;11.709514660706716;12.439830883981392;13.058668250340572;13.958008883656944;11.98655314975666;12.45249865769279;10.977279923499916;13.067938476436064;11.66622400280318;11.768597882194374;11.705200378063116;11.505811553919594;11.98655314975666;11.907266248531066;13.778487861222372;10.929258408636972;14.598168841844732;9.741466986401146;11.554109152574004;11.167418145831736;11.690871009292314;10.878050912728536;12.687375683437468;11.66622400280318;10.658211482751796;10.61194694181998;10.945443836377912;14.47281774209204;13.928240764845391;11.01262453886506;11.926666629347284;10.786269627648466;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
14.096962170162609;13.738408975813828;13.651163836621162;12.945626722229823;13.247334178028728;13.498973829262413;14.299637328029158;13.817283487123344;13.313591652572708;13.698921662339812;10.75905593916017;13.966685687403618;14.332945641023104;13.6476832678862;13.939211882666395;13.658769347899648;12.733439082899434;14.644250622776038;14.898884759593454;14.16451415352772;13.733862719678545;13.019416982944184;13.215684662824996;13.862443642212297;13.339432495996776;13.521109643651332;13.651163836621162;13.262535340526282;13.738514532429267;12.943613701614042;13.27539705711621;13.081483438093674;13.956194629090778;13.171489577065657;13.698921662339812;13.79603960882977;13.206251272060689;14.096962170162609;13.27539705711621;14.074977662301151;14.021413793008133;13.479401355283418;12.049848549450562;13.605595262378865;14.75206698310109;14.111380229360744;13.199365616857982;13.286413369370344;13.12605911607068;13.698921662339812;14.38808457365656;13.584962500721156;13.31174831500496;13.157031074378354;12.798471801101618;12.521845775161932;13.594791118089264;14.16451415352772;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
11.861862340059153;12.415477707697994;12.067098185748383;12.089119397915168;12.169925001442312;12.784430367484626;12.66266837551754;12.248817059278505;12.274669342073851;12.469133019829592;11.221587121264806;11.782179193831208;12.570092874188056;11.868050853745158;12.4797802640291;11.959639764364184;11.307770031890705;12.299494239009364;12.843724806299154;12.668220198888896;11.845097960972977;11.86727873970966;12.19567978549598;12.28828934218097;11.824163209744158;12.374496145691516;12.067098185748383;12.31174831500496;12.153552031708111;11.526988205432009;12.311180660053354;11.691307330191115;12.357277074642807;11.91139198784346;12.469133019829592;11.933321820732946;12.167731741103244;11.861862340059153;12.311180660053354;12.221285017810471;12.876900591040306;11.97656412341533;12.323054760341646;11.714245517666123;12.586136091480489;11.953468962228849;11.570804437724496;12.4186432493759;12.404609397837712;12.469133019829592;12.2428763671664;12.015415052386688;12.456867738380344;12.340128273700588;12.4207497582968;12.262975701227942;11.57459352733761;12.668220198888896;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.355351096424812;12.244066464194818;12.275542556086725;12.011926066306808;11.12023787734196;12.646783691837792;13.102959885910124;12.647008638441648;12.156715144224702;12.555787402083771;10.50481898763284;12.834471049984222;12.98370619265935;12.447083226209651;11.8649599151426;12.605016447911364;11.715961990255144;13.28439035916582;13.11699367754698;12.386940245324311;12.616089313582115;12.27262978497637;11.96686590038754;12.584727667963922;12.322773176454564;12.306916113522542;12.275542556086725;12.205793249397155;12.65798827627794;12.017156386383112;11.79685079526716;11.98903963696239;12.606173844717032;12.130892269806624;12.555787402083771;12.493355121494906;11.956013078088098;12.355351096424812;11.79685079526716;12.203653885529596;13.404476350847172;12.264149339723328;11.352595231134304;12.974414589805528;12.99453022688921;12.923884546385334;11.807757403589267;12.170863950411928;11.56081046872794;12.555787402083771;12.969386521342283;12.45917543555203;11.115693952197011;12.039261794341057;12.07112712494831;11.29978040285854;12.518161355756956;12.386940245324311;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
14.74824527214868;15.14386148186786;15.116059618317449;14.061202407045007;15.002331575532777;15.52399068248441;15.449116395930568;14.85062637846155;14.624681241788936;15.544330579630682;13.813881374894097;14.665058278279544;15.317483276955974;14.272338184158624;15.890857993352068;14.923095313185328;14.176406929058992;15.823889644691326;15.944780680751023;15.738382585453175;13.78340754217352;14.458086149644087;15.0013202225009;15.300888751952558;15.194179722532551;14.83836682949531;15.116059618317449;14.348451537407128;15.003166506665169;13.463907474412858;14.925739864337649;14.571752643503546;15.055367177786795;14.295051425557611;15.544330579630682;14.593449483061192;14.93004427839366;14.74824527214868;14.925739864337649;15.15509491542532;16.064490169977503;13.809567182259656;14.423575544918128;13.745989380245254;15.923164968778726;15.95585420221719;14.111217194549756;14.800849356187369;13.052568050804153;15.544330579630682;15.505532463666098;14.501588422932391;14.932860645317168;14.4360608294651;14.932491598812405;13.005799963509968;15.009260033118233;15.738382585453175;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
