TCGA-FE-A230-01A;TCGA-DJ-A2Q5-01A;TCGA-E3-A3E1-01A;TCGA-DJ-A3VA-01A;TCGA-CE-A485-01A;TCGA-EM-A3SU-01A;TCGA-EL-A3H5-01A;TCGA-IM-A3U2-01A;TCGA-EM-A3OB-01A;TCGA-DJ-A2PO-01A;TCGA-EM-A3FO-01A;TCGA-DJ-A13L-01A;TCGA-EM-A3FP-01A;TCGA-EL-A4K0-01A;TCGA-EL-A3GO-01A;TCGA-FE-A238-01A;TCGA-BJ-A3F0-01A;TCGA-BJ-A45D-01A;TCGA-EL-A3TA-01A;TCGA-E3-A3E1-01A;TCGA-EM-A3OB-01A;TCGA-BJ-A2NA-01A;TCGA-EM-A3ST-01A;TCGA-BJ-A45K-01A;TCGA-EL-A4JW-01A;TCGA-FE-A230-01A;TCGA-J8-A3O0-01A;TCGA-FE-A3PD-01A;TCGA-EM-A4FU-01A;TCGA-J8-A4HY-01A;TCGA-EL-A3D1-01A;TCGA-BJ-A0Z2-01A;TCGA-CE-A27D-01A;TCGA-EM-A1CS-01A;TCGA-EL-A3ZT-01A;TCGA-CE-A27D-01A;TCGA-E8-A437-01A;TCGA-ET-A3BS-01A;TCGA-EM-A2CT-01A;TCGA-KS-A4I3-01A;TCGA-EM-A3FQ-01A;TCGA-ET-A25N-01A;TCGA-BJ-A191-01A;TCGA-DJ-A3UN-01A;TCGA-ET-A40P-01A;TCGA-BJ-A0YZ-01A;TCGA-DJ-A1QI-01A;TCGA-DJ-A1QD-01A;TCGA-EM-A3O3-01A;TCGA-BJ-A28V-01A;TCGA-DJ-A1QI-01A;TCGA-ET-A2N3-01B;TCGA-FY-A40L-01A;TCGA-BJ-A0ZE-01A;TCGA-E8-A417-01A;TCGA-FK-A3SH-01A;TCGA-EM-A3AQ-01A;TCGA-BJ-A45C-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.14974711950468;9.977279923499916;9.569855608330949;9.250298417906333;9.398743691938192;9.247927513443583;8.682994583681683;9.276124405274238;9.620219825507489;9.627533884472792;8.832890014164741;9.714245517666123;9.700439718141093;8.794415866350105;9.335390354693924;10.064742764750257;9.948367231584678;9.839203788096944;9.403012023574997;9.569855608330949;9.620219825507489;9.554588851677638;9.689997971419446;9.92481250360578;9.77313920671969;9.14974711950468;9.688250309133178;9.81698362325538;9.400879436282183;9.29920801838728;9.131856960608792;8.851749041416058;10.439830883981392;9.501837184902296;8.980139577639157;10.439830883981392;8.74819284958946;10.001408194392807;9.700439718141093;8.787902559391432;9.642051692927977;8.566054038171092;9.129283016944967;9.417852514885896;9.052568050804153;10.263269200372662;9.121533517340032;9.72451385311995;9.46352437327118;10.01262453886506;9.121533517340032;9.523561956057012;9.250298417906333;8.76487159073609;9.403012023574997;9.517669388133813;9.216745858195306;9.03342300153745;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
14.99081307915361;15.616433974951278;16.073367546425324;15.829004181238506;15.161446847518008;14.312244829933343;13.785758957209914;15.890739269630966;15.006238406011713;15.1070944478413;15.868123218254537;15.557134582161952;14.98326084768255;15.469482837323667;15.68310427347766;16.712970251548665;15.825083002597047;14.530406337099068;15.023234556845988;16.073367546425324;15.006238406011713;15.950555897047511;14.756712675508098;15.71523810240944;15.823317477355756;14.99081307915361;16.04052518444031;15.359097510267178;15.123313124568744;15.01105249980062;15.00145217832723;15.485829308701904;15.661889412539288;15.968644295904015;15.489095315413504;15.661889412539288;14.611774084614964;15.964228040007171;15.399211156255298;14.88802971456407;16.08006801072894;16.05061392748543;15.910150818761426;16.009806752886217;14.801607326314375;16.02282291845969;16.177302734763582;16.235546825367912;14.30078152956897;16.68217164427149;16.177302734763582;15.377956091723872;15.452466483046752;14.879296060392983;15.509063623850938;15.924998023446696;14.930968283319016;15.148158772937894;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.049338071751931;13.613098794209224;13.192755142640369;13.488969836392693;13.303067213842914;12.061033601681112;12.794821973331224;12.859534786382651;13.124121311829189;13.37218489648635;12.700222950799256;12.947454306767218;11.823367240046236;13.424428764037762;13.8649599151426;13.269418929741096;12.409390936137704;11.569380959522295;12.729195859132094;13.192755142640369;13.124121311829189;13.230320715661112;12.584257887744569;13.440090524950488;12.959096342281969;13.049338071751931;13.24555270625568;13.102959885910124;12.801304186049023;12.41574176829009;11.703903573444665;12.880157456601813;13.543031820255235;13.781052288362956;12.920538949583786;13.543031820255235;12.3297963382207;13.393122273589531;13.456226055746944;12.590353130978018;13.055621374781708;13.14210705730255;12.857980995127573;13.185959435631318;12.208539206738363;12.828533210455618;13.424297532397077;14.044479503612074;12.35974956032233;14.111217194549756;13.424297532397077;13.232870575002964;13.66777683839343;11.535761377986656;13.343463343667905;12.850577547205614;12.649929757036618;12.77540451950398;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
10.842350343413807;12.85972889267839;10.915879378835774;11.117643101389092;10.122827994807666;10.417852514885896;10.0566377151132;10.89633240390994;8.434628227636725;11.33427328530719;11.602234901341063;11.7402023887679;11.268542000300124;11.943247395901553;11.627533884472792;11.274960472140602;6.78135971352466;9.192292814470768;11.57601187420678;10.915879378835774;8.434628227636725;11.377210530388552;11.06339508128851;9.497851836951115;9.353146825498085;10.842350343413807;10.812979471251484;9.980139577639155;10.3151495622563;10.778077129535358;10.365228849251544;10.183635381473218;12.08381170725288;12.728345714710976;10.98584193700334;12.08381170725288;11.006326078524934;12.79766152585376;7.515699838284043;9.826548487290914;11.594791118089264;10.222794902868111;10.1006623390052;11.314583244274194;10.689124404913258;9.92035285541508;12.396069557639867;10.85096815098244;9.703903573444665;9.236014191900084;12.396069557639867;7.066089190457772;9.603626344986193;8.89178370321831;10.732167425663384;11.613329054371054;11.193525360501216;8.199672344836364;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
10.97656412341533;11.95383268214528;12.099347810403192;12.608947814565514;11.644757592516257;12.354524889449351;11.223398414711628;12.842743180731658;12.174613647235942;11.615169813843602;12.347898144596012;12.438012087651131;11.794821973331224;11.616089313582115;10.863411958941638;12.111461739857722;12.044735626056909;13.366868586167094;12.042343379793692;12.099347810403192;12.174613647235942;12.140829770773;12.379919817646538;11.507794640198696;12.189515729800194;10.97656412341533;12.809366207816078;12.362491806046062;12.585432051592962;11.616089313582115;13.588714635582264;10.924070185585345;12.47395936569476;11.436711542137214;12.252961036393684;12.47395936569476;11.552188759557149;11.499845887083206;11.665780028329484;11.654636028527968;12.305206759008724;11.256208688527389;11.569380959522295;11.749869427396844;12.558420713268664;11.958552715431011;11.72749506902543;12.059006395201113;11.889503963411476;11.4655664048094;11.72749506902543;11.43514933836693;12.490850876740298;11.389631339260522;12.058668250340572;12.775198728897983;11.689997971419446;10.901621158346112;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
10.79766152585376;10.675074920385445;12.275542556086725;12.557942286787448;12.289442575688332;12.379649117760035;12.049848549450562;11.66622400280318;14.679590056827315;10.530406337099068;13.435930651703597;11.638888382252262;11.863024710236886;11.836444911341369;11.167418145831736;9.057991722759176;10.634811050171718;12.48733761520718;13.054434738760843;12.275542556086725;14.679590056827315;11.31174831500496;10.287712379549449;11.652396861477678;12.753843508311638;10.79766152585376;13.81488282921786;11.217351905270334;12.599680430581166;13.783305219747794;12.743992861060176;12.307770031890705;12.392049039364183;10.357552004618084;12.443720600656578;12.392049039364183;10.526499239136566;12.241387363998935;14.320165916775409;10.43567026093655;11.83880998570856;12.786678033890652;10.247927513443583;11.882260929099804;14.598168841844732;11.131213905086272;10.022367813028454;13.376668061857668;10.992938336165814;13.250298417906333;10.022367813028454;13.607792641919213;11.76445696361989;10.449148645375436;10.468624042918018;12.437231901039478;11.813380386924727;13.002990771840553;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.339710847346453;13.772314573921651;14.318260343712415;14.18541749109806;13.652620934638165;12.6142497276894;12.7300455028792;13.698921662339812;13.715104009236168;13.813781191217036;13.436190995481416;13.658769347899648;13.141787841671004;13.598866694990017;13.84891630031937;14.172740017049366;13.473705749619416;12.042343379793692;12.945626722229823;14.318260343712415;13.715104009236168;14.160659307217385;13.035830072835015;13.18719740206222;13.634924465135096;13.339710847346453;13.215684662824996;13.91186007617724;12.91904952367693;13.1705510353167;11.877284133523196;12.363313464373478;13.867182196393744;13.556865246766623;13.275251543470327;13.867182196393744;12.46735081448758;13.807354922057604;14.33427328530719;13.304066063127284;13.553509304309202;14.051293922803923;13.106562940444883;12.91026795581084;12.049848549450562;12.928148216169037;14.183325224524612;14.724034154016316;12.759680167210965;13.693160223256983;14.183325224524612;12.511258495502268;13.783816759320182;12.922770209274663;13.959096342281969;13.509651311178072;13.398743691938192;12.703471046071948;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
11.260919533662904;11.961811408087163;12.440090524950488;12.0744760007345;11.993292241488549;11.957827560833744;11.474212937193943;12.469133019829592;12.33371442609397;12.08115052127187;11.988329649231089;11.959639764364184;12.231821178657404;11.553149275598548;12.268249571994492;12.059006395201113;13.1526017440192;12.922955991908475;12.089119397915168;12.440090524950488;12.33371442609397;12.423641195075856;11.64250302878052;12.571989597604578;12.104926303807776;11.260919533662904;12.625708843064466;12.127994320976391;12.593157658103;12.287712379549449;12.938476938666351;11.932952892194717;12.852139328187244;11.970465440779996;11.959639764364184;12.852139328187244;11.992230264965889;11.777255315191924;12.183945471757246;11.853309555403674;11.720244258287568;11.947636937951827;12.14338321398982;12.273795599214264;12.323054760341646;12.02410078025291;11.706496018061188;12.527232626447567;11.394462694610317;12.866506212226202;11.706496018061188;12.37531099747307;12.244066464194818;11.502831804066744;12.404609397837712;12.800899899920305;12.279320387942608;12.838613044196972;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.342908033791574;12.330916878114618;12.949279579076595;12.587308728333545;12.203348002979762;12.429668265133094;11.627989784315703;12.555787402083771;13.02167404285837;12.500592945893834;12.594091290260412;12.605016447911364;12.212800334429431;12.456611099574918;12.47015043527436;12.622280655215585;11.888362741170644;12.4070021479242;12.011926066306808;12.949279579076595;13.02167404285837;12.929628283024565;11.681238411777803;12.461990950585571;12.060695931687556;12.342908033791574;12.461735221604863;12.158925203806964;12.7901448269498;11.62935662007961;11.567005370247031;12.096056239180946;12.922584402713664;12.140190703191836;12.203348002979762;12.922584402713664;11.639792893279312;12.645883554519004;12.521600439723729;12.148158772937894;12.851749041416058;12.399277924508969;12.135067945777816;11.87305954766147;11.352595231134304;12.451211111832327;12.374496145691516;13.405673332281866;11.822969090453288;13.07347215397646;12.374496145691516;12.32108251801004;12.185804615108458;11.466586337719244;12.570330101030798;12.505315356136236;12.052568050804153;12.01576348736988;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
14.786678033890652;14.973024645289282;15.446954039279555;15.323793656665552;15.174379576489766;13.379242972670063;13.935901682267588;15.544330579630682;14.89585924951887;14.93004427839366;16.421045739591204;14.923095313185328;15.647374101883326;15.36584396901679;14.58084739859277;15.153710352151716;14.520495913671905;15.423181581223467;14.061202407045007;15.446954039279555;14.89585924951887;15.834767301405412;14.701956178268135;15.339432495996776;16.632682867102677;14.786678033890652;15.678297528706972;15.20724315593674;15.51147471057062;14.339710847346453;15.959436005069898;14.190442018782823;15.259081190132113;15.183945471757246;15.447954935540176;15.259081190132113;14.197370293859828;14.406404332341255;14.68118349694458;14.297919322418709;14.666556894018951;15.67849010630065;14.019938156424796;15.380021317010408;14.423575544918128;14.538310202597684;15.564893753392468;16.04614348731184;14.296844529073244;15.819231084525152;15.564893753392468;14.420683976428656;15.140789837341654;14.060189278463422;14.488028395704406;15.960273498194226;15.297095385815757;14.174691662379445;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
