TCGA-DE-A69K-01A;TCGA-DJ-A3UO-01A;TCGA-BJ-A0ZA-01A;TCGA-DJ-A4UR-01A;TCGA-EL-A3MZ-01A;TCGA-EM-A3SY-01A;TCGA-DJ-A3UQ-01A;TCGA-DJ-A13O-01A;TCGA-EL-A3T6-01A;TCGA-FY-A3TY-01A;TCGA-ET-A2N0-01A;TCGA-ET-A3BO-01A;TCGA-DE-A4M9-01A;TCGA-EL-A3CN-01A;TCGA-DJ-A2PU-01A;TCGA-EM-A1CW-01A;TCGA-EM-A1YE-01A;TCGA-EM-A2CQ-01A;TCGA-FE-A231-01A;TCGA-FK-A3SG-01A;TCGA-DE-A69K-01A;TCGA-J8-A3YE-01A;TCGA-EL-A3GW-01A;TCGA-EM-A3AN-01A;TCGA-L6-A4EP-01A;TCGA-DJ-A3UW-01A;TCGA-BJ-A45J-01A;TCGA-DJ-A3UM-01A;TCGA-E8-A2JQ-01A;TCGA-EM-A2CR-01A;TCGA-EL-A3ZR-01A;TCGA-ET-A39J-01A;TCGA-BJ-A3PT-01A;TCGA-EM-A1YA-01A;TCGA-BJ-A0ZE-01A;TCGA-FE-A3PD-01A;TCGA-DJ-A3UY-01A;TCGA-DE-A0Y2-01A;TCGA-EM-A2OV-01A;TCGA-EM-A2CJ-01A;TCGA-EL-A3GU-01A;TCGA-BJ-A45K-01A;TCGA-EL-A4JV-01A;TCGA-ET-A25L-01A;TCGA-IM-A41Z-01A;TCGA-ET-A39M-01A;TCGA-BJ-A3EZ-01A;TCGA-DJ-A3UW-01A;TCGA-EM-A22Q-01A;TCGA-J8-A3YH-01A;TCGA-EL-A3D1-01A;TCGA-BJ-A0ZC-01A;TCGA-DJ-A2Q4-01A;TCGA-FE-A22Z-01A;TCGA-FE-A233-01A;TCGA-ET-A2MY-01A;TCGA-DJ-A3UU-01A;TCGA-FE-A233-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
8.927777962082342;9.310612781659527;9.550746785383245;8.262094845370179;9.264442600226602;9.90839262077375;9.64745842645492;10.193525360501216;9.729620743553038;8.906890595608518;9.20945336562895;9.535275376620802;9.25974326369078;9.337621901992508;9.25974326369078;9.792790294301064;9.084808387804362;9.614709844115207;9.442943495848729;9.060695931687556;8.927777962082342;9.85642552862553;9.972979786066292;9.355351096424812;8.483815777264256;9.544964432789238;9.233619676759702;9.355351096424812;9.972979786066292;7.971543553950772;9.084808387804362;9.707359132080883;9.651051691178928;10.514714054138487;8.76487159073609;9.81698362325538;9.501837184902296;9.283088353024002;9.977279923499916;9.445014845868425;8.912889336229961;9.92481250360578;8.88264304936184;8.366322214245816;8.744833837499545;9.481799431665753;9.72451385311995;9.544964432789238;7.392317422778761;9.197216693110052;9.131856960608792;9.147204924942228;9.579315937580017;9.084808387804362;10.36194377373524;9.019590728357882;9.129283016944967;10.36194377373524;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.782409588823722;15.900182837097066;15.725259734837234;14.253995173480227;15.913310185608784;16.558719649272074;15.724087461793989;16.17303293221105;16.195314529209234;14.552128706066148;14.50481898763284;15.318578114063255;16.115714269413132;15.714808960376228;15.716417585219132;14.860844497351476;15.559138055642384;15.6698815883177;16.09300483515016;16.111441362665214;15.782409588823722;15.007596731612578;15.76523429173774;16.121634690228767;14.876468983831543;15.115653316906378;15.563226069807248;16.432639764406176;15.237172607976506;13.07045641594465;14.702605602110248;16.213996512452066;14.374767814092824;15.440252776830604;14.879296060392983;15.359097510267178;15.580140772436168;15.839966474465504;15.933621505718348;15.56379210712418;15.596218880023589;15.71523810240944;15.033035775930308;14.189747357807576;13.724620431263602;14.27394125977685;15.802011414277494;15.115653316906378;12.59362454970607;15.94370526351176;15.00145217832723;15.889884170302828;16.9288537499167;15.118089410763382;16.81535827660657;15.282147283945672;16.120906087019364;16.81535827660657;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.123313124568744;12.90444646450572;13.029632328044135;11.564149489985732;13.523071826940395;12.424953571261042;13.405939193342396;13.295768934420508;13.313308215432134;12.862443642212297;11.564149489985732;13.43280285635187;13.174925682500678;13.27262978497637;13.336088084088423;13.14863546054867;11.507299124122763;13.819480586461143;14.16317792440416;13.117967703717133;13.123313124568744;13.303209948944776;13.329375911278811;13.330216642678412;11.693486957499324;12.744623639343583;12.889313822384397;13.608716854020573;12.56057167123656;12.09901899101923;12.7054163988827;13.251926157496388;12.01017840402054;13.351629433241762;11.535761377986656;13.102959885910124;13.453270634010623;13.443461612227392;13.358101707440849;12.557942286787448;13.544722997755471;13.440090524950488;12.689779629377275;12.046441948007311;11.71896091198421;11.746094383705463;13.597470650974085;12.744623639343583;10.473705749619416;13.006501407569434;11.703903573444665;13.5090326863065;14.045333068328068;12.696967526234287;14.50884704710649;12.925183519434208;13.18084156556666;14.50884704710649;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
9.59245703726808;11.735132884139947;7.515699838284043;9.076815597050832;10.070120944476823;10.717676423066395;11.406736482691723;11.603626344986193;9.831307243802051;9.98584193700334;10.510764167917891;11.513727595952435;9.870364719583405;10.878050912728536;12.266493756312183;8.710806433699352;9.095397022792556;8.813781191217037;10.843921051289035;11.135067945777816;9.59245703726808;10.194756854422248;10.73809225962049;11.575066464578656;11.488342277532524;11.581671358578143;11.228217442293436;12.049848549450562;10.85096815098244;10.545929769085468;9.398743691938192;11.286557761607956;9.266786540694902;9.60177078840771;8.89178370321831;9.980139577639155;10.250298417906333;9.372865060112588;7.888743248898259;8.479780264029099;9.828136484194108;9.497851836951115;9.192292814470768;9.625708843064466;7.149747119504682;11.159240650411672;10.720244258287568;11.581671358578143;10.038918989292302;11.7988767681333;10.365228849251544;8.388017285345136;11.556026992724677;9.939579214314692;11.137631598235428;10.386940245324311;11.939946452458686;11.137631598235428;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.567005370247031;12.123798091251857;11.594324603924848;11.815383295813538;12.695445810537382;11.231821178657404;12.26473580113014;13.23511671439625;12.7515440590891;11.348174867535556;12.892353075734109;11.740624044489412;11.285980105928212;12.155766938445652;11.660887270302569;11.683871868622605;11.488844346457336;11.080151309614088;12.187352073200495;12.6373041221062;11.567005370247031;12.005975356500382;12.277578002415735;11.99435343685886;11.954559846999834;12.308339030139408;12.280770770130603;12.283088353024002;11.947271652460348;12.220982851081777;11.876133200043016;11.965423565810127;12.157031074378354;12.235715094761895;11.389631339260522;12.362491806046062;11.950555897047511;11.817783121774534;10.855647166027266;11.56081046872794;11.978352958165145;11.507794640198696;11.53818893205242;11.002815015607052;10.823367240046236;12.85350450102128;12.069449767427784;12.308339030139408;10.094077685671904;12.206098613995795;13.588714635582264;10.7431513941125;12.581906689308768;11.3292357417338;12.450438032395652;11.549303368513575;11.190442018782823;12.450438032395652;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
10.709945380232496;10.480790201095816;12.608023750456493;10.187352073200495;12.93755773185546;11.78953364497036;13.009478745888066;14.594907723063336;14.03849036840294;13.958008883656944;13.228518097716194;12.661555442467758;12.282509306240836;11.330356716957944;12.66200071871848;14.137551553014395;11.01262453886506;12.554109152574004;10.457380879072534;14.126785122145328;10.709945380232496;11.806549621985962;11.591989767615123;11.060695931687556;10.758223214726724;13.055960234452296;11.166163082646111;10.786269627648466;11.963618617443972;12.8668925276766;12.056299014550335;12.010877723007034;14.395199395666168;11.066089190457772;10.449148645375436;11.217351905270334;12.708868340211673;12.71488943423155;11.131213905086272;13.599680430581166;13.053077387099254;11.652396861477678;11.98655314975666;11.214926187942435;12.65284497300198;11.067434360756522;10.658211482751796;13.055960234452296;10.806549621985962;12.066425600635556;12.743992861060176;10.91139198784346;11.86611979330307;11.30435132166324;10.73893668167614;11.702605602110248;13.035486451292154;10.73893668167614;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.945809584900822;13.494855584491198;13.81518313000803;12.199672344836364;14.02436054588832;13.389765762278635;13.86785786397283;13.8357543670165;14.01576348736988;12.943613701614042;12.197523878257789;13.833087738422009;12.821773981970567;13.80332391904149;13.866602800787206;13.52833200886121;12.521845775161932;14.19391031528667;14.799939266063406;14.130972685349182;13.945809584900822;13.759992179981;13.44759985827995;13.997796940840429;12.393658591454772;13.113904915786051;13.419433550705378;14.16451415352772;13.14863546054867;11.272046524389935;13.272338184158624;14.14194745831562;12.457380879072534;13.343602137745732;12.922770209274663;13.91186007617724;13.86611979330307;14.425084743242849;13.421144386530184;12.398476501449256;13.704011685029329;13.18719740206222;13.27539705711621;11.838416075797335;12.556984957594462;11.495355392235982;14.38808457365656;13.113904915786051;9.668884984266247;13.38275910405649;11.877284133523196;13.351215321855609;14.653404916746982;13.218714581067502;15.242950776999097;13.862443642212297;13.51582301395463;15.242950776999097;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
11.856036399819155;12.48255589154897;12.054604317960672;11.81418188419028;12.404343291585755;11.159871336778387;12.14051027236822;13.050698944430026;11.992584344005802;11.526988205432009;12.4186432493759;12.16679075071818;11.669328004395904;11.834866038362016;12.188897873242189;12.434106928609957;12.262975701227942;12.38505348834615;12.860699032611988;12.49160260669611;11.856036399819155;11.42940674151398;12.268542000300124;12.29232163280204;11.483311954999351;11.93147623388679;12.230020435705637;12.668220198888896;11.480285320936373;11.858758099935422;12.27786854617684;12.329516067206534;12.2103669456326;12.47015043527436;11.502831804066744;12.127994320976391;12.390975006155534;12.076147528022505;11.81977993183848;12.53818893205242;11.937005926516589;12.571989597604578;12.311180660053354;11.029287226968243;11.16804526822409;11.975847968006784;12.2428763671664;11.93147623388679;10.582141981658776;12.426526848451733;12.938476938666351;11.90275194485016;12.306061689428342;11.88340698638837;13.201511344500146;12.28828934218097;11.668441828052998;13.201511344500146;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.49909844122888;12.236911111444602;12.30149619498255;10.727069558023706;12.622280655215585;11.99081307915361;12.568668693380506;13.24852060493843;12.71639078949768;12.017156386383112;11.663113308455806;12.800293258223418;12.35974956032233;12.875941288497554;12.713171684314805;12.141468555393084;11.29978040285854;12.83368074865474;13.5302844003166;12.596888567027964;12.49909844122888;11.95492329203032;12.360024019571876;11.779719355143405;11.519636252843211;12.044735626056909;12.101647450030766;12.386940245324311;12.257387842692651;11.129283016944967;12.323899182397296;12.653516879421431;11.59245703726808;12.160186576600662;11.466586337719244;12.158925203806964;12.387748100711294;12.731319031025064;12.818382455041156;12.164906926675688;12.47269083924278;12.461990950585571;11.79685079526716;11.139551352398794;10.583082767502932;11.140190703191836;12.969386521342283;12.044735626056909;9.46352437327118;12.083146870816742;11.567005370247031;11.519636252843211;13.405673332281866;12.032045726930807;13.64374347482167;12.584727667963922;12.415213598765286;13.64374347482167;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
15.255840005118136;15.71201642131727;14.90341116123855;13.64543327516426;15.636681257899273;11.897845456005513;14.793095228611756;15.59248623659696;15.895456946241431;13.463907474412858;14.029718590416186;15.064490169977503;13.942331224510577;15.443429235404473;14.69854189867169;14.21515377227958;13.005799963509968;14.828731532683008;15.002946834789464;15.126583490436024;15.255840005118136;13.996296936687374;15.780642286217136;15.047166524169052;14.675019770438348;14.696424240578878;15.719121392717154;15.738382585453175;14.469387440964349;15.409589823398669;14.940221819733114;15.603973996309024;14.015327930490416;13.170394552314118;14.060189278463422;15.20724315593674;15.025615420854908;16.432297211295985;12.304921669581672;14.374360292304637;15.030149824925717;15.339432495996776;14.925739864337649;14.264955662710037;13.060527067048644;14.061539958530144;15.505532463666098;14.696424240578878;13.673750739438065;14.950783692200732;15.959436005069898;12.644532294625444;16.123454590025503;15.607012377167775;16.71205673676569;15.300888751952558;14.293830840932827;16.71205673676569;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
