TCGA-DJ-A3UK-01A;TCGA-DJ-A1QE-01A;TCGA-H2-A2K9-01A;TCGA-MK-A4N6-01A;TCGA-KS-A41I-01A;TCGA-BJ-A45C-01A;TCGA-E8-A432-01A;TCGA-DJ-A13S-01A;TCGA-EM-A3O8-01A;TCGA-CE-A3MD-01A;TCGA-ET-A3DR-01A;TCGA-EM-A2CL-01A;TCGA-DE-A2OL-01A;TCGA-EL-A3TA-01A;TCGA-EM-A1CV-01A;TCGA-ET-A2N4-01A;TCGA-EM-A2P0-01A;TCGA-ET-A3BW-01A;TCGA-EL-A3ZG-01A;TCGA-EL-A3MY-01A;TCGA-ET-A25L-01A;TCGA-DJ-A4UL-01A;TCGA-DJ-A2Q5-01A;TCGA-CE-A484-01A;TCGA-EM-A22I-01A;TCGA-FE-A239-01A;TCGA-BJ-A2N7-01A;TCGA-ET-A3DR-01A;TCGA-EL-A4KG-01A;TCGA-ET-A39P-01A;TCGA-FE-A23A-01A;TCGA-EL-A3H7-01A;TCGA-IM-A41Y-01A;TCGA-E8-A417-01A;TCGA-EL-A3CR-01A;TCGA-DJ-A2PP-01A;TCGA-DJ-A3UY-01A;TCGA-EL-A3ZQ-01A;TCGA-EM-A3SY-01A;TCGA-DJ-A1QL-01A;TCGA-DJ-A1QL-01A;TCGA-DJ-A13W-01A;TCGA-E8-A44K-01A;TCGA-DE-A4M8-01A;TCGA-EL-A4KD-01A;TCGA-ET-A39T-01A;TCGA-EL-A3CY-01A;TCGA-FY-A40M-01A;TCGA-E3-A3E1-01A;TCGA-E3-A3E5-01A;TCGA-ET-A3BQ-01B;TCGA-FY-A40K-01A;TCGA-DJ-A3VB-01A;TCGA-EL-A4KG-01A;TCGA-IM-A420-01A;TCGA-ET-A39T-01A;TCGA-EM-A3SU-01A;TCGA-DJ-A4UW-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.24555270625568;9.469641817239516;10.86418614465428;9.409390936137704;8.087462841250339;9.03342300153745;9.847057346091336;9.731319031025064;9.562242424221072;9.543031820255235;8.794415866350105;9.744833837499543;9.818582177480858;9.403012023574997;9.247927513443583;9.60733031374961;9.047123912114026;8.829722735086058;9.38586240064146;9.579315937580017;8.366322214245816;9.052568050804153;9.977279923499916;9.092757140919852;9.189824558880018;10.452241240430816;9.67595703294175;8.794415866350105;9.829722735086058;9.381542951184583;10.314016703901355;9.861086905995396;8.546894459887637;9.403012023574997;9.807354922057604;9.702172685365548;9.501837184902296;8.76487159073609;9.90839262077375;9.622051819456376;9.622051819456376;8.060695931687555;9.29232163280204;9.4797802640291;9.550746785383245;9.310612781659527;10.430452551665532;9.473705749619416;9.569855608330949;9.296916206879288;9.350939181546432;9.257387842692651;9.703903573444665;9.829722735086058;9.92481250360578;9.310612781659527;9.247927513443583;9.0;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.458566818342678;16.102324323876104;14.40886043602476;16.0783384726701;12.950191349972702;15.148158772937894;13.283811834830894;15.710725731764374;15.72627138647312;14.55608688416836;15.74136164559274;15.726111699158672;16.728186256845007;15.023234556845988;16.141987359717607;14.306560164977428;16.049210424099552;15.655921977648722;15.555697545334288;15.757832709629048;14.189747357807576;15.350421275963123;15.616433974951278;14.489597122389307;15.60130652612184;17.00709298583446;15.481957060187174;15.74136164559274;16.167692545421904;15.100539152817111;15.729461426558686;15.720832077369678;15.241610812468506;15.509063623850938;15.260882789739387;15.749214746064132;15.580140772436168;13.603858121842803;16.558719649272074;15.795456286722825;15.795456286722825;12.964340867792416;14.553269295151956;14.361258440464605;15.26956503283919;15.209681814871868;14.951922128761304;15.913520564269817;16.073367546425324;15.115693952197011;16.500312844171088;15.490600213019594;16.04298454910378;16.167692545421904;15.369801795374306;15.209681814871868;14.312244829933343;15.431954576830764;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.415213598765286;13.849991443179317;15.283594828381457;13.211584153079526;11.160501747555688;12.77540451950398;13.23526633275686;13.199212228410556;13.433324626715926;12.743572188935634;12.706927639617405;13.780642286217136;14.420223419348645;12.729195859132094;13.83703654351734;12.769217996126503;13.507051302247916;13.211432058298838;12.884552133987237;13.118616689351509;12.046441948007311;12.03307880613062;13.613098794209224;12.498849206531723;13.278013796118156;13.350524871954471;13.28424574982967;12.706927639617405;12.93829314415169;13.595956743943162;13.389093521904474;13.401279536596528;12.185494924210866;13.343463343667905;12.719388820942084;13.786065381163962;13.453270634010623;10.487840033823051;12.424953571261042;13.323195531678138;13.323195531678138;11.258566033889933;12.545688495560212;12.581435989454384;12.918117851031772;12.78749449969676;13.20197072837312;13.228968963402728;13.192755142640369;12.766528908598865;13.668331017726826;13.290594888082572;13.185804615108458;12.93829314415169;13.203806802487808;12.78749449969676;12.061033601681112;12.781974367389338;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
11.632995197142955;11.280190792216906;10.281930026955443;11.376668061857668;8.67595703294175;8.199672344836364;11.051208940914766;11.710806433699352;9.068778277985412;11.730894646541673;10.558420713268664;9.154818109052105;9.240791332161956;11.57601187420678;12.011926066306808;11.16804526822409;10.554588851677638;11.37775279502222;10.90613899619538;10.496853777388042;9.625708843064466;12.01854794187165;12.85972889267839;11.559855041513623;10.71338651493703;13.09819661452721;10.67595703294175;10.558420713268664;11.323617763291578;10.798471801101618;11.533816389433364;11.27786854617684;10.459431618637296;10.732167425663384;10.946906274456396;6.7414669864011465;10.250298417906333;11.512740462803498;10.717676423066395;8.90388184573618;8.90388184573618;7.700439718141092;8.800899899920305;11.11309098344238;9.89026427702111;10.417852514885896;12.541096615349524;11.26620091249896;10.915879378835774;11.096715154488535;11.719388820942084;11.835260918627489;12.020632761657708;11.323617763291578;11.140829770773;10.417852514885896;10.417852514885896;11.681677655209691;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.460455896309636;12.06339508128851;13.017156386383112;12.188279751964144;11.28886607416582;10.901621158346112;12.098032082960527;12.08746284125034;11.569380959522295;11.90312867681232;11.062720767165043;12.013322673425447;11.759472121202831;12.042343379793692;11.370687406807216;11.54978466794786;11.64880694972577;10.743992861060176;12.043027283594547;12.353146825498085;11.002815015607052;11.90613899619538;11.95383268214528;11.592924155627635;12.239300174364203;12.191676146352428;11.61654884377899;11.062720767165043;13.166006122950492;12.070120944476823;12.567005370247031;12.502583213553354;11.51422090935813;12.058668250340572;12.203959703239462;11.55026580686874;11.950555897047511;12.17648484729189;11.231821178657404;11.52943055414615;11.52943055414615;8.622051819456376;11.83289001416474;11.405141463136344;12.292609222764296;11.381002109550924;12.367687756270046;12.639114563179414;12.099347810403192;11.641600215834355;12.14274527675153;11.63662462054365;13.455969302758032;13.166006122950492;12.434628227636724;11.381002109550924;12.354524889449351;11.386940245324311;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
11.836444911341369;11.692179576312538;14.021413793008133;13.029804847630697;10.610102062999664;13.002990771840553;11.103943429891558;13.805542364358724;15.340023928434375;11.41256984680521;11.688250309133178;13.627077840517394;13.111950706153165;13.054434738760843;10.545929769085468;12.226412192788786;12.23212108408222;8.581200581924957;11.745254141957256;12.882260929099804;11.214926187942435;12.41758884038258;10.675074920385445;12.192292814470768;11.471675214392045;13.122504484313904;14.565102078360312;11.688250309133178;12.51298730941902;10.390168956200185;12.107217075591382;11.733439082899434;13.067938476436064;10.468624042918018;12.688031702413934;13.263269200372662;12.708868340211673;10.401946123976536;11.78953364497036;11.593857938858225;11.593857938858225;10.029287226968243;10.620219825507489;12.698921662339812;13.75905593916017;10.151016538892248;12.9683067944308;11.068106475858771;12.275542556086725;12.203959703239462;12.51865315567339;11.690871009292314;13.778487861222372;12.51298730941902;12.51939054134796;10.151016538892248;12.379649117760035;13.287423811683524;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.313591652572708;14.183480311333778;14.727707777472686;14.129765981310651;10.75905593916017;12.703471046071948;13.24272753598652;14.066930068864098;14.154976290625738;12.824958740528524;13.26532202423487;13.981745645634575;13.922212717785449;12.945626722229823;14.740149673136546;12.89954574499535;14.214243219443867;13.953378017920128;13.92016673723887;13.639001477148325;11.838416075797335;12.657765035265363;13.772314573921651;11.99506046703272;13.99036992294036;13.23017058349584;13.720564916568025;13.26532202423487;13.860214044191483;13.802516365121225;13.79766152585376;14.079151405421891;13.171489577065657;13.959096342281969;13.3607099393494;14.31599862262856;13.86611979330307;10.876516946565;13.389765762278635;13.148794321424337;13.148794321424337;10.494855584491198;13.215684662824996;12.374496145691516;13.632200042185133;13.780642286217136;13.6476832678862;13.327131562682846;14.318260343712415;12.63390340934852;14.00474715754676;13.199365616857982;14.021413793008133;13.860214044191483;13.668663423175296;13.780642286217136;12.6142497276894;13.130087867755735;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.274669342073851;12.347621368568134;12.939762845071751;12.099676554859643;11.221587121264806;12.838613044196972;12.7710767402628;12.59245703726808;12.491853096329674;12.180219982170192;11.355901638328415;12.597587039586216;13.09687983630378;12.089119397915168;12.139871063212489;12.738514532429267;11.900866807980748;11.860311054919482;12.147840893672337;12.024793384702548;11.029287226968243;12.054604317960672;11.961811408087163;12.014717929860009;12.1270270430046;12.085472459181284;12.71037597120447;11.355901638328415;12.659326997414103;12.519144787997414;12.626393504173995;12.470658874060552;11.91139198784346;12.404609397837712;12.274669342073851;12.153235338689411;12.390975006155534;11.958915156091347;11.159871336778387;12.82992089387229;12.82992089387229;11.57459352733761;12.19567978549598;11.548340287676147;12.39687231851056;11.963979787815338;11.868050853745158;12.219168520462162;12.440090524950488;12.2404932238768;12.47826403158172;11.570804437724496;12.876900591040306;12.659326997414103;12.25915476886684;11.963979787815338;11.957827560833744;12.037203741151972;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.156715144224702;13.087297080919154;13.204876767603992;13.265761535294136;10.50481898763284;12.01576348736988;11.348728154231075;12.803727526553114;12.272921326867005;11.997885127829113;11.210671343785622;12.63254087654689;13.098854553218755;12.011926066306808;12.714030814928783;12.032734528586714;12.610794169053182;12.455840909126398;12.053586543639174;12.749240939022329;11.139551352398794;11.913263430628762;12.330916878114618;12.031701202740305;12.534059656450363;12.025831668332026;13.004396051426534;11.210671343785622;12.775816012673026;12.199058823653022;13.089119397915168;12.940497134458203;12.130892269806624;12.570330101030798;12.079484783826816;12.448374459662794;12.387748100711294;10.52258153125483;11.99081307915361;12.484822894262146;12.484822894262146;10.553629293916364;11.96686590038754;11.554109152574004;12.270879295328784;12.258271576282851;12.447083226209651;12.58096513597733;12.949279579076595;11.928888439397635;12.563672959827514;11.807757403589267;13.404476350847172;12.775816012673026;12.638662165859657;12.258271576282851;12.429668265133094;12.458662932867815;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
14.624681241788936;16.04174469790549;17.05802344207748;14.774992908933177;13.813881374894097;14.174691662379445;16.264534231910133;15.326359260771332;14.702713811001422;15.00899753401982;14.11561268047117;15.326429487122304;16.02156561112606;14.061202407045007;15.648413760629282;15.48787142917784;14.946860595698787;14.878673620892048;13.833977162388804;16.159634861699445;14.264955662710037;14.083063744716007;14.973024645289282;14.71789058398728;15.92842584438906;12.981567281903017;14.75410457760912;14.11561268047117;16.230545884619385;14.78759652544136;15.593682900533835;16.030559378350752;14.295051425557611;14.488028395704406;14.831406217838442;14.938614769188014;15.025615420854908;14.593799595109722;11.897845456005513;15.349523132292148;15.349523132292148;14.078234217386388;15.0013202225009;14.127430154309826;14.900112062977456;14.080900783230064;14.272338184158624;15.046314043841186;15.446954039279555;14.685186796595348;15.555487857818244;14.111217194549756;16.064490169977503;16.230545884619385;15.484508245716508;14.080900783230064;13.379242972670063;14.493855449240822;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
