TCGA-ET-A3DW-01A;TCGA-EL-A3GS-01A;TCGA-EM-A2CP-01A;TCGA-FY-A4B0-01A;TCGA-EM-A2CU-01A;TCGA-H2-A2K9-01A;TCGA-DJ-A2PZ-01A;TCGA-DJ-A2Q9-01A;TCGA-FE-A22Z-01A;TCGA-EM-A1CS-01A;TCGA-EM-A2CK-01A;TCGA-EM-A22K-01A;TCGA-MK-A4N6-01A;TCGA-EM-A4FV-01A;TCGA-DE-A4MC-01A;TCGA-ET-A25L-01A;TCGA-FE-A233-01A;TCGA-DJ-A2QC-01A;TCGA-DJ-A2PP-01A;TCGA-EL-A3CS-01A;TCGA-ET-A3BW-01A;TCGA-EM-A4FN-01A;TCGA-CE-A481-01A;TCGA-EM-A2P3-01A;TCGA-CE-A482-01A;TCGA-EM-A3FK-01A;TCGA-EL-A4K0-01A;TCGA-BJ-A3PU-01A;TCGA-ET-A3DU-01A;TCGA-L6-A4EQ-01A;TCGA-DJ-A1QF-01A;TCGA-H2-A3RH-01A;TCGA-EL-A3GY-01A;TCGA-DO-A1JZ-01A;TCGA-DJ-A3V7-01A;TCGA-ET-A3BW-01A;TCGA-EL-A3GW-01A;TCGA-L6-A4ET-01A;TCGA-ET-A39L-01A;TCGA-H2-A26U-01A;TCGA-KS-A4ID-01A;TCGA-IM-A3ED-01A;TCGA-ET-A39J-01A;TCGA-EL-A4K0-01A;TCGA-FE-A237-01A;TCGA-EL-A4JW-01A;TCGA-EM-A4FN-01A;TCGA-EL-A3ZK-01A;TCGA-DJ-A2PT-01A;TCGA-DJ-A3V8-01A;TCGA-DJ-A3US-01A;TCGA-DJ-A1QE-01A;TCGA-EL-A3GW-01A;TCGA-FE-A231-01A;TCGA-KS-A4I7-01A;TCGA-FY-A4B0-01A;TCGA-FY-A2QD-01A;TCGA-BJ-A18Z-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.169925001442312;9.709083812550343;10.236014191900084;10.490850876740298;9.93810932621924;10.86418614465428;8.632995197142957;10.897845456005513;9.084808387804362;9.501837184902296;8.103287808412022;9.192292814470768;9.409390936137704;9.46352437327118;9.192292814470768;8.366322214245816;10.36194377373524;9.344295907915816;9.702172685365548;8.918863237274595;8.829722735086058;9.038918989292302;9.936637939002573;9.24555270625568;9.51175265376738;8.894817763307943;8.794415866350105;9.076815597050832;9.779719355143405;8.784634845557521;9.67595703294175;9.688250309133178;9.914385132155443;9.157346935362844;9.533329732305834;8.829722735086058;9.972979786066292;8.951284714966972;9.324180546618742;10.124121311829189;9.51175265376738;9.60917873814198;9.707359132080883;8.794415866350105;9.426264754702098;9.77313920671969;9.038918989292302;9.447083226209651;9.91737207947684;9.381542951184583;9.618385502258606;9.469641817239516;9.972979786066292;9.442943495848729;8.459431618637296;10.490850876740298;9.283088353024002;8.810571634741146;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.787009778853712;16.212401387923876;14.977861249676913;15.49775829819264;15.319989580523782;14.40886043602476;14.989616244829245;15.271280636844716;15.118089410763382;15.968644295904015;14.102795896703824;15.05379863917489;16.0783384726701;15.322456328874184;15.833433690679843;14.189747357807576;16.81535827660657;14.864331258235824;15.749214746064132;15.002243659930013;15.655921977648722;15.19610259833154;15.145136088281756;15.675019770438348;15.662557120839184;16.606867837374153;15.469482837323667;15.329375911278811;15.104885364094075;14.99942752817247;16.129725740454873;15.95183108688825;15.998105571719966;15.71821176577204;15.018026265843226;15.655921977648722;15.76523429173774;15.494636864142386;15.901244032467376;15.456258146657955;14.648189033024032;16.381492255893566;16.213996512452066;15.469482837323667;15.679397626013944;15.823317477355756;15.19610259833154;15.227916724201489;15.124484848442146;15.973921536954045;15.92687506945469;16.102324323876104;15.76523429173774;16.09300483515016;14.502396742554078;15.49775829819264;16.41007035444761;14.835705029771797;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.235715094761895;13.635604767744788;12.857203471508166;13.198138052401116;12.74965996169181;15.283594828381457;12.837627933171404;13.47395936569476;12.696967526234287;13.781052288362956;12.02271457304476;13.197677446307418;13.211584153079526;12.760719947465624;13.71681946132995;12.046441948007311;14.50884704710649;12.12347479824414;13.786065381163962;13.230470832204706;13.211432058298838;12.079151405421891;13.225056771699682;13.410583848637842;13.237658118679688;13.37978447405238;13.424428764037762;11.97513145692134;12.4993476328766;12.461479447286155;14.22204015786482;13.235415935602528;13.766942940755785;13.210823518780844;12.982458880127355;13.211432058298838;13.329375911278811;12.318260343712415;13.43840202279677;13.947271652460348;12.144976824050111;13.70983771240597;13.251926157496388;13.424428764037762;13.450309145537936;12.959096342281969;12.079151405421891;13.136029849385553;12.433846208442825;13.11829223302699;13.203806802487808;13.849991443179317;13.329375911278811;14.16317792440416;11.91214085629572;13.198138052401116;13.074643240639736;12.319107575824985;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
11.52552080909507;10.287712379549449;10.660887270302569;6.894817763307944;10.163649676015824;10.281930026955443;11.037546953962178;11.49235394515987;9.939579214314692;12.728345714710976;8.599912842187127;9.691743519171276;11.376668061857668;11.094077685671904;10.181152256865566;9.625708843064466;11.137631598235428;10.762382038710392;6.7414669864011465;10.52258153125483;11.37775279502222;11.62113611327464;10.501837184902296;12.0911047583765;10.632995197142955;10.846273911349906;11.943247395901553;10.807354922057604;10.573647187493322;11.868822554775;12.396069557639867;11.474212937193943;11.661332752795186;10.134426320220928;11.308339030139408;11.37775279502222;10.73809225962049;11.671541066711884;11.471675214392045;11.27262978497637;10.35974956032233;11.534789211480266;11.286557761607956;11.943247395901553;11.082814337672271;9.353146825498085;11.62113611327464;9.842350343413807;10.346513733165636;11.274378153246364;11.721953612801386;11.280190792216906;10.73809225962049;10.843921051289035;10.916625922211235;6.894817763307944;10.866506212226202;10.94178124227853;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.89026427702111;12.247334178028728;11.194756854422248;11.653740778706569;12.531381460516313;13.017156386383112;11.681677655209691;11.792383614935188;11.3292357417338;11.436711542137214;10.090112419664289;11.36796070964157;12.188279751964144;11.687375683437468;12.463013413449692;11.002815015607052;12.450438032395652;11.88760142450871;11.55026580686874;11.321364432039449;10.743992861060176;12.389900172773064;12.353422543614716;11.817783121774534;11.979782430703086;12.321928094887362;11.616089313582115;12.95746484680521;12.14338321398982;11.686062749895417;11.511258495502268;12.728558297786716;12.053586543639174;12.154501693864765;12.39901083295199;10.743992861060176;12.277578002415735;11.788310503700918;11.265615046484458;12.754678763822527;12.086136225027309;11.929998062609029;11.965423565810127;11.616089313582115;11.93110683302934;12.189515729800194;12.389900172773064;12.659772961881613;12.83605035505807;12.536975665610642;11.734709620225836;12.06339508128851;12.277578002415735;12.187352073200495;11.51668494930961;11.653740778706569;10.43254190038826;11.492854620174748;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
11.095397022792556;10.3151495622563;14.030494719749468;11.092096414990792;12.659772961881613;14.021413793008133;10.240791332161956;12.039947160169094;11.30435132166324;10.357552004618084;10.38586240064146;11.981210488271694;13.029804847630697;11.71037597120447;11.491352073563435;11.214926187942435;10.73893668167614;11.971184272404678;13.263269200372662;12.81478271506211;8.581200581924957;11.295768934420508;11.144020869266893;11.203348002979762;9.915879378835774;11.08746284125034;11.836444911341369;10.886458695703706;12.51101135288224;12.808763116450413;10.32755264408124;12.83110927535702;13.71091402925751;10.113742166049189;11.916625922211235;8.581200581924957;11.591989767615123;11.484319423644267;11.527477006060396;11.88683970588442;11.26620091249896;12.2103669456326;12.010877723007034;11.836444911341369;11.812979471251484;12.753843508311638;11.295768934420508;13.637417341257986;12.250002267840449;13.09490241275141;12.95492329203032;11.692179576312538;11.591989767615123;10.457380879072534;10.874212934830874;11.092096414990792;13.589768167648067;10.597121428789569;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.944437549570695;14.321153001682084;13.153393693888615;13.191830338095308;13.939211882666395;14.727707777472686;13.428229298205096;13.664669494027176;13.218714581067502;13.556865246766623;12.534789211480266;12.714030814928783;14.129765981310651;13.158451904538389;14.191599044300682;11.838416075797335;15.242950776999097;12.406205005418856;14.31599862262856;13.733862719678545;13.953378017920128;13.066930068864098;13.905951035144904;13.715640307164684;14.095232171619331;14.477631797450522;13.598866694990017;13.33622758948339;13.082315394198206;13.080651001949818;14.898884759593454;13.984151400205205;14.435344706373307;13.933229597442672;13.76704643023188;13.953378017920128;13.44759985827995;13.226863716982413;13.738408975813828;13.889979206371562;12.703471046071948;14.204876767603992;14.14194745831562;13.598866694990017;13.97271060143245;13.634924465135096;13.066930068864098;13.783612165256038;13.307770031890705;13.93488871535719;13.521109643651332;14.183480311333778;13.44759985827995;14.799939266063406;12.015415052386688;13.191830338095308;13.56617298899285;13.106890045092218;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.227916724201489;11.953468962228849;11.637530551525307;11.600377553107844;12.4797802640291;12.939762845071751;11.885696373339394;11.673309075561695;11.88340698638837;11.970465440779996;11.174301544467632;12.232720707964871;12.099676554859643;11.81698362325538;12.45763738099176;11.029287226968243;13.201511344500146;12.706496018061188;12.153235338689411;11.845097960972977;11.860311054919482;12.144976824050111;12.212800334429431;11.732167425663384;12.221587121264806;11.921097088106793;11.553149275598548;12.404077136241234;11.712097051087548;11.838416075797335;12.843724806299154;12.161131882984307;12.484319423644267;11.890644283619087;12.69522829149575;11.860311054919482;12.268542000300124;12.202429966015352;12.415477707697994;12.146568675740786;11.862637357558794;10.94251450533924;12.329516067206534;11.553149275598548;12.182083929510725;12.104926303807776;12.144976824050111;12.133463346523438;12.04507705193494;12.439311461818846;12.374496145691516;12.347621368568134;12.268542000300124;12.860699032611988;11.34207466799914;11.600377553107844;11.73047013718422;11.433585441150496;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.85972889267839;12.840187824040482;12.728133100306216;11.936637939002573;11.8649599151426;13.204876767603992;12.404343291585755;12.68255574108031;12.032045726930807;12.140190703191836;11.393390457443989;11.946906274456396;13.265761535294136;11.759888183221834;12.30149619498255;11.139551352398794;13.64374347482167;11.4542992936199;12.448374459662794;12.616089313582115;12.455840909126398;11.92072501975118;11.965062756744627;12.57459352733761;12.17804232886482;12.996650019175894;12.456611099574918;12.41758884038258;12.096385734452651;11.622509454683335;13.11699367754698;12.490600213019594;13.007728114632254;11.491352073563435;12.322209843748894;12.455840909126398;12.360024019571876;11.676838606474153;12.244066464194818;12.62662165235837;11.720244258287568;12.918117851031772;12.653516879421431;12.456611099574918;12.596655667674662;12.060695931687556;11.92072501975118;12.01227534485612;12.346790721750702;12.648132845652658;12.306916113522542;13.087297080919154;12.360024019571876;13.5302844003166;10.970105890612182;11.936637939002573;12.357552004618084;11.950555897047511;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
15.620735308982333;16.21663219602046;12.648582283363735;13.669992279616398;15.890857993352068;17.05802344207748;14.501588422932391;15.156912608678123;15.607012377167775;15.183945471757246;13.694684350366172;15.266164302842398;14.774992908933177;14.773654362961867;15.39094142973054;14.264955662710037;16.71205673676569;14.60177078840771;14.938614769188014;13.78340754217352;14.878673620892048;14.509775004326936;15.583552930466483;14.748559767508354;15.544934255619529;16.640513269719055;15.36584396901679;14.900772486445565;14.594791118089264;14.042257869018638;15.944780680751023;16.33497155502746;15.584169786920691;15.82766523001824;14.924070185585345;14.878673620892048;15.780642286217136;14.431889303895977;15.14386148186786;15.132218553419296;14.307983432533188;15.378565810000564;15.603973996309024;15.36584396901679;15.073890508348216;16.632682867102677;14.509775004326936;15.234143816653166;15.002990771840553;15.470277561770532;14.83836682949531;16.04174469790549;15.780642286217136;15.002946834789464;14.471992673968831;13.669992279616398;14.249557928724707;14.963934646463285;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
