TCGA-EM-A3O8-01A;TCGA-EL-A3GR-01A;TCGA-DJ-A1QE-01A;TCGA-DJ-A4V2-01A;TCGA-FY-A3BL-01A;TCGA-E3-A3E2-01A;TCGA-H2-A3RH-01A;TCGA-BJ-A28V-01A;TCGA-DJ-A3VD-01A;TCGA-ET-A40S-01A;TCGA-ET-A3BS-01A;TCGA-ET-A39J-01A;TCGA-EL-A3T7-01A;TCGA-EL-A3GV-01A;TCGA-BJ-A45I-01A;TCGA-L6-A4ET-01A;TCGA-DJ-A3VJ-01A;TCGA-ET-A39L-01A;TCGA-DJ-A3UQ-01A;TCGA-EM-A2OW-01A;TCGA-DJ-A3UN-01A;TCGA-FY-A40M-01A;TCGA-FK-A3S3-01A;TCGA-FE-A239-01A;TCGA-FY-A3R9-01A;TCGA-DJ-A3V4-01A;TCGA-DJ-A3VJ-01A;TCGA-EL-A3N3-01A;TCGA-EL-A3CX-01A;TCGA-DJ-A1QE-01A;TCGA-ET-A3BN-01A;TCGA-FY-A3R6-01A;TCGA-EL-A4JV-01A;TCGA-EM-A3AJ-01A;TCGA-EL-A3CT-01A;TCGA-DJ-A1QH-01A;TCGA-FY-A3WA-01A;TCGA-DJ-A4UT-01A;TCGA-DJ-A3V6-01A;TCGA-FY-A3I4-01A;TCGA-J8-A3YE-01A;TCGA-DJ-A4UP-01A;TCGA-DJ-A3VG-01A;TCGA-EM-A3AN-01A;TCGA-GE-A2C6-01A;TCGA-DJ-A4UR-01A;TCGA-DJ-A3VA-01A;TCGA-L6-A4EU-01A;TCGA-DJ-A4UQ-01A;TCGA-CE-A13K-01A;TCGA-KS-A41F-01A;TCGA-E3-A3E3-01A;TCGA-QD-A8IV-01A;TCGA-DJ-A3VL-01A;TCGA-J8-A3YD-01A;TCGA-DJ-A3UT-01A;TCGA-DO-A2HM-01B;TCGA-FY-A3W9-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.562242424221072;8.618385502258606;9.469641817239516;9.057991722759176;8.971543553950772;9.473705749619416;9.688250309133178;10.01262453886506;9.702172685365548;9.614709844115207;10.001408194392807;9.707359132080883;9.413627929024171;9.174925682500678;9.813781191217036;8.951284714966972;9.659995892429976;9.324180546618742;9.64745842645492;9.992938336165814;9.417852514885896;9.473705749619416;9.271463027904376;10.452241240430816;10.158609688214478;9.13699111208023;9.659995892429976;9.451211111832327;9.78953364497036;9.469641817239516;8.813781191217037;8.92184093707449;8.88264304936184;10.470658874060552;9.20945336562895;9.689997971419446;9.187352073200495;9.618385502258606;8.988684686772165;10.037546953962178;9.85642552862553;9.164906926675688;9.364134655008051;9.355351096424812;10.011227255423254;8.262094845370179;9.250298417906333;9.696967526234287;9.571752643503546;9.26209484537018;7.592457037268081;9.372865060112588;8.625708843064466;9.084808387804362;9.154818109052105;9.46352437327118;10.373952655370193;9.975847968006784;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
15.72627138647312;15.913380315237864;16.102324323876104;16.024079131005227;14.906185982631929;15.630494661505578;15.95183108688825;16.68217164427149;15.505997584098557;15.385929789530977;15.964228040007171;16.213996512452066;16.450454142443288;15.653488889567406;15.23545333389011;15.494636864142386;16.2927709669283;15.901244032467376;15.724087461793989;14.896285095453251;16.009806752886217;15.913520564269817;15.119711191043644;17.00709298583446;15.097209143550335;15.83590236862802;16.2927709669283;15.558749539465913;14.092922275131777;16.102324323876104;15.762563713822596;14.382083590141969;15.033035775930308;15.633818288737976;15.85511179803766;15.886625400039287;16.66582165674092;14.913497190377948;15.406570417075324;16.209282004953984;15.007596731612578;15.196678961665036;15.312882955284357;16.121634690228767;15.42314874605895;14.253995173480227;15.829004181238506;15.70859895452498;15.605392703729484;14.970779973687456;13.132178380915544;15.71488943423155;14.674357806579732;13.9762060901486;15.65985656487418;15.013279049911516;15.862274119944503;15.933298765463055;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
13.433324626715926;13.439311461818846;13.849991443179317;12.98903963696239;13.044564882812626;12.889503963411476;13.235415935602528;14.111217194549756;13.35851384714966;12.64880694972577;13.393122273589531;13.251926157496388;13.7070355248327;13.36153261284112;12.81678367937856;12.318260343712415;13.299351135796345;13.43840202279677;13.405939193342396;13.024620264759832;13.185959435631318;13.228968963402728;12.871520262329112;13.350524871954471;13.138431806276849;13.405939193342396;13.299351135796345;13.201051814303272;12.772314573921651;13.849991443179317;13.585901449690772;12.225508720236;12.689779629377275;12.959458646412672;13.432672384270308;13.831307243802051;13.77612455554518;12.778487861222372;13.05697633617822;13.513727595952435;13.303209948944776;12.775816012673026;13.12751076305637;13.330216642678412;13.649368462612198;11.564149489985732;13.488969836392693;13.1103201736097;13.080484457067568;12.871905237659186;9.899356922923111;13.111950706153165;12.358925869154714;12.275251543470327;13.027733249752831;12.802516365121225;13.791671650079806;13.588011853215088;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
9.068778277985412;10.112439506781552;11.280190792216906;10.430452551665532;10.909143047339898;12.3066313617125;11.474212937193943;9.236014191900084;11.398743691938192;10.324180546618742;12.79766152585376;11.286557761607956;13.130570562805426;11.531868775177552;10.906890595608518;11.671541066711884;10.874212934830874;11.471675214392045;11.406736482691723;9.14974711950468;11.314583244274194;11.26620091249896;10.98370619265935;13.09819661452721;9.079484783826816;11.746094383705463;10.874212934830874;9.64745842645492;11.55026580686874;11.280190792216906;10.428360172704291;10.188588845707349;9.192292814470768;10.632086412835182;10.651948610723446;11.549303368513575;9.002815015607053;10.091435386323608;9.83289001416474;11.083479327331842;10.194756854422248;11.14274527675153;9.092757140919852;11.575066464578656;11.708221730038352;9.076815597050832;11.117643101389092;10.373952655370193;11.200898605038445;10.303780748177102;10.634811050171718;11.603626344986193;7.721099188707186;10.303780748177102;10.12670447284319;10.287712379549449;12.029632328044135;6.569855608330948;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
11.569380959522295;11.446566409066069;12.06339508128851;12.296916206879288;11.099347810403192;11.750288267591651;12.728558297786716;11.4655664048094;11.928148216169037;11.952741247186488;11.499845887083206;11.965423565810127;12.736190500960928;11.4797802640291;12.213408040858337;11.788310503700918;13.0418302391015;11.265615046484458;12.26473580113014;11.145932145820517;11.749869427396844;12.639114563179414;12.141468555393084;12.191676146352428;11.181773438808808;11.965423565810127;13.0418302391015;11.961811408087163;12.917931444281608;12.06339508128851;11.461479447286155;11.632995197142955;11.53818893205242;12.011227255423254;11.086136225027309;12.24852060493843;11.820178962415188;11.617008227651963;11.7714894695006;12.490600213019594;12.005975356500382;11.944346034137832;11.553629293916364;11.99435343685886;11.9901039638575;11.815383295813538;12.608947814565514;13.068946179648783;11.723234300893376;11.635264656539514;11.389093521904474;11.63026712502677;11.233619676759702;11.683871868622605;11.63254087654689;11.788718332690458;12.192601049711952;11.745254141957256;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
15.340023928434375;12.68934284613419;11.692179576312538;12.588011853215088;10.61194694181998;11.225809940623543;12.83110927535702;13.250298417906333;12.570567288872004;12.372865060112588;12.241387363998935;12.010877723007034;12.016111838220512;11.970824901362615;11.007027266893967;11.484319423644267;12.645883554519004;11.527477006060396;13.009478745888066;10.841564347730577;11.882260929099804;11.068106475858771;13.124444460008585;13.122504484313904;14.953423490791105;13.11064642757782;12.645883554519004;10.977279923499916;12.803122072935404;11.692179576312538;13.90444646450572;12.762382038710392;11.98655314975666;11.706927639617405;13.846371863961608;10.86727873970966;13.335948565202298;12.38316426063511;11.111135670234708;14.52582663977073;11.806549621985962;13.37381675079274;12.122180901259751;11.060695931687556;13.0;10.187352073200495;12.557942286787448;12.98992663055989;12.689561254285524;10.77561028075954;10.321928094887362;12.181462881270017;13.04011845076483;13.13747150335196;12.39473062943157;12.485074563698612;12.112765281885316;12.686062749895417;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
14.154976290625738;13.915225836337218;14.183480311333778;13.971902746045467;13.584962500721156;13.33734314727405;13.984151400205205;13.693160223256983;13.587191507529832;13.106399360305144;13.807354922057604;14.14194745831562;14.118535582110958;14.08131698928577;13.4248223873518;13.226863716982413;13.987885729402086;13.738408975813828;13.86785786397283;13.14561377551339;12.91026795581084;13.327131562682846;13.714567511873662;13.23017058349584;13.605595262378865;13.891878614243698;13.987885729402086;13.7918751044647;12.725153203912992;14.183480311333778;14.323195531678138;12.99717948093762;13.27539705711621;12.799888688663591;14.264809092046404;14.299637328029158;12.855647166027266;13.442813937675153;13.694140204076431;14.070037064419768;13.759992179981;13.408462432884376;13.4651837439944;13.997796940840429;13.093087390444218;12.199672344836364;14.18541749109806;13.636171441635922;13.668220198888896;13.873636356508053;10.263269200372662;13.847057346091336;11.80332391904149;12.674412981837063;13.149905858025049;13.20197072837312;13.966685687403618;13.168358727223886;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.491853096329674;11.557942286787448;12.347621368568134;12.020632761657708;12.015415052386688;11.624795455860236;12.161131882984307;12.866506212226202;11.830119025444516;11.459431618637296;11.777255315191924;12.329516067206534;12.562242424221072;12.053586543639174;12.154501693864765;12.202429966015352;12.06339508128851;12.415477707697994;12.14051027236822;11.858758099935422;12.273795599214264;12.219168520462162;12.713601313573754;12.085472459181284;11.933321820732946;12.35397382181817;12.06339508128851;11.813781191217036;12.213408040858337;12.347621368568134;12.272046524389935;11.465056167831175;12.311180660053354;11.881113960675096;12.223700075986306;12.66266837551754;11.961811408087163;11.89822347121556;12.156715144224702;12.80231440599149;11.42940674151398;12.254733389246674;12.439571196276454;12.29232163280204;12.212496385193948;11.81418188419028;12.0744760007345;12.543273538449805;11.978710459106358;12.337900602860929;11.499845887083206;12.127349541059118;11.303209948944776;11.989394499844732;12.29318423075951;12.351767443959892;11.782179193831208;12.66644593881483;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.272921326867005;12.447083226209651;13.087297080919154;12.621365094314864;12.45917543555203;12.267371931265274;12.490600213019594;13.07347215397646;12.636398048883835;12.155766938445652;12.645883554519004;12.653516879421431;12.502334580197996;12.64565843240871;12.295481973695368;11.676838606474153;12.06406908038551;12.244066464194818;12.568668693380506;11.7300455028792;11.87305954766147;12.58096513597733;12.458919206967591;12.025831668332026;11.689561254285524;12.724300673209568;12.06406908038551;12.622280655215585;11.87536540064177;13.087297080919154;12.763004829585975;11.111135670234708;11.79685079526716;12.26238852375102;13.628103736769528;13.102959885910124;11.852139328187244;11.72749506902543;12.283956487665112;13.00842862207058;11.95492329203032;12.136350341454156;12.738725622493424;11.779719355143405;13.225358086454513;10.727069558023706;12.587308728333545;12.894249362864231;11.934796592178404;11.29978040285854;9.89026427702111;12.455584087578613;11.344295907915816;12.226713224618962;12.20304205556246;11.975847968006784;12.834471049984222;12.55026580686874;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
14.702713811001422;15.876397036741476;16.04174469790549;15.74236207285876;14.501588422932391;14.27721474041183;16.33497155502746;15.819231084525152;15.139950979846818;14.783561012206205;14.406404332341255;15.603973996309024;15.683981491740386;15.203959703239462;15.314583244274194;14.431889303895977;15.337273450177928;15.14386148186786;14.793095228611756;13.705092355522472;15.380021317010408;15.046314043841186;15.42305023608127;12.981567281903017;14.38720958071964;14.618786959806712;15.337273450177928;15.547557310825503;14.437361961444426;16.04174469790549;16.376074503254586;14.392049039364183;14.925739864337649;13.900961123349717;15.333819228687942;15.449116395930568;14.864766511423444;15.418050239143165;15.260662306543717;16.162312645599027;13.996296936687374;14.7132791036247;14.749293323512116;15.047166524169052;15.235079307381511;13.64543327516426;15.323793656665552;14.698216307372432;14.54393805473774;16.03583007283502;14.13065099628137;15.166163082646111;14.142585748356288;13.883311516379342;14.862588931160628;14.494543116698312;14.665058278279544;15.595053466028928;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
