gene
WNT16
DVL2
E2F2
BRCA1
IGF1
BAK1
FLT4
PIK3CB
LRP6
FGF10
FGF22
NOTCH3
WNT8B
NFKB2
FGFR1
ARAF
FGF20
TCF7
PGR
GSK3B
NCOA1
WNT11
BAX
DLL3
ESR1
GADD45B
MAPK1
SOS2
JAG1
E2F1
FGF9
MAPK3
AXIN1
FZD3
AKT2
PIK3R2
CDK6
WNT2
DVL1
FGF8
WNT3
RPS6KB1
CCND1
WNT5B
FZD10
E2F3
FGF1
CSNK1A1
WNT5A
HES1
APC2
WNT6
SOS1
GADD45A
AKT3
PIK3R3
TNFSF11
PIK3CA
POLK
NCOA3
CDKN1A
WNT1
MAP2K2
DLL4
SHC2
GADD45G
RAF1
KRAS
WNT2B
NOTCH2
DDB2
APC
CDK4
HEY2
WNT10A
MYC
FGF5
FGF2
LEF1
EGF
BRCA2
RB1
ESR2
FGF7
IGF1R
TP53
ERBB2
AKT1
WNT9A
PIK3R1
EGFR
SHC3
NOTCH1
TCF7L2
TCF7L1
WNT3A
WNT7A
FZD7
FGF18
FZD1
KIT
BRAF
FGF17
WNT9B
SHC1
DVL3
LRP5
FGF19
WNT4
FZD5
HEYL
HEY1
FZD6
FRAT1
CTNNB1
AXIN2
MAP2K1
WNT10B
FOS
PIK3CD
PTEN
HRAS
FZD4
RPS6KB2
FZD8
JUN
GRB2
CSNK1A1L
FZD2
FRAT2
JAG2
SP1
SHC4
WNT7B
FZD9
FGF16
HES5
DLL1
MTOR
NOTCH4
NRAS
