TCGA-CH-5745-01A;TCGA-KC-A7FD-01A;TCGA-YL-A8SC-01A;TCGA-J9-A8CN-01A;TCGA-CH-5766-01A;TCGA-HC-7736-01A;TCGA-KK-A6E6-01A;TCGA-G9-7525-01A;TCGA-J9-A52E-01A;TCGA-HC-7212-01A;TCGA-CH-5772-01A;TCGA-KK-A6E3-01A;TCGA-EJ-5526-01A;TCGA-EJ-5503-01A;TCGA-KC-A7F3-01A;TCGA-VN-A88K-01A;TCGA-G9-6361-01A;TCGA-G9-A9S7-01A;TCGA-V1-A9OQ-01A;TCGA-EJ-7328-01A;TCGA-HC-7231-01A;TCGA-ZG-A9ND-01A;TCGA-YL-A8SI-01A;TCGA-KK-A8ID-01A;TCGA-ZG-A9MC-01A;TCGA-KK-A6E0-01A;TCGA-G9-6494-01A;TCGA-VN-A88P-01A;TCGA-EJ-7782-01A;TCGA-EJ-A7NN-01A;TCGA-CH-5748-01A;TCGA-HC-7748-01A;TCGA-G9-6361-01A;TCGA-EJ-7325-01B;TCGA-KK-A6E4-01A;TCGA-KK-A8IG-01A;TCGA-KK-A8I8-01A;TCGA-HC-8264-01B;TCGA-HC-7077-01A;TCGA-ZG-A9L0-01A;TCGA-EJ-5503-01A;TCGA-G9-7509-01A;TCGA-HC-7213-01A;TCGA-EJ-A65E-01A;TCGA-QU-A6IM-01A;TCGA-KK-A8I6-01A;TCGA-G9-6371-01A;TCGA-ZG-A8QX-01A;TCGA-EJ-A7NK-01A;TCGA-G9-6362-01A;TCGA-HC-8257-01A;TCGA-EJ-5542-01A;TCGA-CH-5761-11A;TCGA-HC-7752-11A;TCGA-HC-8259-11A;TCGA-CH-5768-11A;TCGA-EJ-7784-11A;TCGA-EJ-7125-11A;TCGA-G9-6348-11A;TCGA-G9-6365-11A;TCGA-EJ-A8FO-11A;TCGA-G9-6384-11A;TCGA-HC-8262-11A;TCGA-EJ-7321-11A;TCGA-HC-7747-11A;TCGA-HC-7819-11A;TCGA-EJ-7793-11A;TCGA-HC-7745-11A;TCGA-CH-5769-11A;TCGA-G9-6342-11A;TCGA-EJ-7315-11A;TCGA-EJ-7330-11A;TCGA-EJ-7792-11A;TCGA-EJ-7314-11A;TCGA-HC-7740-11A;TCGA-EJ-7781-11A;TCGA-HC-7737-11A;TCGA-EJ-7123-11A;TCGA-EJ-7794-11A;TCGA-HC-7211-11A;TCGA-G9-6496-11A;TCGA-EJ-7783-11A;TCGA-HC-7738-11A;TCGA-CH-5767-11B;TCGA-EJ-7782-11A;TCGA-G9-6356-11A;TCGA-EJ-7331-11A;TCGA-HC-8258-11A;TCGA-G9-6499-11A;TCGA-EJ-7786-11A;TCGA-G9-6362-11A;TCGA-EJ-7797-11A;TCGA-G9-6351-11A;TCGA-EJ-7328-11A;TCGA-EJ-7327-11A;TCGA-HC-8260-11A;TCGA-G9-6363-11A;TCGA-J4-A83J-11A;TCGA-EJ-7789-11A;TCGA-EJ-7785-11A;TCGA-G9-6333-11A;TCGA-EJ-7115-11A;TCGA-EJ-7317-11A;TCGA-HC-7742-11A
11.30890780406394;11.208234358339787;11.75446999527562;11.539158811108033;11.255618749839597;11.596655667674662;12.017156386383112;11.52258153125483;11.181773438808808;11.45994384837493;9.834471049984222;12.530650179750014;10.203348002979762;12.107217075591382;11.4189067312579;11.776021715252812;11.956013078088098;12.022020969646356;10.868050853745158;11.3437409184722;11.341518823245243;10.989394499844732;11.122180901259751;11.719388820942084;10.7431513941125;11.875749351420056;11.450180247164754;11.295768934420508;12.003869231979056;11.629811944382231;10.321928094887362;11.653292945382814;11.956013078088098;12.71295682169755;12.632313662586126;11.40992124124968;11.050528905530555;11.837627933171404;12.533816389433364;10.943247395901553;12.107217075591382;11.163020639580791;11.8356556908398;11.834075953434883;12.641374424294511;11.644757592516257;11.604553229079038;11.617926556798752;10.846273911349906;11.405141463136344;11.017504401109417;9.970105890612182;11.29978040285854;12.037890085142507;11.158609688214478;10.24436383512051;11.1767964781476;12.285980105928212;11.68650052718322;11.232420927176076;11.121533517340032;10.800899899920305;10.4655664048094;11.862249900851513;11.96686590038754;11.682116764950074;11.397674632948268;11.325305455089682;11.788310503700918;12.00982861736811;11.096056239180946;11.519144787997414;11.23421867823847;10.901621158346112;10.637530551525307;11.024447124040648;11.04916787237217;11.821773981970567;11.075479149488016;11.172427508645482;11.789126046425231;11.425215903299383;10.623881490013458;11.0566377151132;11.61240779313867;11.510764167917891;11.711666973564348;11.839597483021176;11.998942951443086;11.183015000882756;11.952741247186488;12.292033985499543;11.81658370778757;11.585901449690772;11.747353829478062;11.618844301766652;12.141468555393084;11.31628153174622;11.771902080697716;11.726218159332198;11.760719947465624;11.090112419664289;11.400879436282183;11.52845411076479
13.038918989292302;13.252221912938362;12.523806958187327;11.754052367528924;13.182083929510725;13.708006128896072;11.918863237274596;11.802112418586066;11.592924155627635;13.375582512490508;11.39660478118186;10.600842114387302;13.37531099747307;13.815683492459163;12.229419688230417;12.506803437795648;12.54617100226735;11.887220615468385;10.722807531169549;12.950373635024544;12.81277897162766;11.524051918717824;12.150381968817848;12.535518397768667;12.843921051289035;11.555547771647063;12.54617100226735;11.979425195331473;13.355488751597942;12.7868821936647;12.922212717785449;13.684748620421626;12.54617100226735;11.290594888082572;11.179909090014934;11.97656412341533;12.10000522442272;12.978174174468167;12.987974524296153;11.513727595952435;13.815683492459163;12.461223627613371;13.053586543639174;12.247927513443583;10.45532722030456;12.558898981146704;12.81016993766466;12.349004718027745;12.347898144596012;11.7300455028792;12.585432051592962;13.230020435705637;12.713171684314805;12.37232095486726;12.458150248057557;12.39231742277876;13.485703545284585;11.4757334309664;12.45404219747008;12.29318423075951;12.3701424794954;12.614939847310737;12.918304233699931;13.594907723063336;12.635037871183252;13.323477033150423;13.044052531801302;12.475480126595476;12.735344469539005;12.200898605038445;13.359200485133632;12.732167425663384;12.95383268214528;12.833483105659584;12.084476237453892;13.336367081389795;12.649256177517314;13.981834819231716;13.64227737850386;11.794821973331224;12.231821178657404;12.177108041703692;12.178976011374523;13.49460561567122;11.99929538702341;13.093087390444218;13.189824558880018;12.418116141207488;12.585197295260024;13.407267764244732;12.147204924942228;12.494855584491198;12.700656452918167;13.29246543494927;13.01314817145476;12.682116764950074;12.743782540330756;12.983528071165097;12.69261550169458;12.505315356136236;12.512740462803498;12.652396861477678;12.993999791792524;12.64250302878052
4.906890595608519;6.507794640198696;8.262094845370179;5.285402218862249;6.149747119504682;7.876516946564999;4.954196310386875;6.149747119504682;7.294620748891627;5.954196310386875;4.857980995127572;4.392317422778761;7.066089190457772;6.491853096329675;5.672425341971495;4.700439718141092;3.807354922057604;6.247927513443585;4.0;5.285402218862249;6.066089190457772;5.882643049361842;4.643856189774724;7.03342300153745;6.442943495848728;5.614709844115208;5.20945336562895;3.0;7.499845887083206;6.599912842187128;7.118941072723508;6.169925001442312;3.807354922057604;4.523561956057013;5.857980995127572;4.906890595608519;5.285402218862249;5.857980995127572;7.03342300153745;7.066089190457772;6.491853096329675;4.857980995127572;8.233619676759702;6.807354922057604;5.832890014164741;6.569855608330948;5.754887502163468;5.523561956057013;5.643856189774724;5.20945336562895;5.614709844115208;6.6293566200796095;6.409390936137702;5.672425341971495;4.954196310386875;3.169925001442312;6.066089190457772;4.700439718141092;5.20945336562895;5.643856189774724;5.672425341971495;3.906890595608519;5.614709844115208;5.78135971352466;2.807354922057604;5.129283016944966;4.700439718141092;1.584962500721156;8.787902559391432;5.78135971352466;6.857980995127572;6.189824558880018;5.426264754702098;5.807354922057604;3.700439718141092;5.426264754702098;2.807354922057604;3.584962500721156;6.794415866350106;0.0;4.247927513443585;3.700439718141092;1.0;7.839203788096944;6.0;6.658211482751795;5.392317422778761;0.0;6.022367813028454;4.807354922057604;6.599912842187128;4.807354922057604;3.807354922057604;5.129283016944966;5.285402218862249;3.169925001442312;6.965784284662087;5.977279923499917;6.20945336562895;5.044394119358453;4.087462841250339;5.247927513443585;4.247927513443585;4.247927513443585
7.569855608330948;6.643856189774724;6.20945336562895;10.809768128710411;7.794415866350106;8.842350343413807;7.651051691178928;7.118941072723508;8.076815597050832;7.076815597050831;6.954196310386875;10.181152256865566;9.005624549193879;9.89026427702111;7.665335917185176;6.3750394313469245;8.717676423066395;13.660553068137242;7.813781191217037;8.426264754702098;6.491853096329675;6.569855608330948;8.285402218862249;14.036173612553483;7.189824558880018;5.0;8.854868383260236;7.614709844115208;6.930737337562887;10.215532999745657;8.939579214314692;10.060695931687556;8.717676423066395;7.357552004618084;8.108524456778168;10.067434360756522;7.3750394313469245;8.703903573444663;10.681238411777803;7.339850002884624;9.89026427702111;8.985841937003341;8.098032082960527;7.321928094887363;8.214319120800766;6.20945336562895;8.535275376620802;7.442943495848728;6.954196310386875;7.787902559391432;8.344295907915816;8.7714894695006;7.022367813028454;10.184875342908285;9.843921051289035;6.9886846867721655;8.915879378835774;10.557463701597824;10.1331422124006;8.118941072723507;8.409390936137703;8.326429487122303;7.622051819456376;9.368506461507693;9.231221180711186;8.577428828035748;9.573647187493322;9.517669388133813;6.727920454563199;7.98299357469431;10.947636937951827;10.48683502156305;9.271463027904376;10.181152256865566;8.129283016944967;11.423641195075856;9.019590728357882;11.070120944476823;9.368506461507693;6.78135971352466;9.654636028527968;9.571752643503546;9.485829308701904;9.586839787961829;8.807354922057604;7.546894459887636;10.987264012072538;7.330916878114617;8.581200581924957;10.850186837645774;8.98299357469431;11.635718120331047;8.661778097771988;11.359200485133632;9.558420713268664;8.599912842187127;7.971543553950772;8.539158811108031;9.550746785383245;10.823367240046236;8.022367813028454;8.92184093707449;8.098032082960527;8.179909090014934
7.108524456778169;3.700439718141092;2.321928094887362;2.0;4.857980995127572;5.169925001442312;3.4594316186372973;2.0;5.321928094887363;2.0;2.584962500721156;4.0;4.247927513443585;8.842350343413807;5.643856189774724;3.4594316186372973;3.0;5.285402218862249;1.0;3.906890595608519;2.0;3.0;3.0;3.0;3.807354922057604;1.0;3.169925001442312;4.0;3.0;4.0;4.087462841250339;5.285402218862249;3.0;7.554588851677638;3.906890595608519;4.392317422778761;2.807354922057604;3.584962500721156;1.0;2.321928094887362;8.842350343413807;1.584962500721156;3.4594316186372973;5.087462841250339;3.321928094887362;2.321928094887362;3.4594316186372973;2.807354922057604;7.988684686772165;2.321928094887362;3.4594316186372973;4.954196310386875;4.954196310386875;5.0;5.285402218862249;7.257387842692652;4.643856189774724;4.169925001442312;5.523561956057013;8.60733031374961;6.894817763307944;3.169925001442312;4.906890595608519;4.857980995127572;3.169925001442312;4.700439718141092;4.523561956057013;3.584962500721156;2.321928094887362;4.906890595608519;6.409390936137702;5.700439718141092;6.9886846867721655;6.149747119504682;3.584962500721156;6.539158811108031;4.321928094887363;5.0;6.129283016944966;2.807354922057604;8.076815597050832;3.807354922057604;3.4594316186372973;5.392317422778761;5.554588851677638;5.78135971352466;5.392317422778761;3.0;1.584962500721156;6.643856189774724;3.4594316186372973;6.169925001442312;3.4594316186372973;6.044394119358453;4.169925001442312;4.954196310386875;6.832890014164741;7.599912842187128;6.247927513443585;5.78135971352466;7.924812503605781;5.491853096329675;5.20945336562895;3.169925001442312
11.700873155140265;11.032045726930807;11.97513145692134;11.426264754702098;12.452756029032496;12.20212382383046;11.075479149488016;10.257387842692651;10.186114239541643;12.357552004618084;11.228217442293436;10.7047682393626;12.151016538892248;12.278449458220482;11.77561028075954;11.234817431117325;11.54978466794786;11.115693952197011;10.14338321398982;11.270879295328784;11.948732239819616;11.554109152574004;11.44449728710381;11.866506212226202;11.50382573799575;12.583082767502932;12.005273656563938;11.003517912108602;13.022367813028454;11.919235786028349;12.13859179463752;12.53430288245463;11.54978466794786;10.00982861736811;10.778077129535358;11.306061689428342;10.787086324551616;12.172114932533136;12.537218400538595;11.148476582178278;12.278449458220482;11.462502272597265;12.02894204332241;11.956013078088098;10.584022940257542;11.395534135462302;12.074810461160451;11.98299357469431;10.901621158346112;10.231221180711186;11.700873155140265;12.463013413449692;11.349281228817452;10.977995368612962;12.11829223302699;11.321928094887362;12.260919533662904;11.615169813843602;11.072132604167232;11.541096615349524;10.94104760634058;11.391243589427445;11.355351096424812;12.29117069932186;11.767770648776704;12.153552031708111;12.026869205263395;11.022367813028454;11.616089313582115;11.879583249612784;11.814582465906277;11.35149140932002;11.68255574108031;11.671541066711884;11.171802288682985;11.643405277115674;11.580258567499788;12.330076554797458;11.852139328187244;11.016111838220512;10.880348808156027;10.793603309279408;11.199058823653022;12.146250445885986;11.841171189248543;11.79400964502097;12.118616689351509;11.62067804213541;11.714245517666123;12.042685372219353;10.817783121774534;12.026523442519766;11.562242424221072;11.600842114387302;12.734074491428045;11.849405100947758;12.177108041703692;11.295194955880657;12.122180901259751;11.805743872151618;11.13699111208023;11.665780028329484;12.456354415108288;11.77313920671969
2.0;0.0;1.584962500721156;0.0;2.321928094887362;1.584962500721156;1.0;1.584962500721156;1.0;0.0;0.0;0.0;1.584962500721156;0.0;1.584962500721156;0.0;0.0;1.0;0.0;1.584962500721156;2.321928094887362;0.0;0.0;2.0;2.321928094887362;1.584962500721156;0.0;0.0;2.807354922057604;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.584962500721156;0.0;0.0;1.584962500721156;1.0;0.0;0.0;0.0;1.0;0.0;2.584962500721156;0.0;0.0;1.0;1.584962500721156;0.0;0.0;0.0;0.0;1.584962500721156;4.392317422778761;2.584962500721156;1.0;0.0;1.584962500721156;0.0;1.0;0.0;0.0;1.0;2.0;1.584962500721156;0.0;1.0;0.0;2.584962500721156;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.321928094887362;1.584962500721156;0.0;1.584962500721156;1.584962500721156;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
11.031356596255709;8.59245703726808;8.83605035505807;7.845490050944375;10.700439718141093;11.786269627648466;10.287712379549449;9.20212382383046;7.392317422778761;9.172427508645482;10.225207436943505;9.90388184573618;11.83880998570856;13.170863950411928;11.290594888082572;7.257387842692652;10.066089190457772;10.200898605038445;10.410451351503994;11.422064766172811;10.08746284125034;8.566054038171092;10.286557761607956;11.042343379793692;11.192909219112012;9.513727595952435;9.419960177847887;7.339850002884624;11.189824558880018;10.759888183221834;10.13699111208023;11.27262978497637;10.066089190457772;8.129283016944967;8.164906926675688;9.364134655008051;9.019590728357882;9.98584193700334;8.618385502258606;9.734709620225836;13.170863950411928;11.24198314969433;9.057991722759176;10.524541715035848;10.312882955284357;10.372865060112588;10.251482410620213;8.784634845557521;11.987619311924323;6.491853096329675;10.232420927176076;10.71681946132995;12.578844391558205;11.749450465569916;12.363587246524578;11.643405277115674;12.985130373466898;11.762382038710392;11.922584402713664;12.702389159976336;11.980139577639155;12.242578689451346;12.660664477461278;12.60130652612184;12.619990662606378;12.63594479878872;12.233020426474496;12.615399743725495;10.377210530388552;12.044052531801302;12.259449046285685;12.118616689351509;12.62844554013718;12.078484417411447;11.929258408636972;12.602698865017963;12.954014507722544;13.333155350310616;13.065752701816972;11.28886607416582;12.014369242235135;11.985486199104637;12.332036548361652;13.652284811845306;12.2836671674915;12.60408986146918;11.916999049082808;12.566291930007871;11.855647166027266;12.02997734658958;8.661778097771988;12.12023787734196;12.202429966015352;12.14974711950468;11.888362741170644;12.700656452918167;11.57553924683453;12.35397382181817;12.717676423066395;12.261213451366048;12.506307581100309;12.53818893205242;11.839597483021176;12.06373212019692
12.117643101389092;11.179287104646004;11.02167404285837;9.978710459106358;11.146568675740786;12.488342277532524;12.165535141377925;11.50432244829189;12.756556322524087;11.607792641919213;10.54978466794786;11.697402007502708;12.125090539303256;13.262975701227942;11.366868586167094;11.766528908598865;12.483815777264256;10.689124404913258;11.015415052386688;12.058330026205653;11.678600139099458;10.661778097771988;12.52552080909507;12.179287104646004;11.814582465906277;11.216139556425135;11.75905593916017;11.583082767502932;12.63254087654689;11.706496018061188;11.446566409066069;12.611485943240922;12.483815777264256;9.824958740528524;11.044394119358454;12.404609397837712;10.978710459106358;13.017852331905962;10.871135184243045;11.768597882194374;13.262975701227942;12.049848549450562;12.199672344836364;10.953468962228849;10.539158811108033;11.30149619498255;12.146250445885986;12.023061249735337;11.678600139099458;9.894817763307945;12.174613647235942;12.276706019892432;11.390706372872774;13.48167331644727;13.237508748172656;11.10459875356437;12.826349864720092;11.834471049984222;13.511382050937696;12.187042714339894;13.14433959124784;13.121695390556573;11.771902080697716;13.095726668639047;11.820178962415188;13.00544911354693;13.451855028397755;13.124606006959192;12.107870914279614;12.147204924942228;13.52833200886121;13.30435132166324;12.841760886800548;13.102139753410698;11.499845887083206;14.28886607416582;11.900112062977456;15.339467292852603;13.322209843748894;10.122827994807666;13.229269462266736;14.05604493693527;12.04814625421956;12.508289986140348;11.79766152585376;10.470658874060552;13.550867004960905;10.99859042974533;13.027387694052765;13.930275335112052;11.59618975614441;13.532964631698826;12.618614920250804;14.245404150930328;12.43514933836693;12.637756945412145;12.850382205652153;12.950191349972702;12.46326891598129;13.220378327695228;12.865539970785695;12.33063682472329;12.58941707576861;12.052568050804153
12.73745861857046;12.479527669256347;12.536975665610642;11.794415866350104;12.556745526004686;12.897089128312755;11.89178370321831;12.183945471757246;11.290594888082572;12.471421196424862;10.952741247186488;12.53818893205242;12.294620748891628;13.545688495560212;12.370959793297386;12.154501693864765;12.001760028327215;11.838416075797335;11.339850002884624;12.199672344836364;12.590119174107176;11.916999049082808;12.2836671674915;11.98192398731734;11.869979332899964;12.327833296750327;12.459687756239548;11.817383427897232;12.80996904717615;12.742940950666588;12.43280285635187;12.94891470931216;12.001760028327215;12.459687756239548;12.726218159332198;12.20212382383046;11.557463701597824;12.453013354466314;13.035486451292154;11.849405100947758;13.545688495560212;12.1270270430046;12.752798758435516;12.46352437327118;12.429668265133094;12.386940245324311;12.849405100947758;12.433846208442825;12.210671343785622;10.57553924683453;12.636851156626534;12.271754805646474;12.619073646817748;12.130892269806624;13.11699367754698;11.741466986401146;12.692179576312538;12.51668494930961;12.613559277788264;13.023061249735337;11.97656412341533;13.046612469258132;12.228518097716194;13.242280950302444;12.363860976729532;13.13651056079364;12.89822347121556;12.061708704660624;12.521600439723729;12.791162888555018;12.298349015658186;12.3188252203997;12.4797802640291;12.096056239180946;11.42678889459556;12.037890085142507;12.079151405421891;13.02997734658958;12.44475608969503;11.67065624911844;12.107217075591382;11.90350531042388;11.57790083688697;13.254733389246674;12.326991174900815;13.290594888082572;12.803727526553114;12.219168520462162;11.754887502163468;12.480032814583948;10.93810932621924;12.652620934638165;12.779719355143405;12.526499239136566;13.111950706153165;12.933506249629444;12.746304367701304;12.723234300893376;12.84313591111135;12.4578938373147;12.633449374713493;12.557463701597824;12.687594389576123;12.717676423066395
