TCGA-V1-A8MK-01A;TCGA-M7-A720-01A;TCGA-EJ-A46B-01A;TCGA-EJ-A46F-01A;TCGA-XJ-A9DQ-01A;TCGA-G9-A9S0-01A;TCGA-XK-AAJ3-01A;TCGA-J9-A52D-01A;TCGA-V1-A9Z7-01A;TCGA-KK-A7AW-01A;TCGA-V1-A9OT-01A;TCGA-J4-A67O-01A;TCGA-EJ-5526-01A;TCGA-G9-6369-01A;TCGA-CH-5767-01A;TCGA-HC-A6HX-01A;TCGA-KK-A7AU-01A;TCGA-KK-A8IG-01A;TCGA-HC-A6AS-01A;TCGA-HC-7230-01A;TCGA-HC-7210-01A;TCGA-M7-A725-01A;TCGA-G9-6342-01A;TCGA-YL-A9WJ-01A;TCGA-J4-A67K-01A;TCGA-ZG-A9LZ-01A;TCGA-VP-A87C-01A;TCGA-XK-AAJR-01A;TCGA-KC-A7F3-01A;TCGA-J4-AATV-01A;TCGA-HC-A9TH-01A;TCGA-HC-A8CY-01A;TCGA-HC-A6AL-01A;TCGA-EJ-A7NJ-01A;TCGA-EJ-A7NH-01A;TCGA-J4-A67O-01A;TCGA-V1-A8MF-01A;TCGA-EJ-7330-01A;TCGA-YL-A8HK-01A;TCGA-CH-5763-01A;TCGA-ZG-A9L9-01A;TCGA-EJ-5495-01A;TCGA-EJ-7317-01A;TCGA-EJ-A65G-01A;TCGA-2A-A8VT-01A;TCGA-VP-A878-01A;TCGA-EJ-7123-01A;TCGA-CH-5750-01A;TCGA-J4-A67T-01A;TCGA-EJ-A7NG-01A;TCGA-EJ-5517-01A;TCGA-CH-5762-01A;TCGA-CH-5761-11A;TCGA-HC-7752-11A;TCGA-HC-8259-11A;TCGA-CH-5768-11A;TCGA-EJ-7784-11A;TCGA-EJ-7125-11A;TCGA-G9-6348-11A;TCGA-G9-6365-11A;TCGA-EJ-A8FO-11A;TCGA-G9-6384-11A;TCGA-HC-8262-11A;TCGA-EJ-7321-11A;TCGA-HC-7747-11A;TCGA-HC-7819-11A;TCGA-EJ-7793-11A;TCGA-HC-7745-11A;TCGA-CH-5769-11A;TCGA-G9-6342-11A;TCGA-EJ-7315-11A;TCGA-EJ-7330-11A;TCGA-EJ-7792-11A;TCGA-EJ-7314-11A;TCGA-HC-7740-11A;TCGA-EJ-7781-11A;TCGA-HC-7737-11A;TCGA-EJ-7123-11A;TCGA-EJ-7794-11A;TCGA-HC-7211-11A;TCGA-G9-6496-11A;TCGA-EJ-7783-11A;TCGA-HC-7738-11A;TCGA-CH-5767-11B;TCGA-EJ-7782-11A;TCGA-G9-6356-11A;TCGA-EJ-7331-11A;TCGA-HC-8258-11A;TCGA-G9-6499-11A;TCGA-EJ-7786-11A;TCGA-G9-6362-11A;TCGA-EJ-7797-11A;TCGA-G9-6351-11A;TCGA-EJ-7328-11A;TCGA-EJ-7327-11A;TCGA-HC-8260-11A;TCGA-G9-6363-11A;TCGA-J4-A83J-11A;TCGA-EJ-7789-11A;TCGA-EJ-7785-11A;TCGA-G9-6333-11A;TCGA-EJ-7115-11A;TCGA-EJ-7317-11A;TCGA-HC-7742-11A
11.449664538476192;11.543515216152167;11.349281228817452;12.581200581924955;11.599912842187129;11.203959703239462;11.75112558336727;11.323617763291578;11.3409627642517;12.32333628928017;10.847840355630714;12.89519657256334;10.203348002979762;12.178976011374523;10.979425195331473;12.86978660094578;12.141468555393084;11.40992124124968;12.562480945349316;11.731319031025064;11.756973226165448;11.542064542283445;12.298635406734242;11.318542809702723;12.33343491528405;11.989394499844732;11.007728114632254;12.28424574982967;11.4189067312579;11.078817949961978;11.851358649033513;11.461479447286155;12.651948610723446;11.413627929024171;11.52258153125483;12.89519657256334;11.24852060493843;11.219168520462162;11.229419688230417;10.107217075591382;11.279030136449649;11.011227255423254;11.53818893205242;11.453785055496157;11.51668494930961;11.273795599214264;11.701306461958623;10.004220466318197;11.30890780406394;11.312882955284357;10.73640193131829;10.14210705730255;11.29978040285854;12.037890085142507;11.158609688214478;10.24436383512051;11.1767964781476;12.285980105928212;11.68650052718322;11.232420927176076;11.121533517340032;10.800899899920305;10.4655664048094;11.862249900851513;11.96686590038754;11.682116764950074;11.397674632948268;11.325305455089682;11.788310503700918;12.00982861736811;11.096056239180946;11.519144787997414;11.23421867823847;10.901621158346112;10.637530551525307;11.024447124040648;11.04916787237217;11.821773981970567;11.075479149488016;11.172427508645482;11.789126046425231;11.425215903299383;10.623881490013458;11.0566377151132;11.61240779313867;11.510764167917891;11.711666973564348;11.839597483021176;11.998942951443086;11.183015000882756;11.952741247186488;12.292033985499543;11.81658370778757;11.585901449690772;11.747353829478062;11.618844301766652;12.141468555393084;11.31628153174622;11.771902080697716;11.726218159332198;11.760719947465624;11.090112419664289;11.400879436282183;11.52845411076479
12.41336348121097;12.832296678749884;12.164592716712368;11.366322214245816;12.30435132166324;10.977279923499916;12.038918989292302;12.098032082960527;12.445532219028312;10.20212382383046;11.661778097771988;10.818582177480858;13.37531099747307;11.52943055414615;12.591989767615123;11.342630298678408;12.549303368513575;11.97656412341533;11.294620748891628;13.165692152320114;13.185959435631318;12.621365094314864;12.61056350392504;12.75446999527562;11.161131882984307;12.55170826162069;12.849405100947758;12.972261848733291;12.229419688230417;12.506803437795648;12.707359132080883;13.224001674198105;11.14974711950468;12.669328004395904;12.750078862693847;10.818582177480858;11.51668494930961;13.60848585649532;12.90388184573618;12.481799431665753;11.305491792110685;13.565697126849214;12.61056350392504;11.591989767615123;13.39794197197264;12.50084187955693;13.373137035802127;12.606636543579526;12.714245517666123;13.014020470314934;12.663335723478353;13.015589280397393;12.713171684314805;12.37232095486726;12.458150248057557;12.39231742277876;13.485703545284585;11.4757334309664;12.45404219747008;12.29318423075951;12.3701424794954;12.614939847310737;12.918304233699931;13.594907723063336;12.635037871183252;13.323477033150423;13.044052531801302;12.475480126595476;12.735344469539005;12.200898605038445;13.359200485133632;12.732167425663384;12.95383268214528;12.833483105659584;12.084476237453892;13.336367081389795;12.649256177517314;13.981834819231716;13.64227737850386;11.794821973331224;12.231821178657404;12.177108041703692;12.178976011374523;13.49460561567122;11.99929538702341;13.093087390444218;13.189824558880018;12.418116141207488;12.585197295260024;13.407267764244732;12.147204924942228;12.494855584491198;12.700656452918167;13.29246543494927;13.01314817145476;12.682116764950074;12.743782540330756;12.983528071165097;12.69261550169458;12.505315356136236;12.512740462803498;12.652396861477678;12.993999791792524;12.64250302878052
4.247927513443585;4.807354922057604;4.087462841250339;6.507794640198696;4.523561956057013;6.754887502163468;6.599912842187128;6.882643049361842;7.179909090014935;4.906890595608519;5.807354922057604;3.807354922057604;7.066089190457772;5.78135971352466;5.807354922057604;6.266786540694901;6.475733430966398;4.906890595608519;5.906890595608519;6.78135971352466;5.169925001442312;7.539158811108031;6.3750394313469245;6.930737337562887;4.754887502163468;5.643856189774724;7.948367231584678;6.857980995127572;5.672425341971495;5.700439718141092;7.994353436858858;5.906890595608519;7.05528243550119;4.857980995127572;5.129283016944966;3.807354922057604;4.754887502163468;6.459431618637297;7.108524456778169;5.087462841250339;6.569855608330948;6.794415866350106;5.857980995127572;4.247927513443585;6.475733430966398;5.169925001442312;6.539158811108031;7.870364719583405;5.044394119358453;5.426264754702098;4.523561956057013;6.94251450533924;6.409390936137702;5.672425341971495;4.954196310386875;3.169925001442312;6.066089190457772;4.700439718141092;5.20945336562895;5.643856189774724;5.672425341971495;3.906890595608519;5.614709844115208;5.78135971352466;2.807354922057604;5.129283016944966;4.700439718141092;1.584962500721156;8.787902559391432;5.78135971352466;6.857980995127572;6.189824558880018;5.426264754702098;5.807354922057604;3.700439718141092;5.426264754702098;2.807354922057604;3.584962500721156;6.794415866350106;0.0;4.247927513443585;3.700439718141092;1.0;7.839203788096944;6.0;6.658211482751795;5.392317422778761;0.0;6.022367813028454;4.807354922057604;6.599912842187128;4.807354922057604;3.807354922057604;5.129283016944966;5.285402218862249;3.169925001442312;6.965784284662087;5.977279923499917;6.20945336562895;5.044394119358453;4.087462841250339;5.247927513443585;4.247927513443585;4.247927513443585
9.29232163280204;8.049848549450562;8.45532722030456;4.643856189774724;9.78463484555752;5.643856189774724;9.78953364497036;9.92184093707449;8.539158811108031;5.392317422778761;8.622051819456376;8.915879378835774;9.005624549193879;7.366322214245816;7.845490050944375;8.243173983472952;4.392317422778761;10.067434360756522;8.810571634741146;7.936637939002571;8.703903573444663;10.597121428789569;9.324180546618742;7.888743248898259;7.330916878114617;8.339850002884624;8.233619676759702;8.45532722030456;7.665335917185176;8.714245517666123;7.459431618637297;9.955649907528374;10.799281621521924;10.506803437795648;8.870364719583405;8.915879378835774;7.86418614465428;9.501837184902296;8.011227255423254;8.800899899920305;6.169925001442312;8.344295907915816;7.658211482751795;8.330916878114618;9.280770770130603;7.330916878114617;7.870364719583405;6.977279923499917;8.076815597050832;9.303780748177102;11.152284842306582;8.49585502688717;7.022367813028454;10.184875342908285;9.843921051289035;6.9886846867721655;8.915879378835774;10.557463701597824;10.1331422124006;8.118941072723507;8.409390936137703;8.326429487122303;7.622051819456376;9.368506461507693;9.231221180711186;8.577428828035748;9.573647187493322;9.517669388133813;6.727920454563199;7.98299357469431;10.947636937951827;10.48683502156305;9.271463027904376;10.181152256865566;8.129283016944967;11.423641195075856;9.019590728357882;11.070120944476823;9.368506461507693;6.78135971352466;9.654636028527968;9.571752643503546;9.485829308701904;9.586839787961829;8.807354922057604;7.546894459887636;10.987264012072538;7.330916878114617;8.581200581924957;10.850186837645774;8.98299357469431;11.635718120331047;8.661778097771988;11.359200485133632;9.558420713268664;8.599912842187127;7.971543553950772;8.539158811108031;9.550746785383245;10.823367240046236;8.022367813028454;8.92184093707449;8.098032082960527;8.179909090014934
4.643856189774724;9.257387842692651;7.219168520462161;3.321928094887362;6.22881869049588;1.584962500721156;2.321928094887362;2.0;4.392317422778761;0.0;3.0;2.807354922057604;4.247927513443585;1.584962500721156;3.0;6.6865005271832185;0.0;4.392317422778761;4.247927513443585;3.0;2.584962500721156;1.584962500721156;4.0;3.700439718141092;2.0;2.584962500721156;4.321928094887363;2.321928094887362;5.643856189774724;3.584962500721156;3.0;4.169925001442312;4.0;8.721099188707186;6.0;2.807354922057604;4.584962500721156;5.700439718141092;3.906890595608519;5.087462841250339;0.0;3.700439718141092;2.807354922057604;2.584962500721156;3.700439718141092;3.0;3.0;2.0;5.087462841250339;5.247927513443585;4.087462841250339;3.169925001442312;4.954196310386875;5.0;5.285402218862249;7.257387842692652;4.643856189774724;4.169925001442312;5.523561956057013;8.60733031374961;6.894817763307944;3.169925001442312;4.906890595608519;4.857980995127572;3.169925001442312;4.700439718141092;4.523561956057013;3.584962500721156;2.321928094887362;4.906890595608519;6.409390936137702;5.700439718141092;6.9886846867721655;6.149747119504682;3.584962500721156;6.539158811108031;4.321928094887363;5.0;6.129283016944966;2.807354922057604;8.076815597050832;3.807354922057604;3.4594316186372973;5.392317422778761;5.554588851677638;5.78135971352466;5.392317422778761;3.0;1.584962500721156;6.643856189774724;3.4594316186372973;6.169925001442312;3.4594316186372973;6.044394119358453;4.169925001442312;4.954196310386875;6.832890014164741;7.599912842187128;6.247927513443585;5.78135971352466;7.924812503605781;5.491853096329675;5.20945336562895;3.169925001442312
11.468624042918018;11.501339618061396;11.289442575688332;10.23840473932508;11.028596777067108;11.826945650415484;12.241089378860856;11.67065624911844;11.470658874060552;9.78135971352466;10.183635381473218;10.237209960755022;12.151016538892248;11.505315356136236;12.303780748177102;10.812979471251484;11.739358707433396;11.306061689428342;10.733862719678545;12.215532999745657;12.64880694972577;12.369052007001388;11.776844232402167;12.125413470483316;10.478769619475765;11.808159772868375;11.33371442609397;12.525765478821915;11.77561028075954;11.272046524389935;12.4797802640291;11.98477446004684;11.032734528586714;11.661778097771988;11.580258567499788;10.237209960755022;11.11829223302699;12.4186432493759;11.491352073563435;11.6965329140783;10.539158811108033;12.326429487122304;12.690871009292314;11.558420713268664;11.978710459106358;11.42259043389256;12.702172685365548;11.44190670454224;11.185494924210866;11.581200581924955;12.886649213371976;11.791569912126878;11.349281228817452;10.977995368612962;12.11829223302699;11.321928094887362;12.260919533662904;11.615169813843602;11.072132604167232;11.541096615349524;10.94104760634058;11.391243589427445;11.355351096424812;12.29117069932186;11.767770648776704;12.153552031708111;12.026869205263395;11.022367813028454;11.616089313582115;11.879583249612784;11.814582465906277;11.35149140932002;11.68255574108031;11.671541066711884;11.171802288682985;11.643405277115674;11.580258567499788;12.330076554797458;11.852139328187244;11.016111838220512;10.880348808156027;10.793603309279408;11.199058823653022;12.146250445885986;11.841171189248543;11.79400964502097;12.118616689351509;11.62067804213541;11.714245517666123;12.042685372219353;10.817783121774534;12.026523442519766;11.562242424221072;11.600842114387302;12.734074491428045;11.849405100947758;12.177108041703692;11.295194955880657;12.122180901259751;11.805743872151618;11.13699111208023;11.665780028329484;12.456354415108288;11.77313920671969
0.0;4.321928094887363;0.0;1.0;1.584962500721156;0.0;1.584962500721156;0.0;0.0;2.807354922057604;0.0;1.0;1.584962500721156;0.0;0.0;1.584962500721156;3.0;1.0;1.0;1.0;0.0;1.584962500721156;2.0;0.0;0.0;0.0;3.169925001442312;1.0;1.584962500721156;2.584962500721156;2.0;1.584962500721156;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.584962500721156;1.0;1.0;0.0;0.0;4.169925001442312;1.0;2.0;1.0;2.321928094887362;0.0;1.0;1.0;1.584962500721156;0.0;0.0;0.0;0.0;1.584962500721156;4.392317422778761;2.584962500721156;1.0;0.0;1.584962500721156;0.0;1.0;0.0;0.0;1.0;2.0;1.584962500721156;0.0;1.0;0.0;2.584962500721156;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.321928094887362;1.584962500721156;0.0;1.584962500721156;1.584962500721156;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
11.76445696361989;12.100990784092762;11.45532722030456;7.3750394313469245;11.637530551525307;8.326429487122303;7.74819284958946;6.303780748177103;7.409390936137702;7.499845887083206;10.715961990255144;10.14974711950468;11.83880998570856;9.766528908598865;12.475480126595476;11.319107575824985;8.79766152585376;9.364134655008051;10.41256984680521;9.7632123668144;11.690434556395054;8.422064766172813;10.991521846075695;10.827342704234116;10.045759661382682;9.698704666770343;10.873444112515376;11.169925001442312;11.290594888082572;11.635718120331047;9.659995892429976;8.727920454563199;8.400879436282183;11.71853287606922;11.52258153125483;10.14974711950468;9.915879378835774;12.14338321398982;10.559377090526684;11.421012855779226;9.590587049915037;11.841957399099549;11.127994320976391;11.203959703239462;10.566054038171092;11.37937836707126;11.410451351503994;8.405141463136344;10.380461065088973;11.705632387361415;10.051208940914766;11.64745842645492;12.578844391558205;11.749450465569916;12.363587246524578;11.643405277115674;12.985130373466898;11.762382038710392;11.922584402713664;12.702389159976336;11.980139577639155;12.242578689451346;12.660664477461278;12.60130652612184;12.619990662606378;12.63594479878872;12.233020426474496;12.615399743725495;10.377210530388552;12.044052531801302;12.259449046285685;12.118616689351509;12.62844554013718;12.078484417411447;11.929258408636972;12.602698865017963;12.954014507722544;13.333155350310616;13.065752701816972;11.28886607416582;12.014369242235135;11.985486199104637;12.332036548361652;13.652284811845306;12.2836671674915;12.60408986146918;11.916999049082808;12.566291930007871;11.855647166027266;12.02997734658958;8.661778097771988;12.12023787734196;12.202429966015352;12.14974711950468;11.888362741170644;12.700656452918167;11.57553924683453;12.35397382181817;12.717676423066395;12.261213451366048;12.506307581100309;12.53818893205242;11.839597483021176;12.06373212019692
12.30463652380727;12.164592716712368;11.676397887044764;10.240791332161956;11.89026427702111;9.688250309133178;11.345405246717796;10.140829770773;12.44940661498558;9.036173612553483;10.989394499844732;11.480285320936373;12.125090539303256;10.74819284958946;11.568906154502084;11.428883552010191;9.86418614465428;12.404609397837712;11.91139198784346;11.632995197142955;12.44604940671655;11.891024190149498;11.978710459106358;11.617467465294196;10.862637357558794;11.17617314910749;12.1526017440192;12.216139556425135;11.366868586167094;12.495355392235982;11.99964773652837;11.203959703239462;11.031356596255709;11.500343969270403;11.936269857602207;11.480285320936373;10.818582177480858;12.682775179067027;12.16804526822409;12.623424289869911;12.075813377461454;12.867085646616836;12.158609688214478;10.929258408636972;10.5401280385821;11.887220615468385;11.753216749178955;10.304921669581672;12.177108041703692;12.879008813992655;12.434106928609957;12.243173983472952;11.390706372872774;13.48167331644727;13.237508748172656;11.10459875356437;12.826349864720092;11.834471049984222;13.511382050937696;12.187042714339894;13.14433959124784;13.121695390556573;11.771902080697716;13.095726668639047;11.820178962415188;13.00544911354693;13.451855028397755;13.124606006959192;12.107870914279614;12.147204924942228;13.52833200886121;13.30435132166324;12.841760886800548;13.102139753410698;11.499845887083206;14.28886607416582;11.900112062977456;15.339467292852603;13.322209843748894;10.122827994807666;13.229269462266736;14.05604493693527;12.04814625421956;12.508289986140348;11.79766152585376;10.470658874060552;13.550867004960905;10.99859042974533;13.027387694052765;13.930275335112052;11.59618975614441;13.532964631698826;12.618614920250804;14.245404150930328;12.43514933836693;12.637756945412145;12.850382205652153;12.950191349972702;12.46326891598129;13.220378327695228;12.865539970785695;12.33063682472329;12.58941707576861;12.052568050804153
12.42678889459556;12.849405100947758;12.62890115202819;12.107217075591382;12.04916787237217;10.985130373466898;12.26795708440284;12.272046524389935;12.246443717117286;12.59105477403678;11.452756029032496;12.589182967039353;12.294620748891628;11.761135649828644;12.914758838941856;12.749869427396844;12.64880694972577;12.20212382383046;13.044735626056909;12.772314573921651;12.663558104217271;12.780334708123895;12.86534664481678;12.428360172704291;12.363313464373478;12.124121311829189;12.230620933129869;13.027905996569883;12.370959793297386;12.621365094314864;12.552188759557149;12.26883436934376;12.79197682089869;12.741466986401146;12.948549747245734;12.589182967039353;11.963618617443972;12.748402528398184;12.360847084179664;12.144658242831882;11.664891669286089;12.368233611380942;12.882834071545622;12.408064319914672;12.424691191512954;12.5898851792902;12.98370619265935;11.597587039586216;12.913637428049103;12.74798314030195;12.502831804066744;11.914385132155443;12.619073646817748;12.130892269806624;13.11699367754698;11.741466986401146;12.692179576312538;12.51668494930961;12.613559277788264;13.023061249735337;11.97656412341533;13.046612469258132;12.228518097716194;13.242280950302444;12.363860976729532;13.13651056079364;12.89822347121556;12.061708704660624;12.521600439723729;12.791162888555018;12.298349015658186;12.3188252203997;12.4797802640291;12.096056239180946;11.42678889459556;12.037890085142507;12.079151405421891;13.02997734658958;12.44475608969503;11.67065624911844;12.107217075591382;11.90350531042388;11.57790083688697;13.254733389246674;12.326991174900815;13.290594888082572;12.803727526553114;12.219168520462162;11.754887502163468;12.480032814583948;10.93810932621924;12.652620934638165;12.779719355143405;12.526499239136566;13.111950706153165;12.933506249629444;12.746304367701304;12.723234300893376;12.84313591111135;12.4578938373147;12.633449374713493;12.557463701597824;12.687594389576123;12.717676423066395
