TCGA-ZG-A9L2-01A;TCGA-G9-6361-01A;TCGA-G9-6361-01A;TCGA-M7-A725-01A;TCGA-J4-AATZ-01A;TCGA-HC-A8D1-01A;TCGA-V1-A9ZI-01A;TCGA-EJ-5496-01A;TCGA-V1-A9OX-01A;TCGA-VN-A943-01A;TCGA-YL-A8SC-01A;TCGA-XJ-A9DX-01A;TCGA-CH-5771-01A;TCGA-EJ-7330-01A;TCGA-HC-7740-01B;TCGA-ZG-A9LN-01A;TCGA-EJ-5511-01A;TCGA-HC-8261-01A;TCGA-G9-6496-01A;TCGA-CH-5751-01A;TCGA-V1-A9OH-01A;TCGA-KK-A8IA-01A;TCGA-XK-AAIV-01A;TCGA-EJ-A7NF-01A;TCGA-H9-7775-01A;TCGA-J4-A83K-01A;TCGA-VP-A87B-01A;TCGA-J9-A8CK-01A;TCGA-H9-7775-01A;TCGA-YL-A8SI-01A;TCGA-KC-A4BN-01A;TCGA-J4-A67M-01A;TCGA-XJ-A83F-01A;TCGA-EJ-5505-01A;TCGA-EJ-7783-01A;TCGA-KK-A8IG-01A;TCGA-G9-6385-01A;TCGA-ZG-A9LS-01A;TCGA-J4-A83I-01A;TCGA-EJ-5503-01A;TCGA-XJ-A9DK-01A;TCGA-HC-8258-01B;TCGA-HI-7171-01A;TCGA-CH-5769-01A;TCGA-KC-A7F3-01A;TCGA-HC-8262-01A;TCGA-G9-7519-01A;TCGA-G9-6356-01A;TCGA-G9-6348-01A;TCGA-G9-A9S7-01A;TCGA-YL-A8SI-01A;TCGA-XJ-A9DK-01A;TCGA-CH-5761-11A;TCGA-HC-7752-11A;TCGA-HC-8259-11A;TCGA-CH-5768-11A;TCGA-EJ-7784-11A;TCGA-EJ-7125-11A;TCGA-G9-6348-11A;TCGA-G9-6365-11A;TCGA-EJ-A8FO-11A;TCGA-G9-6384-11A;TCGA-HC-8262-11A;TCGA-EJ-7321-11A;TCGA-HC-7747-11A;TCGA-HC-7819-11A;TCGA-EJ-7793-11A;TCGA-HC-7745-11A;TCGA-CH-5769-11A;TCGA-G9-6342-11A;TCGA-EJ-7315-11A;TCGA-EJ-7330-11A;TCGA-EJ-7792-11A;TCGA-EJ-7314-11A;TCGA-HC-7740-11A;TCGA-EJ-7781-11A;TCGA-HC-7737-11A;TCGA-EJ-7123-11A;TCGA-EJ-7794-11A;TCGA-HC-7211-11A;TCGA-G9-6496-11A;TCGA-EJ-7783-11A;TCGA-HC-7738-11A;TCGA-CH-5767-11B;TCGA-EJ-7782-11A;TCGA-G9-6356-11A;TCGA-EJ-7331-11A;TCGA-HC-8258-11A;TCGA-G9-6499-11A;TCGA-EJ-7786-11A;TCGA-G9-6362-11A;TCGA-EJ-7797-11A;TCGA-G9-6351-11A;TCGA-EJ-7328-11A;TCGA-EJ-7327-11A;TCGA-HC-8260-11A;TCGA-G9-6363-11A;TCGA-J4-A83J-11A;TCGA-EJ-7789-11A;TCGA-EJ-7785-11A;TCGA-G9-6333-11A;TCGA-EJ-7115-11A;TCGA-EJ-7317-11A;TCGA-HC-7742-11A
11.263856019596082;11.956013078088098;11.956013078088098;11.542064542283445;11.586370695113963;10.93810932621924;10.740624044489412;10.458406613236534;11.312882955284357;10.657318449581288;11.75446999527562;12.400612641082;12.234817431117325;11.219168520462162;7.714245517666122;11.162391328756906;11.708221730038352;12.185494924210866;11.257387842692651;10.309476353841106;11.141468555393084;11.9762060901486;10.4655664048094;11.364134655008051;11.36139553316589;11.586839787961829;10.88264304936184;11.537218400538595;11.36139553316589;11.122180901259751;10.842350343413807;12.71488943423155;11.30149619498255;11.01262453886506;11.334831928118;11.40992124124968;11.404609397837712;10.131856960608792;11.26502894245816;12.107217075591382;11.088125692188209;6.022367813028454;12.7901448269498;10.871135184243045;11.4189067312579;11.339850002884624;12.156715144224702;11.154818109052105;11.69566329678802;12.022020969646356;11.122180901259751;11.088125692188209;11.29978040285854;12.037890085142507;11.158609688214478;10.24436383512051;11.1767964781476;12.285980105928212;11.68650052718322;11.232420927176076;11.121533517340032;10.800899899920305;10.4655664048094;11.862249900851513;11.96686590038754;11.682116764950074;11.397674632948268;11.325305455089682;11.788310503700918;12.00982861736811;11.096056239180946;11.519144787997414;11.23421867823847;10.901621158346112;10.637530551525307;11.024447124040648;11.04916787237217;11.821773981970567;11.075479149488016;11.172427508645482;11.789126046425231;11.425215903299383;10.623881490013458;11.0566377151132;11.61240779313867;11.510764167917891;11.711666973564348;11.839597483021176;11.998942951443086;11.183015000882756;11.952741247186488;12.292033985499543;11.81658370778757;11.585901449690772;11.747353829478062;11.618844301766652;12.141468555393084;11.31628153174622;11.771902080697716;11.726218159332198;11.760719947465624;11.090112419664289;11.400879436282183;11.52845411076479
12.257093144491057;12.54617100226735;12.54617100226735;12.621365094314864;13.342769172918384;12.314583244274194;11.447083226209651;12.598517810612622;11.862637357558794;11.290018846932618;12.523806958187327;12.363860976729532;13.765286098723683;13.60848585649532;13.189206834597025;11.859922972861758;14.166869190029924;12.8317030992143;11.325305455089682;13.462246634244352;11.595723694101627;12.866506212226202;11.791569912126878;12.016111838220512;12.878050912728536;12.854868383260236;12.11178773580101;12.198445041452365;12.878050912728536;12.150381968817848;12.199365616857982;11.440350119200565;11.686938171670388;13.011751395316717;14.101072883682534;11.97656412341533;13.089119397915168;11.436190995481416;12.99435343685886;13.815683492459163;12.39231742277876;12.48708634027127;13.210823518780844;12.380190466749834;12.229419688230417;12.757181632816716;12.119589620741122;12.851749041416058;12.269126679149418;11.887220615468385;12.150381968817848;12.39231742277876;12.713171684314805;12.37232095486726;12.458150248057557;12.39231742277876;13.485703545284585;11.4757334309664;12.45404219747008;12.29318423075951;12.3701424794954;12.614939847310737;12.918304233699931;13.594907723063336;12.635037871183252;13.323477033150423;13.044052531801302;12.475480126595476;12.735344469539005;12.200898605038445;13.359200485133632;12.732167425663384;12.95383268214528;12.833483105659584;12.084476237453892;13.336367081389795;12.649256177517314;13.981834819231716;13.64227737850386;11.794821973331224;12.231821178657404;12.177108041703692;12.178976011374523;13.49460561567122;11.99929538702341;13.093087390444218;13.189824558880018;12.418116141207488;12.585197295260024;13.407267764244732;12.147204924942228;12.494855584491198;12.700656452918167;13.29246543494927;13.01314817145476;12.682116764950074;12.743782540330756;12.983528071165097;12.69261550169458;12.505315356136236;12.512740462803498;12.652396861477678;12.993999791792524;12.64250302878052
7.569855608330948;3.807354922057604;3.807354922057604;7.539158811108031;6.6293566200796095;5.523561956057013;5.0;5.906890595608519;5.700439718141092;4.392317422778761;8.262094845370179;4.857980995127572;6.700439718141092;6.459431618637297;4.459431618637297;7.754887502163468;5.087462841250339;6.129283016944966;6.930737337562887;9.517669388133813;5.459431618637297;7.149747119504682;7.330916878114617;4.954196310386875;5.614709844115208;4.807354922057604;6.3750394313469245;6.108524456778169;5.614709844115208;4.643856189774724;5.087462841250339;4.392317422778761;5.754887502163468;6.022367813028454;6.906890595608519;4.906890595608519;5.584962500721156;5.247927513443585;5.491853096329675;6.491853096329675;5.727920454563199;3.807354922057604;6.643856189774724;8.280770770130603;5.672425341971495;6.321928094887363;4.643856189774724;6.6293566200796095;4.169925001442312;6.247927513443585;4.643856189774724;5.727920454563199;6.409390936137702;5.672425341971495;4.954196310386875;3.169925001442312;6.066089190457772;4.700439718141092;5.20945336562895;5.643856189774724;5.672425341971495;3.906890595608519;5.614709844115208;5.78135971352466;2.807354922057604;5.129283016944966;4.700439718141092;1.584962500721156;8.787902559391432;5.78135971352466;6.857980995127572;6.189824558880018;5.426264754702098;5.807354922057604;3.700439718141092;5.426264754702098;2.807354922057604;3.584962500721156;6.794415866350106;0.0;4.247927513443585;3.700439718141092;1.0;7.839203788096944;6.0;6.658211482751795;5.392317422778761;0.0;6.022367813028454;4.807354922057604;6.599912842187128;4.807354922057604;3.807354922057604;5.129283016944966;5.285402218862249;3.169925001442312;6.965784284662087;5.977279923499917;6.20945336562895;5.044394119358453;4.087462841250339;5.247927513443585;4.247927513443585;4.247927513443585
7.098032082960526;8.717676423066395;8.717676423066395;10.597121428789569;11.954196310386877;7.906890595608519;7.400879436282184;7.948367231584678;8.430452551665532;8.214319120800766;6.20945336562895;12.47015043527436;9.7431513941125;9.501837184902296;9.068778277985412;7.813781191217037;8.361943773735241;7.700439718141092;11.46454575033394;8.066089190457772;7.348728154231077;9.78135971352466;7.971543553950772;7.392317422778761;8.422064766172813;9.189824558880018;10.99859042974533;8.049848549450562;8.422064766172813;8.285402218862249;8.294620748891628;7.988684686772165;6.954196310386875;8.829722735086058;8.459431618637296;10.067434360756522;8.459431618637296;7.451211111832329;11.572226512793694;9.89026427702111;8.124121311829187;8.290018846932618;6.820178962415188;6.426264754702098;7.665335917185176;6.9886846867721655;10.06339508128851;8.566054038171092;8.252665432450248;13.660553068137242;8.285402218862249;8.124121311829187;7.022367813028454;10.184875342908285;9.843921051289035;6.9886846867721655;8.915879378835774;10.557463701597824;10.1331422124006;8.118941072723507;8.409390936137703;8.326429487122303;7.622051819456376;9.368506461507693;9.231221180711186;8.577428828035748;9.573647187493322;9.517669388133813;6.727920454563199;7.98299357469431;10.947636937951827;10.48683502156305;9.271463027904376;10.181152256865566;8.129283016944967;11.423641195075856;9.019590728357882;11.070120944476823;9.368506461507693;6.78135971352466;9.654636028527968;9.571752643503546;9.485829308701904;9.586839787961829;8.807354922057604;7.546894459887636;10.987264012072538;7.330916878114617;8.581200581924957;10.850186837645774;8.98299357469431;11.635718120331047;8.661778097771988;11.359200485133632;9.558420713268664;8.599912842187127;7.971543553950772;8.539158811108031;9.550746785383245;10.823367240046236;8.022367813028454;8.92184093707449;8.098032082960527;8.179909090014934
3.906890595608519;3.0;3.0;1.584962500721156;2.0;3.584962500721156;2.0;2.584962500721156;6.7414669864011465;1.0;2.321928094887362;3.0;4.459431618637297;5.700439718141092;8.280770770130603;3.807354922057604;3.584962500721156;4.857980995127572;2.321928094887362;2.321928094887362;1.0;1.584962500721156;2.584962500721156;2.807354922057604;4.087462841250339;3.321928094887362;4.169925001442312;3.906890595608519;4.087462841250339;3.0;1.584962500721156;1.584962500721156;2.807354922057604;3.321928094887362;5.247927513443585;4.392317422778761;3.700439718141092;3.0;3.700439718141092;8.842350343413807;5.700439718141092;6.614709844115208;3.4594316186372973;1.584962500721156;5.643856189774724;4.643856189774724;2.0;5.523561956057013;3.700439718141092;5.285402218862249;3.0;5.700439718141092;4.954196310386875;5.0;5.285402218862249;7.257387842692652;4.643856189774724;4.169925001442312;5.523561956057013;8.60733031374961;6.894817763307944;3.169925001442312;4.906890595608519;4.857980995127572;3.169925001442312;4.700439718141092;4.523561956057013;3.584962500721156;2.321928094887362;4.906890595608519;6.409390936137702;5.700439718141092;6.9886846867721655;6.149747119504682;3.584962500721156;6.539158811108031;4.321928094887363;5.0;6.129283016944966;2.807354922057604;8.076815597050832;3.807354922057604;3.4594316186372973;5.392317422778761;5.554588851677638;5.78135971352466;5.392317422778761;3.0;1.584962500721156;6.643856189774724;3.4594316186372973;6.169925001442312;3.4594316186372973;6.044394119358453;4.169925001442312;4.954196310386875;6.832890014164741;7.599912842187128;6.247927513443585;5.78135971352466;7.924812503605781;5.491853096329675;5.20945336562895;3.169925001442312
11.588246152044816;11.54978466794786;11.54978466794786;12.369052007001388;13.107544031975989;11.140829770773;9.558420713268664;11.80292019858527;11.29634268469289;11.544964432789238;11.97513145692134;11.544964432789238;12.3395716783847;12.4186432493759;10.830515206976838;11.161131882984307;12.523316912312747;13.33469228769386;10.897089128312755;11.897467341721892;10.89633240390994;12.314016703901355;11.537703747907644;11.007728114632254;11.873444112515376;11.4578938373147;11.759472121202831;10.758223214726724;11.873444112515376;11.44449728710381;10.984418458801136;10.853309555403674;10.20212382383046;13.117967703717133;12.275251543470327;11.306061689428342;12.080151309614088;9.927777962082342;11.7300455028792;12.278449458220482;11.036860446673046;10.473705749619416;12.27873982655011;11.364134655008051;11.77561028075954;11.824958740528524;12.038918989292302;11.471167133724393;11.826945650415484;11.115693952197011;11.44449728710381;11.036860446673046;11.349281228817452;10.977995368612962;12.11829223302699;11.321928094887362;12.260919533662904;11.615169813843602;11.072132604167232;11.541096615349524;10.94104760634058;11.391243589427445;11.355351096424812;12.29117069932186;11.767770648776704;12.153552031708111;12.026869205263395;11.022367813028454;11.616089313582115;11.879583249612784;11.814582465906277;11.35149140932002;11.68255574108031;11.671541066711884;11.171802288682985;11.643405277115674;11.580258567499788;12.330076554797458;11.852139328187244;11.016111838220512;10.880348808156027;10.793603309279408;11.199058823653022;12.146250445885986;11.841171189248543;11.79400964502097;12.118616689351509;11.62067804213541;11.714245517666123;12.042685372219353;10.817783121774534;12.026523442519766;11.562242424221072;11.600842114387302;12.734074491428045;11.849405100947758;12.177108041703692;11.295194955880657;12.122180901259751;11.805743872151618;11.13699111208023;11.665780028329484;12.456354415108288;11.77313920671969
1.0;0.0;0.0;1.584962500721156;1.0;0.0;1.0;0.0;1.0;0.0;1.584962500721156;2.0;2.0;0.0;2.321928094887362;4.169925001442312;2.0;1.584962500721156;0.0;3.0;0.0;1.0;2.321928094887362;2.584962500721156;0.0;0.0;0.0;0.0;0.0;0.0;2.321928094887362;1.0;2.0;0.0;1.0;1.0;0.0;1.584962500721156;1.584962500721156;0.0;0.0;0.0;0.0;0.0;1.584962500721156;1.0;0.0;2.0;1.0;1.0;0.0;0.0;1.0;1.584962500721156;0.0;0.0;0.0;0.0;1.584962500721156;4.392317422778761;2.584962500721156;1.0;0.0;1.584962500721156;0.0;1.0;0.0;0.0;1.0;2.0;1.584962500721156;0.0;1.0;0.0;2.584962500721156;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.321928094887362;1.584962500721156;0.0;1.584962500721156;1.584962500721156;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
9.96289600533726;10.066089190457772;10.066089190457772;8.422064766172813;9.96000193206808;11.365775635326267;8.379378367071261;10.62296694479051;11.655530723155644;9.929258408636972;8.83605035505807;8.247927513443585;12.61654884377899;12.14338321398982;11.12023787734196;10.10459875356437;10.346513733165636;10.88264304936184;8.479780264029099;5.700439718141092;10.41679752760606;8.022367813028454;8.124121311829187;9.794415866350104;9.5980525001616;11.257387842692651;7.882643049361842;10.510764167917891;9.5980525001616;10.286557761607956;10.166163082646111;10.944712061043486;8.20945336562895;11.130570562805426;12.518407276671365;9.364134655008051;12.00842862207058;10.025139562278508;9.519636252843211;13.170863950411928;11.769424641552751;10.81698362325538;9.355351096424812;10.002815015607052;11.290594888082572;11.225207436943505;11.7402023887679;12.297776062894147;10.813781191217036;10.200898605038445;10.286557761607956;11.769424641552751;12.578844391558205;11.749450465569916;12.363587246524578;11.643405277115674;12.985130373466898;11.762382038710392;11.922584402713664;12.702389159976336;11.980139577639155;12.242578689451346;12.660664477461278;12.60130652612184;12.619990662606378;12.63594479878872;12.233020426474496;12.615399743725495;10.377210530388552;12.044052531801302;12.259449046285685;12.118616689351509;12.62844554013718;12.078484417411447;11.929258408636972;12.602698865017963;12.954014507722544;13.333155350310616;13.065752701816972;11.28886607416582;12.014369242235135;11.985486199104637;12.332036548361652;13.652284811845306;12.2836671674915;12.60408986146918;11.916999049082808;12.566291930007871;11.855647166027266;12.02997734658958;8.661778097771988;12.12023787734196;12.202429966015352;12.14974711950468;11.888362741170644;12.700656452918167;11.57553924683453;12.35397382181817;12.717676423066395;12.261213451366048;12.506307581100309;12.53818893205242;11.839597483021176;12.06373212019692
13.059344460824423;12.483815777264256;12.483815777264256;11.891024190149498;10.844705764411938;11.60130652612184;10.65642486327778;11.330356716957944;11.468114886378098;9.06339508128851;11.02167404285837;11.109830654278792;13.209148710355748;12.682775179067027;12.627305880514848;12.213104219641906;12.278159031437236;11.570330101030798;10.62296694479051;10.659995892429976;11.055960234452296;11.068778277985412;11.174925682500678;11.324743110494415;12.422853195944263;12.597121428789569;10.44086916761087;12.597587039586216;12.422853195944263;12.52552080909507;10.767356854125683;11.82376527978966;10.581200581924955;11.8649599151426;12.685186796595348;12.404609397837712;13.337621901992508;11.529918528120325;11.70606426733497;13.262975701227942;11.980139577639155;11.166163082646111;12.096715154488535;11.832494484336111;11.366868586167094;11.921097088106793;12.507794640198696;12.56081046872794;12.325024310191417;10.689124404913258;12.52552080909507;11.980139577639155;11.390706372872774;13.48167331644727;13.237508748172656;11.10459875356437;12.826349864720092;11.834471049984222;13.511382050937696;12.187042714339894;13.14433959124784;13.121695390556573;11.771902080697716;13.095726668639047;11.820178962415188;13.00544911354693;13.451855028397755;13.124606006959192;12.107870914279614;12.147204924942228;13.52833200886121;13.30435132166324;12.841760886800548;13.102139753410698;11.499845887083206;14.28886607416582;11.900112062977456;15.339467292852603;13.322209843748894;10.122827994807666;13.229269462266736;14.05604493693527;12.04814625421956;12.508289986140348;11.79766152585376;10.470658874060552;13.550867004960905;10.99859042974533;13.027387694052765;13.930275335112052;11.59618975614441;13.532964631698826;12.618614920250804;14.245404150930328;12.43514933836693;12.637756945412145;12.850382205652153;12.950191349972702;12.46326891598129;13.220378327695228;12.865539970785695;12.33063682472329;12.58941707576861;12.052568050804153
11.98299357469431;12.001760028327215;12.001760028327215;12.780334708123895;13.137631598235428;11.91026795581084;10.785452468158542;11.955286645524469;12.125090539303256;11.756973226165448;12.536975665610642;11.129283016944967;13.369733648894952;12.748402528398184;10.040289721025715;12.33706433868474;12.954378090144049;12.98299357469431;10.970105890612182;11.473198383677529;11.53818893205242;12.309192106959902;11.559855041513623;12.174613647235942;12.528942415064895;12.603394530887376;12.422853195944263;12.24555270625568;12.528942415064895;12.2836671674915;12.217957697864112;12.99435343685886;11.638888382252262;12.678600139099458;12.616089313582115;12.20212382383046;13.460327901362929;10.63662462054365;12.347898144596012;13.545688495560212;12.19506456372082;9.283088353024002;12.322491537597468;12.128638812852598;12.370959793297386;12.373137035802127;12.819181178959626;12.404609397837712;12.79055213780538;11.838416075797335;12.2836671674915;12.19506456372082;12.619073646817748;12.130892269806624;13.11699367754698;11.741466986401146;12.692179576312538;12.51668494930961;12.613559277788264;13.023061249735337;11.97656412341533;13.046612469258132;12.228518097716194;13.242280950302444;12.363860976729532;13.13651056079364;12.89822347121556;12.061708704660624;12.521600439723729;12.791162888555018;12.298349015658186;12.3188252203997;12.4797802640291;12.096056239180946;11.42678889459556;12.037890085142507;12.079151405421891;13.02997734658958;12.44475608969503;11.67065624911844;12.107217075591382;11.90350531042388;11.57790083688697;13.254733389246674;12.326991174900815;13.290594888082572;12.803727526553114;12.219168520462162;11.754887502163468;12.480032814583948;10.93810932621924;12.652620934638165;12.779719355143405;12.526499239136566;13.111950706153165;12.933506249629444;12.746304367701304;12.723234300893376;12.84313591111135;12.4578938373147;12.633449374713493;12.557463701597824;12.687594389576123;12.717676423066395
