gene
BAD
E2F2
HGF
BAK1
PIK3CB
RASSF1
RARB
ARAF
BAX
GADD45B
MAPK1
SOS2
STK4
E2F1
MAPK3
AKT2
JAK3
PIK3R2
CDK6
MET
CCND1
E2F3
SOS1
GADD45A
AKT3
PIK3R3
FOXO3
PIK3CA
POLK
PLCG1
CDKN1A
STAT5A
PRKCG
MAP2K2
GADD45G
RAF1
CASP9
KRAS
DDB2
CDK4
EGF
RB1
PDPK1
TP53
ERBB2
AKT1
RXRG
EML4
PIK3R1
EGFR
CDKN2A
PRKCA
KIF5A
BRAF
TGFA
RET
PRKCB
KIF5C
STAT3
MAP2K1
KIF5B
ALK
PIK3CD
STAT5B
HRAS
GRB2
RXRA
FHIT
PLCG2
RXRB
NRAS
RASSF5
